run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms
repeat-suite-20260330-185020-cold-host-001,CRIU,cold,no,642,24973,867,322,1831,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T18:50:42.099676,,,,,,,,,,,,
repeat-suite-20260330-185020-cold-host-002,CRIU,cold,no,597,25123,851,322,1770,0.24,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T18:51:03.797177,,,,,,,,,,,,
repeat-suite-20260330-185020-cold-host-003,CRIU,cold,no,614,25278,839,327,1780,0.24,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T18:51:25.824057,,,,,,,,,,,,
repeat-suite-20260330-185020-cold-host-004sd,CRIU,cold,no,636,25095,859,330,1825,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T18:51:47.460043,,,,,,,,,,,,
repeat-suite-20260330-185020-cold-host-005,CRIU,cold,no,611,25065,856,319,1786,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T18:52:09.061535,,,,,,,,,,,,
repeat-suite-20260330-185020-cold-host-006,CRIU,cold,no,637,25114,862,300,1799,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T18:52:31.255771,,,,,,,,,,,,
repeat-suite-20260330-185020-cold-host-007,CRIU,cold,no,630,25018,822,322,1774,0.24,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T18:52:52.758802,,,,,,,,,,,,
repeat-suite-20260330-185020-cold-host-008,CRIU,cold,no,831,24976,831,303,1965,0.24,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T18:53:14.574253,,,,,,,,,,,,
repeat-suite-20260330-185020-cold-host-009,CRIU,cold,no,623,25036,858,335,1816,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T18:53:36.698320,,,,,,,,,,,,
repeat-suite-20260330-185020-cold-host-010,CRIU,cold,no,605,25233,841,338,1784,0.24,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T18:53:58.207553,,,,,,,,,,,,
repeat-suite-20260330-185020-cold-host-011,CRIU,cold,no,652,25030,850,313,1815,0.24,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T18:54:19.850447,,,,,,,,,,,,
repeat-suite-20260330-185020-cold-host-012,CRIU,cold,no,626,25126,902,321,1849,0.22,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T18:54:41.907113,,,,,,,,,,,,
repeat-suite-20260330-185020-cold-host-013,CRIU,cold,no,593,24998,852,330,1775,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T18:55:03.522276,,,,,,,,,,,,
repeat-suite-20260330-185020-cold-host-014,CRIU,cold,no,592,25053,863,346,1801,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T18:55:25.117453,,,,,,,,,,,,
