run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes
30-04-2026-host-cold-0052,CRIU,cold,no,728,25898,7062,453,8243,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-30T13:56:27.065395,1_WiFi_6,0.0,0.0,15833.0,0.0,0.0
30-04-2026-host-cold-0053,CRIU,cold,no,633,25151,8134,326,9093,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-30T13:56:57.161914,1_WiFi_6,0.0,0.0,16250.0,0.0,0.0
30-04-2026-host-cold-0054,CRIU,cold,no,686,25154,7184,322,8192,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-30T13:57:26.104797,1_WiFi_6,0.0,0.0,15388.0,0.0,0.0
30-04-2026-host-cold-0055,CRIU,cold,no,668,25160,7239,299,8206,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-30T13:57:54.827230,1_WiFi_6,0.0,0.0,15440.0,0.0,0.0
30-04-2026-host-cold-0056,CRIU,cold,no,615,25122,7121,318,8054,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-30T13:58:23.660654,1_WiFi_6,0.0,0.0,15140.0,0.0,0.0
30-04-2026-host-cold-0057,CRIU,cold,no,626,25419,6984,298,7908,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-30T13:58:52.249659,1_WiFi_6,0.0,0.0,15298.0,0.0,0.0
30-04-2026-host-cold-0058,CRIU,cold,no,583,25102,7214,299,8096,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-30T13:59:21.117062,1_WiFi_6,0.0,0.0,15153.0,0.0,0.0
30-04-2026-host-cold-0059,CRIU,cold,no,598,25153,6893,300,7791,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-30T13:59:49.482322,1_WiFi_6,0.0,0.0,14813.0,0.0,0.0
30-04-2026-host-cold-0060,CRIU,cold,no,610,25407,7213,299,8122,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-30T14:00:18.680664,1_WiFi_6,0.0,0.0,15224.0,0.0,0.0
30-04-2026-host-cold-0061,CRIU,cold,no,619,25162,6850,283,7752,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-30T14:00:46.831259,1_WiFi_6,0.0,0.0,14843.0,0.0,0.0
