run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms
30-04-2026-host-cold-0102,CRIU,cold,no,677,26076,6788,397,7862,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-30T22:19:59.330504,1_WiFi_6,0.0,0.0,15580.0,0.0,0.0,327.0,4770.0,858.0,903.0,255.0,307.0
30-04-2026-host-cold-0103,CRIU,cold,no,629,25375,7424,349,8402,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-30T22:20:28.277802,1_WiFi_6,0.0,0.0,15535.0,0.0,0.0,336.0,4654.0,1000.0,1172.0,597.0,336.0
30-04-2026-host-cold-0104,CRIU,cold,no,566,25251,6658,304,7528,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-30T22:20:56.349444,1_WiFi_6,0.0,0.0,14548.0,0.0,0.0,333.0,4598.0,881.0,899.0,278.0,317.0
30-04-2026-host-cold-0105,CRIU,cold,no,592,25165,6692,277,7561,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-30T22:21:24.460755,1_WiFi_6,0.0,0.0,14758.0,0.0,0.0,313.0,4601.0,939.0,851.0,299.0,338.0
30-04-2026-host-cold-0106,CRIU,cold,no,584,25202,6860,338,7782,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-30T22:21:53.036509,1_WiFi_6,0.0,0.0,14854.0,0.0,0.0,313.0,4778.0,867.0,929.0,284.0,383.0
30-04-2026-host-cold-0107,CRIU,cold,no,680,25110,6882,301,7863,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-30T22:22:21.716321,1_WiFi_6,0.0,0.0,15104.0,0.0,0.0,319.0,4732.0,948.0,923.0,277.0,324.0
30-04-2026-host-cold-0108,CRIU,cold,no,599,25133,7062,316,7977,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-30T22:22:50.544421,1_WiFi_6,0.0,0.0,14931.0,0.0,0.0,321.0,4910.0,900.0,912.0,338.0,303.0
30-04-2026-host-cold-0109,CRIU,cold,no,630,25447,6783,293,7706,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-30T22:23:18.797642,1_WiFi_6,0.0,0.0,14747.0,0.0,0.0,333.0,4864.0,774.0,855.0,289.0,327.0
30-04-2026-host-cold-0110,CRIU,cold,no,573,25132,7256,306,8135,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-30T22:23:47.910571,1_WiFi_6,0.0,0.0,15201.0,0.0,0.0,284.0,4890.0,892.0,877.0,596.0,385.0
30-04-2026-host-cold-0111,CRIU,cold,no,601,25314,6968,306,7875,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-30T22:24:15.836878,1_WiFi_6,0.0,0.0,14795.0,0.0,0.0,327.0,4853.0,918.0,896.0,300.0,322.0
30-04-2026-direct-cold-0102,CRIU,cold,no,592,25180,3064,309,3965,0.07,x86_64,x86_64,True,True,transfer_mode=direct,2026-04-30T22:24:42.624798,1_WiFi_6,0.0,0.0,13267.0,0.0,0.0,330.0,2161.0,902.0,0.0,0.0,347.0
30-04-2026-direct-cold-0103,CRIU,cold,no,690,25208,3034,260,3984,0.07,x86_64,x86_64,True,True,transfer_mode=direct,2026-04-30T22:25:09.191578,1_WiFi_6,0.0,0.0,13107.0,0.0,0.0,315.0,2180.0,854.0,0.0,0.0,349.0
30-04-2026-direct-cold-0104,CRIU,cold,no,618,25420,3241,319,4178,0.06,x86_64,x86_64,True,True,transfer_mode=direct,2026-04-30T22:25:35.769609,1_WiFi_6,0.0,0.0,13224.0,0.0,0.0,296.0,2358.0,883.0,0.0,0.0,326.0
