run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms
01-05-2026-host-cold-0000,CRIU,cold,no,878,26123,7450,456,8784,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T06:10:34.834684,2_5G,0.0,0.0,16524.0,0.0,0.0,340.0,4897.0,1136.0,1105.0,311.0,352.0
01-05-2026-host-cold-0001,CRIU,cold,no,620,25109,8023,336,8979,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T06:11:04.221390,2_5G,0.0,0.0,16064.0,0.0,0.0,349.0,5298.0,1372.0,1084.0,267.0,282.0
01-05-2026-host-cold-0002,CRIU,cold,no,569,25088,7441,309,8319,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T06:11:33.186471,2_5G,0.0,0.0,15288.0,0.0,0.0,311.0,4935.0,1155.0,1069.0,280.0,363.0
01-05-2026-host-cold-0003,CRIU,cold,no,587,25111,7398,299,8284,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T06:12:01.986746,2_5G,0.0,0.0,15519.0,0.0,0.0,328.0,4847.0,1143.0,1121.0,286.0,636.0
01-05-2026-host-cold-0004,CRIU,cold,no,591,25540,8017,350,8958,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T06:12:31.801245,2_5G,0.0,0.0,16117.0,0.0,0.0,321.0,5452.0,1169.0,1099.0,296.0,304.0
01-05-2026-host-cold-0005,CRIU,cold,no,678,25431,7432,402,8512,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T06:13:01.116286,2_5G,0.0,0.0,15843.0,0.0,0.0,320.0,4889.0,1120.0,1124.0,297.0,320.0
01-05-2026-host-cold-0006,CRIU,cold,no,645,25170,7859,290,8794,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T06:13:30.554185,2_5G,0.0,0.0,15876.0,0.0,0.0,331.0,5355.0,1120.0,1118.0,265.0,331.0
01-05-2026-host-cold-0007,CRIU,cold,no,684,25119,7485,344,8513,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T06:13:59.788171,2_5G,0.0,0.0,15945.0,0.0,0.0,327.0,5011.0,1130.0,1087.0,255.0,322.0
01-05-2026-host-cold-0008,CRIU,cold,no,578,25190,7924,297,8799,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T06:14:29.546981,2_5G,0.0,0.0,15901.0,0.0,0.0,314.0,5414.0,1103.0,1102.0,302.0,337.0
01-05-2026-host-cold-0009,CRIU,cold,no,633,25501,7674,314,8621,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T06:14:58.506267,2_5G,0.0,0.0,15547.0,0.0,0.0,309.0,5131.0,1173.0,1089.0,279.0,314.0
