run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms
01-05-2026-host-cold-0040,CRIU,cold,no,791,26001,11353,490,12634,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T14:10:12.169042,3_LTE,0.0,0.0,20278.0,0.0,0.0,332.0,6468.0,2350.0,2277.0,256.0,313.0
01-05-2026-host-cold-0041,CRIU,cold,no,911,25136,12030,307,13248,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T14:10:45.761959,3_LTE,0.0,0.0,20293.0,0.0,0.0,463.0,7069.0,2362.0,2339.0,259.0,311.0
01-05-2026-host-cold-0042,CRIU,cold,no,604,25031,11613,291,12508,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T14:11:19.157354,3_LTE,0.0,0.0,19587.0,0.0,0.0,313.0,6742.0,2311.0,2303.0,256.0,324.0
01-05-2026-host-cold-0043,CRIU,cold,no,535,25366,11922,306,12763,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T14:11:52.778507,3_LTE,0.0,0.0,19762.0,0.0,0.0,416.0,6929.0,2346.0,2337.0,308.0,340.0
01-05-2026-host-cold-0044,CRIU,cold,no,597,25341,11729,281,12607,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T14:12:26.030139,3_LTE,0.0,0.0,19841.0,0.0,0.0,388.0,6807.0,2305.0,2238.0,378.0,348.0
01-05-2026-host-cold-0045,CRIU,cold,no,552,25081,11858,311,12721,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T14:12:59.589273,3_LTE,0.0,0.0,19646.0,0.0,0.0,291.0,6901.0,2370.0,2327.0,258.0,296.0
01-05-2026-host-cold-0046,CRIU,cold,no,648,25372,11345,373,12366,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T14:13:32.415196,3_LTE,0.0,0.0,19472.0,0.0,0.0,305.0,6465.0,2329.0,2298.0,251.0,276.0
01-05-2026-host-cold-0047,CRIU,cold,no,581,25239,11795,293,12669,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T14:14:06.593896,3_LTE,0.0,0.0,19952.0,0.0,0.0,395.0,6837.0,2329.0,2358.0,268.0,309.0
01-05-2026-host-cold-0048,CRIU,cold,no,653,25293,11405,439,12497,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T14:14:39.683429,3_LTE,0.0,0.0,19790.0,0.0,0.0,316.0,6389.0,2380.0,2339.0,295.0,332.0
01-05-2026-host-cold-0049,CRIU,cold,no,644,25296,11711,303,12658,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T14:15:13.163945,3_LTE,0.0,0.0,19698.0,0.0,0.0,356.0,6772.0,2349.0,2336.0,253.0,318.0
01-05-2026-direct-cold-0040,CRIU,cold,no,628,25265,5243,315,6186,0.04,x86_64,x86_64,True,True,transfer_mode=direct,2026-05-01T14:15:42.899682,3_LTE,0.0,0.0,16348.0,0.0,0.0,332.0,2953.0,2290.0,0.0,0.0,297.0
01-05-2026-direct-cold-0041,CRIU,cold,no,598,25149,5276,314,6188,0.04,x86_64,x86_64,True,True,transfer_mode=direct,2026-05-01T14:16:12.497987,3_LTE,0.0,0.0,15984.0,0.0,0.0,399.0,2923.0,2352.0,0.0,0.0,333.0
01-05-2026-direct-cold-0042,CRIU,cold,no,732,25182,5392,328,6452,0.04,x86_64,x86_64,True,True,transfer_mode=direct,2026-05-01T14:16:42.507501,3_LTE,0.0,0.0,16128.0,0.0,0.0,380.0,3004.0,2388.0,0.0,0.0,345.0
01-05-2026-direct-cold-0043,CRIU,cold,no,612,25139,5342,301,6255,0.04,x86_64,x86_64,True,True,transfer_mode=direct,2026-05-01T14:17:12.252111,3_LTE,0.0,0.0,16097.0,0.0,0.0,388.0,2982.0,2360.0,0.0,0.0,326.0
01-05-2026-direct-cold-0044,CRIU,cold,no,599,25042,5200,294,6093,0.04,x86_64,x86_64,True,True,transfer_mode=direct,2026-05-01T14:17:41.375054,3_LTE,0.0,0.0,15912.0,0.0,0.0,303.0,2964.0,2236.0,0.0,0.0,430.0
01-05-2026-direct-cold-0045,CRIU,cold,no,576,25301,5765,307,6648,0.04,x86_64,x86_64,True,True,transfer_mode=direct,2026-05-01T14:18:21.261544,3_LTE,0.0,0.0,16445.0,0.0,0.0,329.0,3081.0,2683.0,0.0,0.0,343.0
