run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms,transfer_mode,raw_transfer_ms,transfer_setup_removed_ms,raw_downtime_ms
10-05-2026-host-cold-0005,CRIU,cold,no,603,25180,3195.0,265,8621,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-10T17:04:59.956369,2_5G,0.0,0.0,15681.0,0.0,0.0,314.0,5180.0,1162.0,1105.0,305.0,308.0,host,7753,5180.0,8621
10-05-2026-host-cold-0006,CRIU,cold,no,565,25148,3122.0,309,9078,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-10T17:05:29.679676,2_5G,0.0,0.0,16188.0,0.0,0.0,323.0,5724.0,1165.0,1029.0,285.0,319.0,host,8204,5724.0,9078
10-05-2026-host-cold-0007,CRIU,cold,no,594,25439,3158.0,308,8539,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-10T17:05:59.186182,2_5G,0.0,0.0,15627.0,0.0,0.0,330.0,5116.0,1121.0,1118.0,281.0,307.0,host,7637,5116.0,8539
10-05-2026-host-cold-0008,CRIU,cold,no,606,25125,3561.0,364,8982,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-10T17:06:28.666620,2_5G,0.0,0.0,16196.0,0.0,0.0,314.0,5201.0,1418.0,1134.0,258.0,436.0,host,8012,5201.0,8982
10-05-2026-host-cold-0009,CRIU,cold,no,707,25291,3175.0,300,8283,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-10T17:06:57.813763,2_5G,0.0,0.0,15409.0,0.0,0.0,339.0,4740.0,1117.0,1127.0,291.0,300.0,host,7276,4740.0,8283
10-05-2026-host-cold-0010,CRIU,cold,no,579,25285,3237.0,296,8826,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-10T17:07:27.078284,2_5G,0.0,0.0,15750.0,0.0,0.0,313.0,5349.0,1191.0,1130.0,281.0,322.0,host,7951,5349.0,8826
10-05-2026-host-cold-0011,CRIU,cold,no,594,25236,3249.0,322,8760,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-10T17:07:56.750151,2_5G,0.0,0.0,16172.0,0.0,0.0,452.0,5347.0,1092.0,1146.0,257.0,300.0,host,7844,5347.0,8760
10-05-2026-host-cold-0012,CRIU,cold,no,596,25314,3480.0,310,8549,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-10T17:08:25.613473,2_5G,0.0,0.0,15659.0,0.0,0.0,320.0,4869.0,1344.0,1125.0,303.0,386.0,host,7643,4869.0,8549
10-05-2026-host-cold-0013,CRIU,cold,no,551,25467,3345.0,343,9034,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-10T17:08:55.575853,2_5G,0.0,0.0,16166.0,0.0,0.0,363.0,5495.0,1200.0,1130.0,313.0,337.0,host,8140,5495.0,9034
10-05-2026-host-cold-0014,CRIU,cold,no,616,25461,3413.0,431,8782,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-10T17:09:24.913268,2_5G,0.0,0.0,15904.0,0.0,0.0,322.0,4940.0,1149.0,1066.0,578.0,296.0,host,7735,4940.0,8782
10-05-2026-direct-cold-0000,CRIU,cold,no,599,25190,2082.0,276,4653,0.05,x86_64,x86_64,True,True,transfer_mode=direct,2026-05-10T17:09:52.204528,2_5G,0.0,0.0,13691.0,0.0,0.0,335.0,2317.0,1460.0,0.0,0.0,286.0,direct,3778,2317.0,4653
10-05-2026-direct-cold-0001,CRIU,cold,no,589,25442,1803.0,296,4278,0.06,x86_64,x86_64,True,True,transfer_mode=direct,2026-05-10T17:10:19.021479,2_5G,0.0,0.0,13414.0,0.0,0.0,315.0,2278.0,1114.0,0.0,0.0,373.0,direct,3393,2278.0,4278
