run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms,transfer_mode,raw_transfer_ms,transfer_setup_removed_ms,raw_downtime_ms
11-05-2026-host-cold-0030,CRIU,cold,no,618,25081,5493.0,312,12183,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-11T11:37:15.876484,3_LTE,0.0,0.0,19198.0,0.0,0.0,309.0,6345.0,2324.0,2341.0,242.0,276.0,host,11253,6345.0,12183
11-05-2026-host-cold-0031,CRIU,cold,no,593,25508,6150.0,303,13303,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-11T11:37:49.767450,3_LTE,0.0,0.0,20337.0,0.0,0.0,320.0,6880.0,2952.0,2314.0,261.0,303.0,host,12407,6880.0,13303
11-05-2026-host-cold-0032,CRIU,cold,no,578,25236,5584.0,274,11996,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-11T11:38:22.218828,3_LTE,0.0,0.0,19096.0,0.0,0.0,351.0,6230.0,2282.0,2346.0,284.0,319.0,host,11144,6230.0,11996
11-05-2026-host-cold-0033,CRIU,cold,no,637,25215,5668.0,300,12746,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-11T11:38:55.741166,3_LTE,0.0,0.0,20075.0,0.0,0.0,318.0,6763.0,2363.0,2409.0,272.0,304.0,host,11809,6763.0,12746
11-05-2026-host-cold-0034,CRIU,cold,no,577,25404,5717.0,305,12173,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-11T11:39:28.455393,3_LTE,0.0,0.0,19341.0,0.0,0.0,412.0,6321.0,2367.0,2324.0,278.0,335.0,host,11291,6321.0,12173
11-05-2026-host-cold-0035,CRIU,cold,no,626,25447,5623.0,295,12677,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-11T11:40:02.054487,3_LTE,0.0,0.0,19691.0,0.0,0.0,312.0,6744.0,2401.0,2335.0,275.0,299.0,host,11756,6744.0,12677
11-05-2026-host-cold-0036,CRIU,cold,no,612,25227,5914.0,404,12642,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-11T11:40:35.340609,3_LTE,0.0,0.0,19808.0,0.0,0.0,349.0,6362.0,2380.0,2623.0,260.0,301.0,host,11626,6362.0,12642
11-05-2026-host-cold-0037,CRIU,cold,no,646,25139,6372.0,299,13319,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-11T11:41:09.702922,3_LTE,0.0,0.0,20465.0,0.0,0.0,316.0,6632.0,2496.0,2983.0,262.0,314.0,host,12374,6632.0,13319
11-05-2026-host-cold-0038,CRIU,cold,no,633,25422,5598.0,291,12344,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-11T11:41:42.785197,3_LTE,0.0,0.0,19815.0,0.0,0.0,307.0,6441.0,2366.0,2344.0,269.0,312.0,host,11420,6441.0,12344
11-05-2026-host-cold-0039,CRIU,cold,no,595,25332,5649.0,295,12415,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-11T11:42:15.763586,3_LTE,0.0,0.0,19282.0,0.0,0.0,294.0,6486.0,2430.0,2314.0,294.0,316.0,host,11525,6486.0,12415
