run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms
11-05-2026-host-cold-0070,CRIU,cold,no,720,26005,13904,412,15036,0.01,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-11T23:14:20.339557,4_Starlink,0.0,0.0,22720.0,0.0,0.0,320.0,6621.0,2871.0,4148.0,263.0,333.0
11-05-2026-host-cold-0071,CRIU,cold,no,645,25510,12856,308,13809,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-11T23:14:55.156122,4_Starlink,0.0,0.0,21469.0,0.0,0.0,317.0,7071.0,2637.0,2891.0,255.0,319.0
11-05-2026-host-cold-0072,CRIU,cold,no,580,25119,14064,304,14948,0.01,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-11T23:15:30.490946,4_Starlink,0.0,0.0,21903.0,0.0,0.0,318.0,7396.0,3506.0,2903.0,257.0,333.0
11-05-2026-host-cold-0073,CRIU,cold,no,585,25300,12779,339,13703,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-11T23:16:05.212443,4_Starlink,0.0,0.0,20772.0,0.0,0.0,329.0,6797.0,3046.0,2670.0,263.0,329.0
11-05-2026-host-cold-0074,CRIU,cold,no,589,25402,12028,299,12916,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-11T23:16:38.924531,4_Starlink,0.0,0.0,20389.0,0.0,0.0,331.0,6692.0,2508.0,2562.0,263.0,326.0
11-05-2026-host-cold-0075,CRIU,cold,no,592,25083,12498,355,13445,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-11T23:17:13.229522,4_Starlink,0.0,0.0,20518.0,0.0,0.0,326.0,6829.0,2863.0,2543.0,262.0,319.0
11-05-2026-host-cold-0076,CRIU,cold,no,594,25317,12430,301,13325,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-11T23:17:47.180818,4_Starlink,0.0,0.0,20522.0,0.0,0.0,342.0,6778.0,2527.0,2846.0,278.0,353.0
11-05-2026-host-cold-0077,CRIU,cold,no,620,25141,12437,298,13355,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-11T23:18:21.090354,4_Starlink,0.0,0.0,20258.0,0.0,0.0,314.0,6733.0,2544.0,2881.0,277.0,308.0
11-05-2026-host-cold-0078,CRIU,cold,no,620,25441,12637,299,13556,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-11T23:18:54.914559,4_Starlink,0.0,0.0,20666.0,0.0,0.0,328.0,6912.0,2920.0,2547.0,257.0,302.0
11-05-2026-host-cold-0079,CRIU,cold,no,655,25168,12589,312,13556,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-11T23:19:29.559871,4_Starlink,0.0,0.0,20726.0,0.0,0.0,377.0,6786.0,2944.0,2591.0,266.0,301.0
11-05-2026-direct-cold-0070,CRIU,cold,no,662,25283,6290,294,7246,0.03,x86_64,x86_64,True,True,transfer_mode=direct,2026-05-11T23:20:00.409930,4_Starlink,0.0,0.0,16961.0,0.0,0.0,327.0,3045.0,3245.0,0.0,0.0,336.0
11-05-2026-direct-cold-0071,CRIU,cold,no,622,25223,5770,304,6696,0.03,x86_64,x86_64,True,True,transfer_mode=direct,2026-05-11T23:20:30.494265,4_Starlink,0.0,0.0,16494.0,0.0,0.0,325.0,3060.0,2709.0,0.0,0.0,304.0
11-05-2026-direct-cold-0072,CRIU,cold,no,543,25065,5578,311,6432,0.04,x86_64,x86_64,True,True,transfer_mode=direct,2026-05-11T23:21:00.608617,4_Starlink,0.0,0.0,16263.0,0.0,0.0,354.0,3058.0,2520.0,0.0,0.0,354.0
11-05-2026-direct-cold-0073,CRIU,cold,no,653,25290,5581,340,6574,0.04,x86_64,x86_64,True,True,transfer_mode=direct,2026-05-11T23:21:31.009887,4_Starlink,0.0,0.0,16444.0,0.0,0.0,319.0,3087.0,2493.0,0.0,0.0,330.0
11-05-2026-direct-cold-0074,CRIU,cold,no,633,25122,5930,309,6872,0.03,x86_64,x86_64,True,True,transfer_mode=direct,2026-05-11T23:22:01.615222,4_Starlink,0.0,0.0,16866.0,0.0,0.0,327.0,3278.0,2651.0,0.0,0.0,307.0
