run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms,transfer_mode,raw_transfer_ms,transfer_setup_removed_ms,raw_downtime_ms
11-05-2026-host-cold-0070,CRIU,cold,no,720,26005,7936.0,412,15036,0.01,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-11T23:14:20.339557,4_Starlink,0.0,0.0,22720.0,0.0,0.0,320.0,6621.0,2871.0,4148.0,263.0,333.0,host,13904,6621.0,15036
11-05-2026-host-cold-0071,CRIU,cold,no,645,25510,6421.0,308,13809,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-11T23:14:55.156122,4_Starlink,0.0,0.0,21469.0,0.0,0.0,317.0,7071.0,2637.0,2891.0,255.0,319.0,host,12856,7071.0,13809
11-05-2026-host-cold-0072,CRIU,cold,no,580,25119,7319.0,304,14948,0.01,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-11T23:15:30.490946,4_Starlink,0.0,0.0,21903.0,0.0,0.0,318.0,7396.0,3506.0,2903.0,257.0,333.0,host,14064,7396.0,14948
11-05-2026-host-cold-0073,CRIU,cold,no,585,25300,6640.0,339,13703,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-11T23:16:05.212443,4_Starlink,0.0,0.0,20772.0,0.0,0.0,329.0,6797.0,3046.0,2670.0,263.0,329.0,host,12779,6797.0,13703
11-05-2026-host-cold-0074,CRIU,cold,no,589,25402,5993.0,299,12916,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-11T23:16:38.924531,4_Starlink,0.0,0.0,20389.0,0.0,0.0,331.0,6692.0,2508.0,2562.0,263.0,326.0,host,12028,6692.0,12916
11-05-2026-host-cold-0075,CRIU,cold,no,592,25083,6314.0,355,13445,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-11T23:17:13.229522,4_Starlink,0.0,0.0,20518.0,0.0,0.0,326.0,6829.0,2863.0,2543.0,262.0,319.0,host,12498,6829.0,13445
11-05-2026-host-cold-0076,CRIU,cold,no,594,25317,6347.0,301,13325,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-11T23:17:47.180818,4_Starlink,0.0,0.0,20522.0,0.0,0.0,342.0,6778.0,2527.0,2846.0,278.0,353.0,host,12430,6778.0,13325
11-05-2026-host-cold-0077,CRIU,cold,no,620,25141,6326.0,298,13355,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-11T23:18:21.090354,4_Starlink,0.0,0.0,20258.0,0.0,0.0,314.0,6733.0,2544.0,2881.0,277.0,308.0,host,12437,6733.0,13355
11-05-2026-host-cold-0078,CRIU,cold,no,620,25441,6355.0,299,13556,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-11T23:18:54.914559,4_Starlink,0.0,0.0,20666.0,0.0,0.0,328.0,6912.0,2920.0,2547.0,257.0,302.0,host,12637,6912.0,13556
11-05-2026-host-cold-0079,CRIU,cold,no,655,25168,6481.0,312,13556,0.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-11T23:19:29.559871,4_Starlink,0.0,0.0,20726.0,0.0,0.0,377.0,6786.0,2944.0,2591.0,266.0,301.0,host,12589,6786.0,13556
