run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms,transfer_mode,raw_transfer_ms,transfer_setup_removed_ms,raw_downtime_ms
15-05-2026-host-cold-0000,CRIU,cold,no,808,26052,59611.0,393,92185,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-15T03:26:44.153403,6_TEE_Avg,0.0,0.0,100055.0,0.0,0.0,343.0,32018.0,24991.0,33706.0,268.0,302.0,host,90984,32018.0,92185
15-05-2026-host-cold-0001,CRIU,cold,no,721,25364,42805.0,298,82772,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-15T03:28:27.339501,6_TEE_Avg,0.0,0.0,89820.0,0.0,0.0,341.0,39619.0,18842.0,22465.0,824.0,330.0,host,81753,39619.0,82772
15-05-2026-host-cold-0002,CRIU,cold,no,597,25198,49101.0,299,82934,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-15T03:30:11.590786,6_TEE_Avg,0.0,0.0,90098.0,0.0,0.0,328.0,33709.0,21418.0,26626.0,283.0,444.0,host,82038,33709.0,82934
15-05-2026-host-cold-0003,CRIU,cold,no,623,25361,61329.0,409,92512,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-15T03:32:05.258650,6_TEE_Avg,0.0,0.0,99914.0,0.0,0.0,329.0,31121.0,39763.0,20334.0,260.0,641.0,host,91480,31121.0,92512
15-05-2026-host-cold-0004,CRIU,cold,no,568,25141,42918.0,267,71412,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-15T03:33:37.388390,6_TEE_Avg,0.0,0.0,78448.0,0.0,0.0,317.0,28289.0,20767.0,21266.0,255.0,313.0,host,70577,28289.0,71412
15-05-2026-host-cold-0005,CRIU,cold,no,622,25175,58796.0,299,88519,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-15T03:35:26.967453,6_TEE_Avg,0.0,0.0,95923.0,0.0,0.0,324.0,29759.0,30815.0,26438.0,585.0,633.0,host,87598,29759.0,88519
15-05-2026-host-cold-0006,CRIU,cold,no,622,25215,56377.0,316,91535,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-15T03:37:19.202574,6_TEE_Avg,0.0,0.0,98530.0,0.0,0.0,368.0,34917.0,32769.0,22601.0,308.0,329.0,host,90597,34917.0,91535
15-05-2026-host-cold-0007,CRIU,cold,no,589,25416,50089.0,306,79373,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-15T03:38:59.175661,6_TEE_Avg,0.0,0.0,86367.0,0.0,0.0,324.0,29018.0,30229.0,18559.0,670.0,305.0,host,78478,29018.0,79373
15-05-2026-host-cold-0008,CRIU,cold,no,580,25386,52616.0,364,80753,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-15T03:40:40.701208,6_TEE_Avg,0.0,0.0,87875.0,0.0,0.0,316.0,27867.0,24736.0,26930.0,275.0,358.0,host,79809,27867.0,80753
15-05-2026-host-cold-0009,CRIU,cold,no,584,25110,50256.0,339,93271,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-15T03:42:35.225207,6_TEE_Avg,0.0,0.0,100566.0,0.0,0.0,323.0,42765.0,20113.0,28873.0,595.0,350.0,host,92348,42765.0,93271
15-05-2026-direct-cold-0000,CRIU,cold,no,713,25273,30200.0,297,43217,0.0,x86_64,x86_64,True,True,transfer_mode=direct,2026-05-15T03:43:57.970598,6_TEE_Avg,0.0,0.0,69052.0,0.0,0.0,304.0,12609.0,29598.0,0.0,0.0,298.0,direct,42207,12609.0,43217
15-05-2026-direct-cold-0001,CRIU,cold,no,679,25190,32378.0,365,53954,0.0,x86_64,x86_64,True,True,transfer_mode=direct,2026-05-15T03:45:27.327976,6_TEE_Avg,0.0,0.0,75297.0,0.0,0.0,347.0,21180.0,31729.0,0.0,0.0,301.0,direct,52910,21180.0,53954
