run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms
22-05-2026-host-cold-0000,CRIU,cold,no,1046,25806,868027,462,869535,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-22T22:54:29.779932,7_TEE_Worst,0.0,0.0,877976.0,0.0,0.0,318.0,430967.0,193203.0,243270.0,585.0,665.0
22-05-2026-host-cold-0001,CRIU,cold,no,722,25253,854839,296,855857,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-22T23:09:06.408350,7_TEE_Worst,0.0,0.0,863130.0,0.0,0.0,332.0,344560.0,270262.0,239414.0,601.0,638.0
22-05-2026-host-cold-0002,CRIU,cold,no,589,25124,624901,378,625868,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-22T23:19:53.402301,7_TEE_Worst,0.0,0.0,633143.0,0.0,0.0,327.0,239202.0,191078.0,194026.0,594.0,653.0
22-05-2026-host-cold-0003,CRIU,cold,no,665,25496,799391,329,800385,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-22T23:33:34.884398,7_TEE_Worst,0.0,0.0,807672.0,0.0,0.0,337.0,229088.0,303156.0,266553.0,593.0,635.0
22-05-2026-host-cold-0004,CRIU,cold,no,644,25253,847503,341,848488,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-22T23:48:04.595739,7_TEE_Worst,0.0,0.0,855834.0,0.0,0.0,308.0,418807.0,173754.0,254336.0,605.0,674.0
22-05-2026-host-cold-0005,CRIU,cold,no,602,25045,1124689,369,1125660,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T00:07:11.223313,7_TEE_Worst,0.0,0.0,1132916.0,0.0,0.0,301.0,257011.0,529473.0,337599.0,604.0,661.0
22-05-2026-host-cold-0006,CRIU,cold,no,602,25307,904327,323,905252,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T00:22:37.522042,7_TEE_Worst,0.0,0.0,912612.0,0.0,0.0,305.0,230607.0,150449.0,522679.0,590.0,636.0
22-05-2026-host-cold-0007,CRIU,cold,no,569,25368,976499,314,977382,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T00:39:15.991035,7_TEE_Worst,0.0,0.0,984608.0,0.0,0.0,331.0,278872.0,427516.0,269444.0,666.0,632.0
22-05-2026-host-cold-0008,CRIU,cold,no,572,25474,899651,345,900568,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T00:54:37.872348,7_TEE_Worst,0.0,0.0,908155.0,0.0,0.0,302.0,309063.0,373901.0,215925.0,761.0,697.0
22-05-2026-host-cold-0009,CRIU,cold,no,632,25359,839148,307,840087,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T01:08:59.077950,7_TEE_Worst,0.0,0.0,847470.0,0.0,0.0,315.0,313063.0,235916.0,289394.0,774.0,625.0
22-05-2026-host-cold-0010,CRIU,cold,no,577,25094,1386455,365,1387397,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T01:32:27.623384,7_TEE_Worst,0.0,0.0,1394777.0,0.0,0.0,315.0,383233.0,622888.0,379743.0,590.0,650.0
22-05-2026-host-cold-0011,CRIU,cold,no,619,25186,898153,291,899063,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T01:47:47.750639,7_TEE_Worst,0.0,0.0,906422.0,0.0,0.0,312.0,237805.0,242157.0,417527.0,662.0,669.0
22-05-2026-host-cold-0012,CRIU,cold,no,625,25449,1295125,295,1296045,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T02:09:44.669133,7_TEE_Worst,0.0,0.0,1303327.0,0.0,0.0,345.0,382610.0,500167.0,411770.0,577.0,614.0
22-05-2026-host-cold-0013,CRIU,cold,no,644,25308,851192,296,852132,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T02:24:18.034471,7_TEE_Worst,0.0,0.0,859557.0,0.0,0.0,337.0,399288.0,259043.0,192279.0,581.0,668.0
22-05-2026-host-cold-0014,CRIU,cold,no,604,25390,661991,313,662908,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T02:35:42.091607,7_TEE_Worst,0.0,0.0,670248.0,0.0,0.0,319.0,239605.0,177166.0,244626.0,593.0,660.0
22-05-2026-host-cold-0015,CRIU,cold,no,583,25443,822129,326,823038,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T02:49:46.535276,7_TEE_Worst,0.0,0.0,830501.0,0.0,0.0,312.0,277398.0,229953.0,314165.0,612.0,653.0
22-05-2026-host-cold-0016,CRIU,cold,no,588,25499,971322,368,972278,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T03:06:19.961935,7_TEE_Worst,0.0,0.0,979662.0,0.0,0.0,355.0,377756.0,206083.0,386898.0,584.0,651.0
22-05-2026-host-cold-0017,CRIU,cold,no,631,25358,1255797,306,1256734,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T03:27:37.795437,7_TEE_Worst,0.0,0.0,1264130.0,0.0,0.0,309.0,511372.0,278457.0,465184.0,783.0,627.0
22-05-2026-host-cold-0018,CRIU,cold,no,709,25218,1037200,312,1038221,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T03:45:17.104922,7_TEE_Worst,0.0,0.0,1045516.0,0.0,0.0,318.0,538932.0,250207.0,247445.0,614.0,625.0
22-05-2026-host-cold-0019,CRIU,cold,no,593,25482,698857,315,699765,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T03:57:17.860533,7_TEE_Worst,0.0,0.0,707056.0,0.0,0.0,314.0,245657.0,269007.0,183601.0,590.0,621.0
22-05-2026-host-cold-0020,CRIU,cold,no,594,25255,637891,301,638786,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T04:08:17.872026,7_TEE_Worst,0.0,0.0,646236.0,0.0,0.0,330.0,252130.0,156480.0,228661.0,618.0,688.0
22-05-2026-host-cold-0021,CRIU,cold,no,585,25166,776865,288,777738,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T04:21:37.072764,7_TEE_Worst,0.0,0.0,785114.0,0.0,0.0,352.0,259370.0,315712.0,201156.0,625.0,648.0
22-05-2026-host-cold-0022,CRIU,cold,no,605,25271,798241,309,799155,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T04:35:18.352557,7_TEE_Worst,0.0,0.0,806477.0,0.0,0.0,336.0,264787.0,277141.0,255709.0,602.0,632.0
22-05-2026-host-cold-0023,CRIU,cold,no,549,25124,1274765,341,1275655,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T04:56:55.308166,7_TEE_Worst,0.0,0.0,1283052.0,0.0,0.0,317.0,234182.0,405150.0,634855.0,576.0,635.0
22-05-2026-host-cold-0024,CRIU,cold,no,642,25367,666014,315,666971,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T05:08:23.591652,7_TEE_Worst,0.0,0.0,674393.0,0.0,0.0,396.0,245493.0,201505.0,218360.0,654.0,686.0
22-05-2026-host-cold-0025,CRIU,cold,no,644,25479,1743220,317,1744181,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T05:37:48.842008,7_TEE_Worst,0.0,0.0,1751495.0,0.0,0.0,330.0,541037.0,358726.0,842868.0,587.0,626.0
