run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms,transfer_mode,raw_transfer_ms,transfer_setup_removed_ms,raw_downtime_ms
22-05-2026-host-cold-0000,CRIU,cold,no,1046,25806,438043.0,462,439551.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-22T22:54:29.779932,7_TEE_Worst,0.0,0.0,877976.0,0.0,0.0,318.0,430967.0,193203.0,243270.0,585.0,665.0,host,868027,430967.0,869535
22-05-2026-host-cold-0001,CRIU,cold,no,722,25253,511249.0,296,512267.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-22T23:09:06.408350,7_TEE_Worst,0.0,0.0,863130.0,0.0,0.0,332.0,344560.0,270262.0,239414.0,601.0,638.0,host,854839,344560.0,855857
22-05-2026-host-cold-0002,CRIU,cold,no,589,25124,386679.0,378,387646.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-22T23:19:53.402301,7_TEE_Worst,0.0,0.0,633143.0,0.0,0.0,327.0,239202.0,191078.0,194026.0,594.0,653.0,host,624901,239202.0,625868
22-05-2026-host-cold-0003,CRIU,cold,no,665,25496,571275.0,329,572269.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-22T23:33:34.884398,7_TEE_Worst,0.0,0.0,807672.0,0.0,0.0,337.0,229088.0,303156.0,266553.0,593.0,635.0,host,799391,229088.0,800385
22-05-2026-host-cold-0004,CRIU,cold,no,644,25253,429678.0,341,430663.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-22T23:48:04.595739,7_TEE_Worst,0.0,0.0,855834.0,0.0,0.0,308.0,418807.0,173754.0,254336.0,605.0,674.0,host,847503,418807.0,848488
22-05-2026-host-cold-0005,CRIU,cold,no,602,25045,868640.0,369,869611.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T00:07:11.223313,7_TEE_Worst,0.0,0.0,1132916.0,0.0,0.0,301.0,257011.0,529473.0,337599.0,604.0,661.0,host,1124689,257011.0,1125660
22-05-2026-host-cold-0006,CRIU,cold,no,602,25307,674661.0,323,675586.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T00:22:37.522042,7_TEE_Worst,0.0,0.0,912612.0,0.0,0.0,305.0,230607.0,150449.0,522679.0,590.0,636.0,host,904327,230607.0,905252
22-05-2026-host-cold-0007,CRIU,cold,no,569,25368,698590.0,314,699473.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T00:39:15.991035,7_TEE_Worst,0.0,0.0,984608.0,0.0,0.0,331.0,278872.0,427516.0,269444.0,666.0,632.0,host,976499,278872.0,977382
22-05-2026-host-cold-0008,CRIU,cold,no,572,25474,591587.0,345,592504.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T00:54:37.872348,7_TEE_Worst,0.0,0.0,908155.0,0.0,0.0,302.0,309063.0,373901.0,215925.0,761.0,697.0,host,899651,309063.0,900568
22-05-2026-host-cold-0009,CRIU,cold,no,632,25359,527025.0,307,527964.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T01:08:59.077950,7_TEE_Worst,0.0,0.0,847470.0,0.0,0.0,315.0,313063.0,235916.0,289394.0,774.0,625.0,host,839148,313063.0,840087
22-05-2026-host-cold-0010,CRIU,cold,no,577,25094,1004187.0,365,1005129.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T01:32:27.623384,7_TEE_Worst,0.0,0.0,1394777.0,0.0,0.0,315.0,383233.0,622888.0,379743.0,590.0,650.0,host,1386455,383233.0,1387397
22-05-2026-host-cold-0011,CRIU,cold,no,619,25186,661329.0,291,662239.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T01:47:47.750639,7_TEE_Worst,0.0,0.0,906422.0,0.0,0.0,312.0,237805.0,242157.0,417527.0,662.0,669.0,host,898153,237805.0,899063
22-05-2026-host-cold-0012,CRIU,cold,no,625,25449,913474.0,295,914394.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T02:09:44.669133,7_TEE_Worst,0.0,0.0,1303327.0,0.0,0.0,345.0,382610.0,500167.0,411770.0,577.0,614.0,host,1295125,382610.0,1296045
22-05-2026-host-cold-0013,CRIU,cold,no,644,25308,452909.0,296,453849.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T02:24:18.034471,7_TEE_Worst,0.0,0.0,859557.0,0.0,0.0,337.0,399288.0,259043.0,192279.0,581.0,668.0,host,851192,399288.0,852132
22-05-2026-host-cold-0014,CRIU,cold,no,604,25390,423365.0,313,424282.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T02:35:42.091607,7_TEE_Worst,0.0,0.0,670248.0,0.0,0.0,319.0,239605.0,177166.0,244626.0,593.0,660.0,host,661991,239605.0,662908
22-05-2026-host-cold-0015,CRIU,cold,no,583,25443,545696.0,326,546605.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-23T02:49:46.535276,7_TEE_Worst,0.0,0.0,830501.0,0.0,0.0,312.0,277398.0,229953.0,314165.0,612.0,653.0,host,822129,277398.0,823038
