run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name
22-04-2026-host-cold-0000,CRIU,cold,no,626,25421,6524,303,7453,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-22T19:22:19.941652,1_WiFi_6
22-04-2026-host-cold-0001,CRIU,cold,no,596,25602,6297,308,7201,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-22T19:22:48.710795,1_WiFi_6
22-04-2026-host-cold-0002,CRIU,cold,no,608,25215,7003,381,7992,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-22T19:23:19.261962,1_WiFi_6
22-04-2026-host-cold-0003,CRIU,cold,no,608,25263,6369,315,7292,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-22T19:23:48.677032,1_WiFi_6
22-04-2026-host-cold-0004,CRIU,cold,no,601,25331,7023,324,7948,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-22T19:24:18.953114,1_WiFi_6
22-04-2026-host-cold-0005,CRIU,cold,no,624,25352,6313,307,7244,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-22T19:24:47.955965,1_WiFi_6
22-04-2026-host-cold-0006,CRIU,cold,no,622,25336,6666,314,7602,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-22T19:25:17.899845,1_WiFi_6
22-04-2026-host-cold-0007,CRIU,cold,no,624,25213,6556,312,7492,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-22T19:25:47.046942,1_WiFi_6
22-04-2026-host-cold-0008,CRIU,cold,no,603,25196,6693,313,7609,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-22T19:26:17.124318,1_WiFi_6
22-04-2026-host-cold-0009,CRIU,cold,no,631,25164,6390,310,7331,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-22T19:26:46.157906,1_WiFi_6
22-04-2026-host-cold-0010,CRIU,cold,no,643,25347,6385,317,7345,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-22T19:27:15.827179,1_WiFi_6
22-04-2026-host-cold-0011,CRIU,cold,no,613,25296,6700,309,7622,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-22T19:27:44.993237,1_WiFi_6
22-04-2026-host-cold-0012,CRIU,cold,no,613,25388,6746,308,7667,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-22T19:28:14.502005,1_WiFi_6
22-04-2026-host-cold-0013,CRIU,cold,no,598,25073,6632,307,7537,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-22T19:28:43.630440,1_WiFi_6
22-04-2026-host-cold-0014,CRIU,cold,no,615,25445,6908,305,7828,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-22T19:29:13.042218,1_WiFi_6
22-04-2026-host-cold-0015,CRIU,cold,no,589,25437,6675,316,7580,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-22T19:29:41.940525,1_WiFi_6
22-04-2026-host-cold-0016,CRIU,cold,no,610,25089,6877,310,7797,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-22T19:30:11.140414,1_WiFi_6
22-04-2026-host-cold-0017,CRIU,cold,no,632,25178,6554,300,7486,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-22T19:30:40.057757,1_WiFi_6
22-04-2026-host-cold-0018,CRIU,cold,no,608,25165,6289,306,7203,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-22T19:31:08.845413,1_WiFi_6
22-04-2026-host-cold-0019,CRIU,cold,no,596,25132,6330,314,7240,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-22T19:31:37.646300,1_WiFi_6
22-04-2026-direct-cold-0000,CRIU,cold,no,602,25386,2938,310,3850,0.07,x86_64,x86_64,True,True,transfer_mode=direct,2026-04-22T19:32:04.877635,1_WiFi_6
22-04-2026-direct-cold-0001,CRIU,cold,no,599,25170,2832,304,3735,0.07,x86_64,x86_64,True,True,transfer_mode=direct,2026-04-22T19:32:32.464807,1_WiFi_6
22-04-2026-direct-cold-0002,CRIU,cold,no,857,25153,2785,298,3940,0.07,x86_64,x86_64,True,True,transfer_mode=direct,2026-04-22T19:32:59.457879,1_WiFi_6
22-04-2026-direct-cold-0003,CRIU,cold,no,606,25249,2847,309,3762,0.07,x86_64,x86_64,True,True,transfer_mode=direct,2026-04-22T19:33:27.159951,1_WiFi_6
22-04-2026-direct-cold-0004,CRIU,cold,no,602,25195,2828,315,3745,0.07,x86_64,x86_64,True,True,transfer_mode=direct,2026-04-22T19:33:54.116936,1_WiFi_6
22-04-2026-direct-cold-0005,CRIU,cold,no,879,25264,3245,304,4428,0.06,x86_64,x86_64,True,True,transfer_mode=direct,2026-04-22T19:34:21.924825,1_WiFi_6
22-04-2026-direct-cold-0006,CRIU,cold,no,607,25248,2960,302,3869,0.07,x86_64,x86_64,True,True,transfer_mode=direct,2026-04-22T19:34:48.888651,1_WiFi_6
22-04-2026-direct-cold-0007,CRIU,cold,no,593,25418,2831,309,3733,0.07,x86_64,x86_64,True,True,transfer_mode=direct,2026-04-22T19:35:15.932107,1_WiFi_6
22-04-2026-direct-cold-0008,CRIU,cold,no,612,25139,2856,304,3772,0.07,x86_64,x86_64,True,True,transfer_mode=direct,2026-04-22T19:35:43.464354,1_WiFi_6
22-04-2026-direct-cold-0009,CRIU,cold,no,611,25338,2861,307,3779,0.07,x86_64,x86_64,True,True,transfer_mode=direct,2026-04-22T19:36:10.505727,1_WiFi_6
22-04-2026-direct-cold-0010,CRIU,cold,no,595,25333,2868,334,3797,0.07,x86_64,x86_64,True,True,transfer_mode=direct,2026-04-22T19:36:38.058320,1_WiFi_6
22-04-2026-direct-cold-0011,CRIU,cold,no,620,25237,2829,299,3748,0.07,x86_64,x86_64,True,True,transfer_mode=direct,2026-04-22T19:37:05.063660,1_WiFi_6
22-04-2026-direct-cold-0012,CRIU,cold,no,882,25102,2853,304,4039,0.07,x86_64,x86_64,True,True,transfer_mode=direct,2026-04-22T19:37:32.659245,1_WiFi_6
22-04-2026-direct-cold-0013,CRIU,cold,no,614,25264,2845,308,3767,0.07,x86_64,x86_64,True,True,transfer_mode=direct,2026-04-22T19:37:59.385838,1_WiFi_6
22-04-2026-direct-cold-0014,CRIU,cold,no,612,25051,3108,302,4022,0.06,x86_64,x86_64,True,True,transfer_mode=direct,2026-04-22T19:38:26.473727,1_WiFi_6
22-04-2026-direct-cold-0015,CRIU,cold,no,591,25081,2863,308,3762,0.07,x86_64,x86_64,True,True,transfer_mode=direct,2026-04-22T19:38:53.814878,1_WiFi_6
22-04-2026-direct-cold-0016,CRIU,cold,no,600,25235,3093,305,3998,0.07,x86_64,x86_64,True,True,transfer_mode=direct,2026-04-22T19:39:21.585132,1_WiFi_6
22-04-2026-direct-cold-0017,CRIU,cold,no,608,25423,2795,305,3708,0.07,x86_64,x86_64,True,True,transfer_mode=direct,2026-04-22T19:39:48.770663,1_WiFi_6
22-04-2026-direct-cold-0018,CRIU,cold,no,605,25194,2813,305,3723,0.07,x86_64,x86_64,True,True,transfer_mode=direct,2026-04-22T19:40:15.497710,1_WiFi_6
22-04-2026-direct-cold-0019,CRIU,cold,no,890,25078,2838,299,4027,0.07,x86_64,x86_64,True,True,transfer_mode=direct,2026-04-22T19:40:42.998615,1_WiFi_6
22-04-2026-host-precopy-0000,CRIU,precopy,no,589,33031,6819,303,7711,0.04,x86_64,x86_64,True,True,transfer_mode=host;iterations=3;relay_node=edge-host-1,2026-04-22T19:41:15.659542,1_WiFi_6
