run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms
01-05-2026-host-cold-0000,CRIU,cold,no,424,26235,7511,415,8350,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T03:24:15.961026,1_WiFi_6,0.0,0.0,17524.0,0.0,0.0,307.0,5415.0,902.0,915.0,277.0,314.0
01-05-2026-host-cold-0001,CRIU,cold,no,318,25531,6770,358,7446,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T03:24:45.374866,1_WiFi_6,0.0,0.0,16201.0,0.0,0.0,339.0,4720.0,887.0,901.0,261.0,307.0
01-05-2026-host-cold-0002,CRIU,cold,no,344,25313,7247,312,7903,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T03:25:16.001960,1_WiFi_6,0.0,0.0,16691.0,0.0,0.0,338.0,5198.0,868.0,903.0,275.0,341.0
01-05-2026-host-cold-0003,CRIU,cold,no,342,25427,6936,301,7579,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T03:25:45.683846,1_WiFi_6,0.0,0.0,16278.0,0.0,0.0,314.0,4889.0,912.0,858.0,276.0,367.0
01-05-2026-host-cold-0004,CRIU,cold,no,282,25467,7287,339,7908,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T03:26:25.606900,1_WiFi_6,0.0,0.0,16584.0,0.0,0.0,278.0,5167.0,919.0,865.0,335.0,353.0
01-05-2026-host-cold-0005,CRIU,cold,no,324,25323,7132,310,7766,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T03:26:55.304243,1_WiFi_6,0.0,0.0,16382.0,0.0,0.0,300.0,5007.0,1011.0,854.0,258.0,300.0
01-05-2026-host-cold-0006,CRIU,cold,no,347,25297,7334,358,8039,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T03:27:26.199675,1_WiFi_6,0.0,0.0,16852.0,0.0,0.0,351.0,5274.0,898.0,772.0,388.0,334.0
01-05-2026-host-cold-0007,CRIU,cold,no,281,25338,7077,307,7665,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T03:27:55.664735,1_WiFi_6,0.0,0.0,16220.0,0.0,0.0,346.0,5007.0,870.0,909.0,288.0,300.0
01-05-2026-host-cold-0008,CRIU,cold,no,381,25381,7176,304,7861,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T03:28:26.347833,1_WiFi_6,0.0,0.0,16663.0,0.0,0.0,302.0,5056.0,926.0,897.0,296.0,302.0
01-05-2026-host-cold-0009,CRIU,cold,no,329,25415,7067,318,7714,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T03:28:56.255127,1_WiFi_6,0.0,0.0,16486.0,0.0,0.0,301.0,4936.0,958.0,791.0,381.0,309.0
01-05-2026-direct-cold-0000,CRIU,cold,no,357,25523,3146,299,3802,0.06,x86_64,x86_64,True,True,transfer_mode=direct,2026-05-01T03:29:24.704068,1_WiFi_6,0.0,0.0,14399.0,0.0,0.0,345.0,2268.0,877.0,0.0,0.0,317.0
01-05-2026-direct-cold-0001,CRIU,cold,no,325,25177,3097,328,3750,0.07,x86_64,x86_64,True,True,transfer_mode=direct,2026-05-01T03:29:52.136489,1_WiFi_6,0.0,0.0,14237.0,0.0,0.0,304.0,2211.0,885.0,0.0,0.0,311.0
