run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms
01-05-2026-host-cold-0040,CRIU,cold,no,492,26250,7957,405,8854,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T11:20:54.895690,2_5G,0.0,0.0,18245.0,0.0,0.0,305.0,5291.0,1256.0,1130.0,278.0,351.0
01-05-2026-host-cold-0041,CRIU,cold,no,332,25369,7663,308,8303,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T11:21:25.311634,2_5G,0.0,0.0,16959.0,0.0,0.0,307.0,5104.0,1178.0,1106.0,274.0,299.0
01-05-2026-host-cold-0042,CRIU,cold,no,326,25603,7920,281,8527,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T11:21:56.796717,2_5G,0.0,0.0,17354.0,0.0,0.0,305.0,5353.0,1125.0,1153.0,287.0,322.0
01-05-2026-host-cold-0043,CRIU,cold,no,321,25603,7300,296,7917,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T11:22:26.570645,2_5G,0.0,0.0,16546.0,0.0,0.0,300.0,4784.0,1115.0,1103.0,296.0,343.0
01-05-2026-host-cold-0044,CRIU,cold,no,322,25228,7899,316,8537,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T11:22:57.436866,2_5G,0.0,0.0,17229.0,0.0,0.0,320.0,5258.0,1151.0,1197.0,291.0,335.0
01-05-2026-host-cold-0045,CRIU,cold,no,333,25503,7340,306,7979,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T11:23:27.449792,2_5G,0.0,0.0,16713.0,0.0,0.0,322.0,4857.0,1100.0,1122.0,259.0,403.0
01-05-2026-host-cold-0046,CRIU,cold,no,355,25474,7788,308,8451,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T11:23:58.609439,2_5G,0.0,0.0,17144.0,0.0,0.0,302.0,5264.0,1113.0,1128.0,282.0,328.0
01-05-2026-host-cold-0047,CRIU,cold,no,332,25283,7534,307,8173,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T11:24:28.807063,2_5G,0.0,0.0,16917.0,0.0,0.0,313.0,4971.0,1111.0,1156.0,294.0,322.0
01-05-2026-host-cold-0048,CRIU,cold,no,337,25429,7533,358,8228,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T11:24:59.734832,2_5G,0.0,0.0,16969.0,0.0,0.0,345.0,5154.0,1042.0,966.0,370.0,353.0
01-05-2026-host-cold-0049,CRIU,cold,no,282,25400,7585,314,8181,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-01T11:25:30.045267,2_5G,0.0,0.0,16994.0,0.0,0.0,373.0,5095.0,1111.0,1096.0,282.0,340.0
01-05-2026-direct-cold-0040,CRIU,cold,no,324,25284,3508,351,4183,0.06,x86_64,x86_64,True,True,transfer_mode=direct,2026-05-01T11:25:59.141341,2_5G,0.0,0.0,14961.0,0.0,0.0,350.0,2297.0,1211.0,0.0,0.0,346.0
01-05-2026-direct-cold-0041,CRIU,cold,no,337,25320,3471,291,4099,0.06,x86_64,x86_64,True,True,transfer_mode=direct,2026-05-01T11:26:27.402448,2_5G,0.0,0.0,15026.0,0.0,0.0,302.0,2354.0,1117.0,0.0,0.0,325.0
01-05-2026-direct-cold-0042,CRIU,cold,no,309,25363,3465,291,4065,0.06,x86_64,x86_64,True,True,transfer_mode=direct,2026-05-01T11:26:56.181404,2_5G,0.0,0.0,14731.0,0.0,0.0,332.0,2352.0,1112.0,0.0,0.0,308.0
