run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms,transfer_mode,raw_transfer_ms,transfer_setup_removed_ms,raw_downtime_ms
06-05-2026-host-cold-0000,CRIU,cold,no,422,12682177,4575.0,458,8524,13.27,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-06T16:43:19.078616,1_WiFi_6,0.0,0.0,19423.0,0.0,0.0,1627.0,5215.0,1064.0,1077.0,286.0,519.0,host,7644,5215.0,8524
06-05-2026-host-cold-0001,CRIU,cold,no,378,12681569,4837.0,323,8063,13.78,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-06T16:43:51.074095,1_WiFi_6,0.0,0.0,18633.0,0.0,0.0,1657.0,4780.0,1143.0,1093.0,344.0,598.0,host,7362,4780.0,8063
06-05-2026-host-cold-0002,CRIU,cold,no,356,12681470,4751.0,342,8334,13.29,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-06T16:44:23.560297,1_WiFi_6,0.0,0.0,18642.0,0.0,0.0,1619.0,5105.0,1147.0,1108.0,274.0,601.0,host,7636,5105.0,8334
06-05-2026-host-cold-0003,CRIU,cold,no,348,12681242,4631.0,335,7937,13.99,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-06T16:44:55.173515,1_WiFi_6,0.0,0.0,18487.0,0.0,0.0,1638.0,4783.0,1087.0,1090.0,292.0,522.0,host,7254,4783.0,7937
06-05-2026-host-cold-0004,CRIU,cold,no,353,12681589,4681.0,334,8231,13.45,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-06T16:45:27.177428,1_WiFi_6,0.0,0.0,18366.0,0.0,0.0,1587.0,4983.0,1166.0,1128.0,265.0,533.0,host,7544,4983.0,8231
06-05-2026-host-cold-0005,CRIU,cold,no,353,12681401,4855.0,328,8006,13.85,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-06T16:45:59.593223,1_WiFi_6,0.0,0.0,18631.0,0.0,0.0,1597.0,4681.0,1164.0,1091.0,388.0,614.0,host,7325,4681.0,8006
06-05-2026-host-cold-0006,CRIU,cold,no,386,12681668,4807.0,332,8606,12.86,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-06T16:46:32.224421,1_WiFi_6,0.0,0.0,18940.0,0.0,0.0,1604.0,5226.0,1113.0,1257.0,290.0,541.0,host,7888,5226.0,8606
06-05-2026-host-cold-0007,CRIU,cold,no,344,12681177,4741.0,408,8469,13.15,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-06T16:47:04.522522,1_WiFi_6,0.0,0.0,18746.0,0.0,0.0,1621.0,5139.0,1158.0,1150.0,269.0,542.0,host,7717,5139.0,8469
06-05-2026-host-cold-0008,CRIU,cold,no,437,12681513,4760.0,294,8306,13.39,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-06T16:47:36.855776,1_WiFi_6,0.0,0.0,18492.0,0.0,0.0,1604.0,4972.0,1113.0,1106.0,382.0,553.0,host,7575,4972.0,8306
06-05-2026-host-cold-0009,CRIU,cold,no,401,12681419,4586.0,341,8374,13.29,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-06T16:48:08.785919,1_WiFi_6,0.0,0.0,18606.0,0.0,0.0,1608.0,5188.0,1055.0,1109.0,278.0,534.0,host,7632,5188.0,8374
06-05-2026-direct-cold-0000,CRIU,cold,no,391,12681494,3265.0,318,4084,30.06,x86_64,x86_64,True,True,transfer_mode=direct,2026-05-06T16:48:39.024441,1_WiFi_6,0.0,0.0,16462.0,0.0,0.0,1597.0,2252.0,1122.0,0.0,0.0,545.0,direct,3375,2252.0,4084
06-05-2026-direct-cold-0001,CRIU,cold,no,347,12681573,3239.0,348,4021,30.5,x86_64,x86_64,True,True,transfer_mode=direct,2026-05-06T16:49:09.033918,1_WiFi_6,0.0,0.0,16697.0,0.0,0.0,1670.0,2364.0,962.0,0.0,0.0,607.0,direct,3326,2364.0,4021
06-05-2026-direct-cold-0002,CRIU,cold,no,372,12681499,3338.0,405,4089,30.63,x86_64,x86_64,True,True,transfer_mode=direct,2026-05-06T16:49:38.988779,1_WiFi_6,0.0,0.0,16355.0,0.0,0.0,1654.0,2175.0,1137.0,0.0,0.0,547.0,direct,3312,2175.0,4089
