run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms,transfer_mode,raw_transfer_ms,transfer_setup_removed_ms,raw_downtime_ms
10-05-2026-host-cold-0000,CRIU,cold,no,438,12681987,5355.0,488,6281.0,11.77,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-10T23:10:17.872168,2_5G,0.0,0.0,20337.0,0.0,0.0,1587.0,5391.0,1500.0,1426.0,304.0,537.0,host,8622,5391.0,9548
10-05-2026-host-cold-0001,CRIU,cold,no,350,12681324,5452.0,312,6114.0,12.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-10T23:10:50.703506,2_5G,0.0,0.0,19552.0,0.0,0.0,1622.0,5122.0,1517.0,1511.0,283.0,517.0,host,8435,5122.0,9097
10-05-2026-host-cold-0002,CRIU,cold,no,332,12681457,5411.0,326,6069.0,11.66,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-10T23:11:24.013061,2_5G,0.0,0.0,19552.0,0.0,0.0,1592.0,5427.0,1529.0,1420.0,323.0,545.0,host,8701,5427.0,9359
10-05-2026-host-cold-0003,CRIU,cold,no,341,12681318,5943.0,332,6616.0,12.0,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-10T23:11:57.054295,2_5G,0.0,0.0,19619.0,0.0,0.0,1640.0,4996.0,1567.0,1550.0,341.0,843.0,host,8456,4996.0,9129
10-05-2026-host-cold-0004,CRIU,cold,no,380,12681500,5503.0,334,6217.0,11.75,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-10T23:12:30.416139,2_5G,0.0,0.0,19548.0,0.0,0.0,1629.0,5278.0,1544.0,1550.0,264.0,515.0,host,8637,5278.0,9351
10-05-2026-host-cold-0005,CRIU,cold,no,339,12681394,5617.0,330,6286.0,11.33,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-10T23:13:03.569097,2_5G,0.0,0.0,19804.0,0.0,0.0,1585.0,5457.0,1517.0,1671.0,307.0,535.0,host,8954,5457.0,9623
10-05-2026-host-cold-0006,CRIU,cold,no,354,12681327,5519.0,313,6186.0,11.77,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-10T23:13:36.888194,2_5G,0.0,0.0,19465.0,0.0,0.0,1683.0,5325.0,1530.0,1473.0,289.0,542.0,host,8619,5325.0,9286
10-05-2026-host-cold-0007,CRIU,cold,no,328,12681442,5622.0,328,6278.0,12.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-10T23:14:09.902860,2_5G,0.0,0.0,19771.0,0.0,0.0,1630.0,4984.0,1506.0,1586.0,365.0,534.0,host,8442,4984.0,9098
10-05-2026-host-cold-0008,CRIU,cold,no,362,12681495,5491.0,331,6184.0,11.59,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-10T23:14:43.341060,2_5G,0.0,0.0,19721.0,0.0,0.0,1610.0,5459.0,1451.0,1553.0,288.0,588.0,host,8752,5459.0,9445
10-05-2026-host-cold-0009,CRIU,cold,no,336,12681441,5413.0,318,6067.0,12.2,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-10T23:15:16.295296,2_5G,0.0,0.0,19238.0,0.0,0.0,1612.0,5053.0,1452.0,1503.0,303.0,541.0,host,8313,5053.0,8967
