run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms,transfer_mode,raw_transfer_ms,transfer_setup_removed_ms,raw_downtime_ms
12-05-2026-host-cold-0000,CRIU,cold,no,416,12682314,99536.0,409,100361.0,0.96,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-12T06:23:21.441995,4_Starlink,0.0,0.0,117365.0,0.0,0.0,1612.0,7961.0,53342.0,43782.0,266.0,531.0,host,105354,7961.0,106179
12-05-2026-host-cold-0001,CRIU,cold,no,356,12681272,114818.0,340,115514.0,0.85,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-12T06:25:45.425342,4_Starlink,0.0,0.0,130343.0,0.0,0.0,1598.0,6842.0,63017.0,49325.0,351.0,525.0,host,119537,6842.0,120233
12-05-2026-host-cold-0002,CRIU,cold,no,345,12681424,52180.0,413,52938.0,1.78,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-12T06:27:07.751497,4_Starlink,0.0,0.0,68532.0,0.0,0.0,1606.0,7412.0,27917.0,21374.0,383.0,899.0,host,57087,7412.0,57845
12-05-2026-host-cold-0003,CRIU,cold,no,361,12681381,99154.0,337,99852.0,0.97,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-12T06:29:16.487296,4_Starlink,0.0,0.0,115198.0,0.0,0.0,1609.0,7310.0,47799.0,48642.0,591.0,511.0,host,104344,7310.0,105042
12-05-2026-host-cold-0004,CRIU,cold,no,379,12681378,106720.0,325,107424.0,0.91,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-12T06:31:33.511245,4_Starlink,0.0,0.0,122774.0,0.0,0.0,1626.0,6877.0,49499.0,54784.0,271.0,539.0,host,111432,6877.0,112136
12-05-2026-host-cold-0005,CRIU,cold,no,363,12681428,94169.0,337,94869.0,1.02,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-12T06:33:37.164829,4_Starlink,0.0,0.0,110006.0,0.0,0.0,1735.0,7173.0,46735.0,44588.0,585.0,524.0,host,99083,7173.0,99783
12-05-2026-host-cold-0006,CRIU,cold,no,365,12681402,98202.0,314,98881.0,0.99,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-12T06:35:44.766796,4_Starlink,0.0,0.0,113764.0,0.0,0.0,1638.0,6727.0,43844.0,51594.0,266.0,859.0,host,102432,6727.0,103111
12-05-2026-host-cold-0007,CRIU,cold,no,359,12681478,68882.0,333,69574.0,1.38,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-12T06:37:23.537247,4_Starlink,0.0,0.0,84813.0,0.0,0.0,1646.0,6875.0,61307.0,5038.0,362.0,528.0,host,73583,6875.0,74275
12-05-2026-host-cold-0008,CRIU,cold,no,431,12681329,87193.0,357,87981.0,1.11,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-12T06:39:19.687811,4_Starlink,0.0,0.0,102529.0,0.0,0.0,1644.0,6506.0,41735.0,43007.0,268.0,539.0,host,91516,6506.0,92304
12-05-2026-host-cold-0009,CRIU,cold,no,364,12681445,118735.0,303,119402.0,0.82,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-12T06:41:48.252813,4_Starlink,0.0,0.0,134553.0,0.0,0.0,1609.0,6733.0,56586.0,59723.0,285.0,531.0,host,123328,6733.0,123995
