run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms
13-05-2026-host-cold-0000,CRIU,cold,no,448,12682187,1008030,418,1008896,0.1,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-13T04:03:07.607080,5_TEE_Best,0.0,0.0,1020344.0,0.0,0.0,1632.0,16038.0,521161.0,470229.0,600.0,851.0
13-05-2026-host-cold-0001,CRIU,cold,no,389,12681302,1088674,343,1089406,0.09,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-13T04:21:40.709148,5_TEE_Best,0.0,0.0,1099854.0,0.0,0.0,1584.0,16111.0,553641.0,518302.0,620.0,887.0
13-05-2026-host-cold-0002,CRIU,cold,no,375,12681322,953254,317,953946,0.11,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-13T04:37:58.866074,5_TEE_Best,0.0,0.0,964455.0,0.0,0.0,1639.0,18208.0,447267.0,486486.0,1291.0,859.0
13-05-2026-host-cold-0003,CRIU,cold,no,341,12681453,1012263,322,1012926,0.1,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-13T04:55:16.025619,5_TEE_Best,0.0,0.0,1023494.0,0.0,0.0,1603.0,16785.0,488510.0,506334.0,632.0,866.0
13-05-2026-host-cold-0004,CRIU,cold,no,367,12681419,967939,401,968707,0.1,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-13T05:11:49.160272,5_TEE_Best,0.0,0.0,979336.0,0.0,0.0,1584.0,14974.0,489396.0,462973.0,594.0,834.0
13-05-2026-host-cold-0005,CRIU,cold,no,337,12681235,888796,338,889471,0.11,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-13T05:27:02.833391,5_TEE_Best,0.0,0.0,899954.0,0.0,0.0,1613.0,17378.0,460461.0,410369.0,585.0,844.0
13-05-2026-host-cold-0006,CRIU,cold,no,383,12681587,970073,298,970754,0.1,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-13T05:43:37.981162,5_TEE_Best,0.0,0.0,981336.0,0.0,0.0,1616.0,16734.0,465224.0,487483.0,630.0,854.0
13-05-2026-host-cold-0007,CRIU,cold,no,355,12681486,1014962,339,1015656,0.1,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-13T06:00:57.986924,5_TEE_Best,0.0,0.0,1026280.0,0.0,0.0,1649.0,22888.0,506826.0,484603.0,644.0,878.0
13-05-2026-host-cold-0008,CRIU,cold,no,371,12681492,1018101,336,1018808,0.1,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-13T06:18:21.219525,5_TEE_Best,0.0,0.0,1029327.0,0.0,0.0,1634.0,17474.0,510622.0,489396.0,607.0,840.0
13-05-2026-host-cold-0009,CRIU,cold,no,338,12681201,1006601,326,1007265,0.1,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-13T06:35:32.982734,5_TEE_Best,0.0,0.0,1017934.0,0.0,0.0,1619.0,15817.0,524079.0,466083.0,621.0,852.0
