run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms
16-05-2026-host-cold-0000,CRIU,cold,no,461,12682302,2342192,506,2343159,0.04,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-16T04:07:38.767256,6_TEE_Avg,0.0,0.0,2354703.0,0.0,0.0,1604.0,31197.0,1127885.0,1182339.0,770.0,854.0
16-05-2026-host-cold-0001,CRIU,cold,no,407,12681388,2387267,314,2387988,0.04,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-16T04:47:50.973316,6_TEE_Avg,0.0,0.0,2398503.0,0.0,0.0,1592.0,38455.0,1139242.0,1208972.0,596.0,865.0
16-05-2026-host-cold-0002,CRIU,cold,no,390,12681501,2438934,362,2439686,0.04,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-16T05:28:55.119103,6_TEE_Avg,0.0,0.0,2450320.0,0.0,0.0,1680.0,29380.0,1230039.0,1178857.0,656.0,890.0
16-05-2026-host-cold-0003,CRIU,cold,no,364,12681508,2394048,320,2394732,0.04,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-16T06:09:14.158411,6_TEE_Avg,0.0,0.0,2405260.0,0.0,0.0,1611.0,34520.0,1217523.0,1141395.0,609.0,907.0
16-05-2026-host-cold-0004,CRIU,cold,no,492,12681363,2555164,338,2555994,0.04,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-16T06:52:14.489491,6_TEE_Avg,0.0,0.0,2566662.0,0.0,0.0,1740.0,42359.0,1260848.0,1251314.0,641.0,863.0
16-05-2026-host-cold-0005,CRIU,cold,no,356,12681329,2406292,377,2407025,0.04,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-16T07:32:45.707331,6_TEE_Avg,0.0,0.0,2417558.0,0.0,0.0,1613.0,28984.0,1194379.0,1182275.0,653.0,859.0
16-05-2026-host-cold-0006,CRIU,cold,no,363,12681600,2442590,343,2443296,0.04,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-16T08:13:53.327851,6_TEE_Avg,0.0,0.0,2453824.0,0.0,0.0,1589.0,34868.0,1184813.0,1222312.0,595.0,841.0
16-05-2026-host-cold-0007,CRIU,cold,no,350,12681507,2377270,340,2377960,0.04,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-16T08:53:55.564549,6_TEE_Avg,0.0,0.0,2388574.0,0.0,0.0,1636.0,30955.0,1146757.0,1198972.0,585.0,845.0
16-05-2026-host-cold-0008,CRIU,cold,no,369,12681484,2490546,316,2491231,0.04,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-16T09:35:51.091880,6_TEE_Avg,0.0,0.0,2501721.0,0.0,0.0,1599.0,40041.0,1203385.0,1246493.0,626.0,859.0
16-05-2026-host-cold-0009,CRIU,cold,no,306,12681273,2670617,352,2671275,0.04,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-05-16T10:20:46.759517,6_TEE_Avg,0.0,0.0,2681765.0,0.0,0.0,1664.0,34929.0,1241136.0,1393955.0,596.0,845.0
16-05-2026-direct-cold-0000,CRIU,cold,no,350,12681484,1224134,327,1224811,0.08,x86_64,x86_64,True,True,transfer_mode=direct,2026-05-16T10:41:47.386420,6_TEE_Avg,0.0,0.0,1247004.0,0.0,0.0,1640.0,21040.0,1203093.0,0.0,0.0,883.0
