run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes
30-04-2026-host-cold-0050,CRIU,cold,yes,523,28090,6865,474,7862,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-04-30T16:03:19.644009,1_WiFi_6,0.0,0.0,21092.0,0.0,0.0
30-04-2026-host-cold-0051,CRIU,cold,yes,315,27224,6802,309,7426,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-04-30T16:04:01.478997,1_WiFi_6,0.0,0.0,21048.0,0.0,0.0
30-04-2026-host-cold-0052,CRIU,cold,yes,368,27267,6845,320,7533,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-04-30T16:04:42.297113,1_WiFi_6,0.0,0.0,20384.0,0.0,0.0
30-04-2026-host-cold-0053,CRIU,cold,yes,367,27540,6750,343,7460,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-04-30T16:05:23.676198,1_WiFi_6,0.0,0.0,20319.0,0.0,0.0
30-04-2026-host-cold-0054,CRIU,cold,yes,336,27510,7219,403,7958,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-04-30T16:06:05.831168,1_WiFi_6,0.0,0.0,21188.0,0.0,0.0
30-04-2026-host-cold-0055,CRIU,cold,yes,339,27502,6922,294,7555,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-04-30T16:06:47.028067,1_WiFi_6,0.0,0.0,20680.0,0.0,0.0
30-04-2026-host-cold-0056,CRIU,cold,yes,333,27354,6762,334,7429,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-04-30T16:07:28.526824,1_WiFi_6,0.0,0.0,20278.0,0.0,0.0
30-04-2026-host-cold-0057,CRIU,cold,yes,323,27512,7464,328,8115,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-04-30T16:08:10.188672,1_WiFi_6,0.0,0.0,21089.0,0.0,0.0
30-04-2026-host-cold-0058,CRIU,cold,yes,339,27505,6957,313,7609,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-04-30T16:08:51.104189,1_WiFi_6,0.0,0.0,20600.0,0.0,0.0
30-04-2026-host-cold-0059,CRIU,cold,yes,329,27377,6799,318,7446,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-04-30T16:09:33.214137,1_WiFi_6,0.0,0.0,20511.0,0.0,0.0
30-04-2026-direct-cold-0051,CRIU,cold,yes,330,27296,3070,392,3792,0.07,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-04-30T16:10:13.336390,1_WiFi_6,0.0,0.0,19237.0,0.0,0.0
30-04-2026-direct-cold-0052,CRIU,cold,yes,329,27346,3339,398,4066,0.07,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-04-30T16:10:52.766128,1_WiFi_6,0.0,0.0,18880.0,0.0,0.0
