run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms
01-05-2026-host-cold-0000,CRIU,cold,yes,427,28238,6682,466,7575,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-01T00:26:35.072184,1_WiFi_6,0.0,0.0,21044.0,0.0,0.0,330.0,4615.0,874.0,913.0,278.0,317.0
01-05-2026-host-cold-0001,CRIU,cold,yes,317,27196,6618,299,7234,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-01T00:27:16.769935,1_WiFi_6,0.0,0.0,21019.0,0.0,0.0,318.0,4506.0,952.0,875.0,284.0,302.0
01-05-2026-host-cold-0002,CRIU,cold,yes,336,27287,6707,310,7353,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-01T00:27:57.525076,1_WiFi_6,0.0,0.0,20482.0,0.0,0.0,358.0,4716.0,801.0,879.0,309.0,329.0
01-05-2026-host-cold-0003,CRIU,cold,yes,329,27447,6789,301,7419,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-01T00:28:39.152466,1_WiFi_6,0.0,0.0,20214.0,0.0,0.0,336.0,4647.0,900.0,898.0,342.0,300.0
01-05-2026-host-cold-0004,CRIU,cold,yes,325,27366,7318,312,7955,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-01T00:29:20.513305,1_WiFi_6,0.0,0.0,20766.0,0.0,0.0,324.0,5291.0,856.0,896.0,273.0,325.0
01-05-2026-host-cold-0005,CRIU,cold,yes,359,27498,6778,341,7478,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-01T00:30:01.265671,1_WiFi_6,0.0,0.0,20559.0,0.0,0.0,381.0,4670.0,962.0,884.0,262.0,345.0
01-05-2026-host-cold-0006,CRIU,cold,yes,344,27328,6869,329,7542,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-01T00:30:43.018325,1_WiFi_6,0.0,0.0,20514.0,0.0,0.0,356.0,4783.0,911.0,892.0,282.0,319.0
01-05-2026-host-cold-0007,CRIU,cold,yes,392,27254,7460,297,8149,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-01T00:31:24.699346,1_WiFi_6,0.0,0.0,21265.0,0.0,0.0,318.0,5299.0,905.0,990.0,265.0,353.0
01-05-2026-host-cold-0008,CRIU,cold,yes,324,27333,6530,347,7201,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-01T00:32:05.168127,1_WiFi_6,0.0,0.0,20094.0,0.0,0.0,328.0,4649.0,788.0,775.0,318.0,335.0
01-05-2026-host-cold-0009,CRIU,cold,yes,327,27262,6806,322,7455,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-01T00:32:46.639754,1_WiFi_6,0.0,0.0,20350.0,0.0,0.0,340.0,4750.0,891.0,901.0,262.0,307.0
01-05-2026-direct-cold-0000,CRIU,cold,yes,316,27306,2947,336,3599,0.07,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-01T00:33:26.722466,1_WiFi_6,0.0,0.0,18915.0,0.0,0.0,310.0,2102.0,845.0,0.0,0.0,335.0
01-05-2026-direct-cold-0001,CRIU,cold,yes,345,27227,3310,315,3970,0.07,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-01T00:34:05.836698,1_WiFi_6,0.0,0.0,18811.0,0.0,0.0,335.0,2365.0,944.0,0.0,0.0,315.0
01-05-2026-direct-cold-0002,CRIU,cold,yes,336,27418,3148,294,3778,0.07,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-01T00:34:45.607781,1_WiFi_6,0.0,0.0,18760.0,0.0,0.0,327.0,2285.0,862.0,0.0,0.0,319.0
01-05-2026-direct-cold-0003,CRIU,cold,yes,350,27316,3376,371,4097,0.06,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-01T00:35:25.321869,1_WiFi_6,0.0,0.0,19255.0,0.0,0.0,344.0,2139.0,1237.0,0.0,0.0,325.0
01-05-2026-direct-cold-0004,CRIU,cold,yes,322,27496,3213,346,3881,0.07,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-01T00:36:04.866944,1_WiFi_6,0.0,0.0,18702.0,0.0,0.0,336.0,2314.0,899.0,0.0,0.0,304.0
01-05-2026-direct-cold-0005,CRIU,cold,yes,347,27482,3058,301,3706,0.07,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-01T00:36:44.345743,1_WiFi_6,0.0,0.0,18794.0,0.0,0.0,330.0,2153.0,905.0,0.0,0.0,318.0
01-05-2026-direct-cold-0006,CRIU,cold,yes,326,27349,3191,313,3830,0.07,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-01T00:37:23.885081,1_WiFi_6,0.0,0.0,19021.0,0.0,0.0,678.0,2299.0,892.0,0.0,0.0,328.0
01-05-2026-direct-cold-0007,CRIU,cold,yes,318,27245,3002,276,3596,0.07,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-01T00:38:03.433447,1_WiFi_6,0.0,0.0,18351.0,0.0,0.0,318.0,2095.0,906.0,0.0,0.0,328.0
01-05-2026-direct-cold-0008,CRIU,cold,yes,337,27321,3063,319,3719,0.07,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-01T00:38:42.759756,1_WiFi_6,0.0,0.0,18894.0,0.0,0.0,323.0,2139.0,923.0,0.0,0.0,306.0
