run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms
01-05-2026-host-cold-0040,CRIU,cold,yes,439,28142,7477,436,8352,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-01T08:21:01.194196,2_5G,0.0,0.0,21904.0,0.0,0.0,320.0,4851.0,1205.0,1143.0,276.0,312.0
01-05-2026-host-cold-0041,CRIU,cold,yes,316,27285,7510,299,8125,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-01T08:21:43.466436,2_5G,0.0,0.0,21629.0,0.0,0.0,318.0,5064.0,1053.0,984.0,408.0,310.0
01-05-2026-host-cold-0042,CRIU,cold,yes,343,27377,7531,334,8208,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-01T08:22:25.246881,2_5G,0.0,0.0,21376.0,0.0,0.0,341.0,5006.0,1126.0,1117.0,280.0,311.0
01-05-2026-host-cold-0043,CRIU,cold,yes,340,27429,7490,324,8154,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-01T08:23:07.228783,2_5G,0.0,0.0,20976.0,0.0,0.0,312.0,4939.0,1092.0,1175.0,282.0,339.0
01-05-2026-host-cold-0044,CRIU,cold,yes,292,27210,7796,306,8394,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-01T08:23:49.406454,2_5G,0.0,0.0,21342.0,0.0,0.0,344.0,5267.0,1103.0,1149.0,276.0,355.0
01-05-2026-host-cold-0045,CRIU,cold,yes,396,27469,7418,315,8129,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-01T08:24:31.074421,2_5G,0.0,0.0,21287.0,0.0,0.0,312.0,4902.0,1107.0,1117.0,290.0,313.0
01-05-2026-host-cold-0046,CRIU,cold,yes,333,27181,7489,308,8130,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-01T08:25:12.949896,2_5G,0.0,0.0,20936.0,0.0,0.0,295.0,4991.0,1106.0,1116.0,275.0,318.0
01-05-2026-host-cold-0047,CRIU,cold,yes,330,27379,7644,310,8284,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-01T08:25:54.831207,2_5G,0.0,0.0,21289.0,0.0,0.0,329.0,5183.0,1136.0,1068.0,255.0,321.0
01-05-2026-host-cold-0048,CRIU,cold,yes,340,27234,7432,308,8080,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-01T08:26:36.759898,2_5G,0.0,0.0,21323.0,0.0,0.0,304.0,4900.0,1081.0,989.0,461.0,300.0
01-05-2026-host-cold-0049,CRIU,cold,yes,322,27311,7826,286,8434,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-01T08:27:19.675527,2_5G,0.0,0.0,21609.0,0.0,0.0,368.0,5341.0,1156.0,1063.0,264.0,307.0
01-05-2026-direct-cold-0040,CRIU,cold,yes,338,27221,3330,295,3963,0.07,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-01T08:28:00.187006,2_5G,0.0,0.0,19322.0,0.0,0.0,319.0,2308.0,1022.0,0.0,0.0,354.0
01-05-2026-direct-cold-0041,CRIU,cold,yes,310,27229,3576,293,4179,0.06,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-01T08:28:39.293613,2_5G,0.0,0.0,19082.0,0.0,0.0,332.0,2403.0,1172.0,0.0,0.0,342.0
01-05-2026-direct-cold-0042,CRIU,cold,yes,332,27231,3506,402,4240,0.06,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-01T08:29:19.593439,2_5G,0.0,0.0,18939.0,0.0,0.0,305.0,2373.0,1133.0,0.0,0.0,327.0
01-05-2026-direct-cold-0043,CRIU,cold,yes,363,27505,3461,345,4169,0.06,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-01T08:29:59.957373,2_5G,0.0,0.0,20053.0,0.0,0.0,327.0,2351.0,1109.0,0.0,0.0,367.0
01-05-2026-direct-cold-0044,CRIU,cold,yes,337,27494,3383,323,4043,0.07,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-01T08:30:39.256151,2_5G,0.0,0.0,18928.0,0.0,0.0,330.0,2305.0,1077.0,0.0,0.0,296.0
01-05-2026-direct-cold-0045,CRIU,cold,yes,339,27525,3531,348,4218,0.06,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-01T08:31:19.632661,2_5G,0.0,0.0,19169.0,0.0,0.0,331.0,2414.0,1116.0,0.0,0.0,316.0
01-05-2026-direct-cold-0046,CRIU,cold,yes,328,27355,3469,320,4117,0.06,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-01T08:31:59.817453,2_5G,0.0,0.0,19873.0,0.0,0.0,344.0,2339.0,1129.0,0.0,0.0,305.0
01-05-2026-direct-cold-0047,CRIU,cold,yes,337,27391,3547,325,4209,0.06,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-01T08:32:39.965254,2_5G,0.0,0.0,19289.0,0.0,0.0,465.0,2432.0,1114.0,0.0,0.0,372.0
01-05-2026-direct-cold-0048,CRIU,cold,yes,331,27536,3566,289,4186,0.06,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-01T08:33:20.319662,2_5G,0.0,0.0,19447.0,0.0,0.0,322.0,2459.0,1107.0,0.0,0.0,319.0
01-05-2026-direct-cold-0049,CRIU,cold,yes,640,27301,3629,307,4576,0.06,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-01T08:34:00.200978,2_5G,0.0,0.0,19709.0,0.0,0.0,326.0,2523.0,1106.0,0.0,0.0,327.0
01-05-2026-host-precopy-0040,CRIU,precopy,yes,338,50364,7507,374,8219,0.05,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;iterations=3,2026-05-01T08:34:46.361613,2_5G,3918.0,338.0,25198.0,0.0,0.0,330.0,4857.0,1234.0,1136.0,279.0,324.0
01-05-2026-host-precopy-0041,CRIU,precopy,yes,306,50409,7808,322,8436,0.05,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;iterations=3,2026-05-01T08:35:32.802124,2_5G,3941.0,306.0,25600.0,0.0,0.0,306.0,5229.0,1155.0,1141.0,281.0,306.0
01-05-2026-host-precopy-0042,CRIU,precopy,yes,317,50327,7655,297,8269,0.05,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;iterations=3,2026-05-01T08:36:19.236390,2_5G,3942.0,317.0,25769.0,0.0,0.0,340.0,5035.0,1161.0,1203.0,255.0,356.0
01-05-2026-host-precopy-0043,CRIU,precopy,yes,319,49284,7859,419,8597,0.05,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;iterations=3,2026-05-01T08:37:06.086818,2_5G,3931.0,319.0,26127.0,0.0,0.0,638.0,5340.0,1106.0,1135.0,276.0,287.0
01-05-2026-host-precopy-0044,CRIU,precopy,yes,309,49377,7502,345,8156,0.05,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;iterations=3,2026-05-01T08:37:52.151997,2_5G,3976.0,309.0,25589.0,0.0,0.0,320.0,4899.0,1160.0,993.0,449.0,311.0
01-05-2026-host-precopy-0045,CRIU,precopy,yes,334,50479,7595,351,8280,0.05,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;iterations=3,2026-05-01T08:38:39.201867,2_5G,4024.0,334.0,25906.0,0.0,0.0,314.0,5062.0,1124.0,1118.0,289.0,326.0
01-05-2026-host-precopy-0046,CRIU,precopy,yes,285,50544,7752,308,8345,0.05,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;iterations=3,2026-05-01T08:39:35.506991,2_5G,3930.0,285.0,25741.0,0.0,0.0,328.0,5114.0,1169.0,1190.0,277.0,397.0
01-05-2026-host-precopy-0047,CRIU,precopy,yes,323,50546,7417,306,8046,0.05,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;iterations=3,2026-05-01T08:40:22.302300,2_5G,4117.0,323.0,25761.0,0.0,0.0,328.0,4885.0,1100.0,1148.0,282.0,366.0
01-05-2026-host-precopy-0048,CRIU,precopy,yes,320,49341,7487,329,8136,0.05,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;iterations=3,2026-05-01T08:41:08.990007,2_5G,3930.0,320.0,26283.0,0.0,0.0,654.0,4981.0,1140.0,1078.0,286.0,343.0
01-05-2026-host-precopy-0049,CRIU,precopy,yes,295,50242,7715,327,8337,0.05,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;iterations=3,2026-05-01T08:41:55.214602,2_5G,4022.0,295.0,25889.0,0.0,0.0,319.0,5100.0,1177.0,1153.0,284.0,365.0
01-05-2026-direct-precopy-0040,CRIU,precopy,yes,351,50580,3386,312,4049,0.12,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client;iterations=3,2026-05-01T08:42:39.761338,2_5G,3918.0,351.0,23478.0,0.0,0.0,335.0,2281.0,1104.0,0.0,0.0,352.0
01-05-2026-direct-precopy-0041,CRIU,precopy,yes,308,50619,3554,319,4181,0.11,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client;iterations=3,2026-05-01T08:43:24.528872,2_5G,3917.0,308.0,23779.0,0.0,0.0,345.0,2405.0,1148.0,0.0,0.0,311.0
01-05-2026-direct-precopy-0042,CRIU,precopy,yes,303,50036,3400,364,4067,0.12,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client;iterations=3,2026-05-01T08:44:09.288530,2_5G,3980.0,303.0,24131.0,0.0,0.0,301.0,2290.0,1110.0,0.0,0.0,319.0
01-05-2026-direct-precopy-0043,CRIU,precopy,yes,319,49163,3490,303,4112,0.11,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client;iterations=3,2026-05-01T08:44:53.217734,2_5G,3894.0,319.0,23542.0,0.0,0.0,337.0,2328.0,1161.0,0.0,0.0,312.0
01-05-2026-direct-precopy-0044,CRIU,precopy,yes,302,49207,3504,337,4143,0.11,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client;iterations=3,2026-05-01T08:45:38.021563,2_5G,4039.0,302.0,23457.0,0.0,0.0,298.0,2314.0,1189.0,0.0,0.0,319.0
01-05-2026-direct-precopy-0045,CRIU,precopy,yes,320,50098,3740,321,4381,0.11,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client;iterations=3,2026-05-01T08:46:23.214636,2_5G,4020.0,320.0,24512.0,0.0,0.0,693.0,2604.0,1135.0,0.0,0.0,332.0
01-05-2026-direct-precopy-0046,CRIU,precopy,yes,297,49208,3571,330,4198,0.11,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client;iterations=3,2026-05-01T08:47:07.147615,2_5G,3957.0,297.0,23430.0,0.0,0.0,336.0,2408.0,1163.0,0.0,0.0,335.0
01-05-2026-direct-precopy-0047,CRIU,precopy,yes,299,49082,3422,373,4094,0.11,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client;iterations=3,2026-05-01T08:47:51.645498,2_5G,3926.0,299.0,23354.0,0.0,0.0,335.0,2278.0,1143.0,0.0,0.0,324.0
01-05-2026-direct-precopy-0048,CRIU,precopy,yes,292,48847,3363,321,3976,0.12,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client;iterations=3,2026-05-01T08:48:36.402050,2_5G,4108.0,292.0,24058.0,0.0,0.0,389.0,2257.0,1105.0,0.0,0.0,327.0
01-05-2026-direct-precopy-0049,CRIU,precopy,yes,322,49216,3750,350,4422,0.1,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client;iterations=3,2026-05-01T08:49:21.094381,2_5G,4009.0,322.0,24076.0,0.0,0.0,321.0,2600.0,1149.0,0.0,0.0,337.0
01-05-2026-host-postcopy-0040,CRIU,postcopy,yes,729,24563,7480,403,8612,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;lazy_pages_port=9999,2026-05-01T08:50:05.509759,2_5G,0.0,729.0,23541.0,4925.0,2943.0,424.0,4911.0,1134.0,1145.0,289.0,309.0
01-05-2026-host-postcopy-0041,CRIU,postcopy,yes,744,24837,7851,389,8984,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;lazy_pages_port=9999,2026-05-01T08:50:50.355746,2_5G,0.0,744.0,23802.0,4792.0,3098.0,330.0,4846.0,1079.0,1339.0,585.0,307.0
01-05-2026-host-postcopy-0042,CRIU,postcopy,yes,739,24794,7745,385,8869,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;lazy_pages_port=9999,2026-05-01T08:51:34.906596,2_5G,0.0,739.0,23937.0,4889.0,2943.0,649.0,4900.0,1174.0,1389.0,280.0,315.0
01-05-2026-host-postcopy-0043,CRIU,postcopy,yes,719,24543,7416,381,8516,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;lazy_pages_port=9999,2026-05-01T08:52:18.911582,2_5G,0.0,719.0,23171.0,4842.0,2943.0,318.0,4863.0,1159.0,1120.0,273.0,302.0
01-05-2026-host-postcopy-0044,CRIU,postcopy,yes,760,24774,7463,364,8587,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;lazy_pages_port=9999,2026-05-01T08:53:03.391578,2_5G,0.0,760.0,23667.0,4806.0,2943.0,343.0,4868.0,1155.0,1162.0,277.0,329.0
01-05-2026-host-postcopy-0045,CRIU,postcopy,yes,758,24566,7513,364,8635,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;lazy_pages_port=9999,2026-05-01T08:53:47.777155,2_5G,0.0,758.0,23792.0,4812.0,2943.0,360.0,4991.0,1131.0,1127.0,262.0,309.0
01-05-2026-host-postcopy-0046,CRIU,postcopy,yes,749,24664,7743,509,9001,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;lazy_pages_port=9999,2026-05-01T08:54:33.057090,2_5G,0.0,749.0,24285.0,5234.0,3048.0,281.0,4890.0,1478.0,1093.0,280.0,315.0
01-05-2026-host-postcopy-0047,CRIU,postcopy,yes,797,24528,7452,400,8649,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;lazy_pages_port=9999,2026-05-01T08:55:17.439922,2_5G,0.0,797.0,23651.0,4854.0,3025.0,290.0,4867.0,1234.0,1092.0,258.0,308.0
01-05-2026-host-postcopy-0048,CRIU,postcopy,yes,703,24645,7902,376,8981,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;lazy_pages_port=9999,2026-05-01T08:56:02.151373,2_5G,0.0,703.0,23742.0,4807.0,3133.0,310.0,5004.0,1138.0,1477.0,282.0,296.0
01-05-2026-host-postcopy-0049,CRIU,postcopy,yes,740,24849,7657,384,8781,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;lazy_pages_port=9999,2026-05-01T08:56:46.525845,2_5G,0.0,740.0,23951.0,4765.0,3083.0,720.0,4784.0,1132.0,1464.0,276.0,373.0
01-05-2026-direct-postcopy-0040,CRIU,postcopy,yes,778,24635,3414,370,4562,0.06,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client;lazy_pages_port=9999,2026-05-01T08:57:28.672410,2_5G,0.0,778.0,21254.0,4715.0,3133.0,301.0,2341.0,1072.0,0.0,0.0,320.0
