run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms
01-05-2026-host-cold-0080,CRIU,cold,yes,525,28083,11398,387,12310,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-01T16:34:38.728253,3_LTE,0.0,0.0,25986.0,0.0,0.0,348.0,6479.0,2307.0,2287.0,322.0,303.0
01-05-2026-host-cold-0081,CRIU,cold,yes,343,27295,11462,291,12096,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-01T16:35:25.488411,3_LTE,0.0,0.0,25283.0,0.0,0.0,328.0,6337.0,2334.0,2311.0,478.0,308.0
01-05-2026-host-cold-0082,CRIU,cold,yes,336,27338,11907,322,12565,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-01T16:36:12.061128,3_LTE,0.0,0.0,25737.0,0.0,0.0,630.0,6672.0,2630.0,2313.0,290.0,314.0
01-05-2026-host-cold-0083,CRIU,cold,yes,322,27251,11619,357,12298,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-01T16:36:58.213464,3_LTE,0.0,0.0,25614.0,0.0,0.0,366.0,6537.0,2330.0,2487.0,263.0,318.0
01-05-2026-host-cold-0084,CRIU,cold,yes,402,27335,11246,328,11976,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-01T16:37:44.352645,3_LTE,0.0,0.0,24919.0,0.0,0.0,347.0,6327.0,2311.0,2340.0,267.0,326.0
01-05-2026-host-cold-0085,CRIU,cold,yes,345,27579,11167,296,11808,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-01T16:38:30.623295,3_LTE,0.0,0.0,25059.0,0.0,0.0,397.0,6102.0,2501.0,2299.0,264.0,313.0
01-05-2026-host-cold-0086,CRIU,cold,yes,346,27197,11903,299,12548,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-01T16:39:16.911083,3_LTE,0.0,0.0,25715.0,0.0,0.0,356.0,6845.0,2394.0,2406.0,257.0,310.0
01-05-2026-host-cold-0087,CRIU,cold,yes,341,27305,11354,316,12011,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-01T16:40:02.336152,3_LTE,0.0,0.0,25138.0,0.0,0.0,369.0,6406.0,2370.0,2324.0,252.0,317.0
01-05-2026-host-cold-0088,CRIU,cold,yes,372,27476,11229,299,11900,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-01T16:40:48.754116,3_LTE,0.0,0.0,24967.0,0.0,0.0,346.0,6255.0,2391.0,2284.0,297.0,320.0
01-05-2026-host-cold-0089,CRIU,cold,yes,450,27445,11149,349,11948,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-01T16:41:35.237101,3_LTE,0.0,0.0,25470.0,0.0,0.0,318.0,6244.0,2355.0,2281.0,268.0,314.0
01-05-2026-direct-cold-0080,CRIU,cold,yes,345,27634,5540,305,6190,0.04,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-01T16:42:17.666045,3_LTE,0.0,0.0,22061.0,0.0,0.0,322.0,2889.0,2650.0,0.0,0.0,307.0
01-05-2026-direct-cold-0081,CRIU,cold,yes,330,27473,5313,299,5942,0.04,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-01T16:42:59.851150,3_LTE,0.0,0.0,21572.0,0.0,0.0,362.0,2995.0,2317.0,0.0,0.0,290.0
01-05-2026-direct-cold-0082,CRIU,cold,yes,337,27342,5340,316,5993,0.04,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-01T16:43:42.636852,3_LTE,0.0,0.0,21914.0,0.0,0.0,343.0,3030.0,2310.0,0.0,0.0,296.0
01-05-2026-direct-cold-0083,CRIU,cold,yes,668,27438,5378,328,6374,0.04,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-01T16:44:25.586225,3_LTE,0.0,0.0,22730.0,0.0,0.0,337.0,3064.0,2314.0,0.0,0.0,343.0
01-05-2026-direct-cold-0084,CRIU,cold,yes,364,27306,5498,313,6175,0.04,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-01T16:45:08.769930,3_LTE,0.0,0.0,22236.0,0.0,0.0,402.0,3027.0,2471.0,0.0,0.0,345.0
01-05-2026-direct-cold-0086,CRIU,cold,yes,330,27427,5221,373,5924,0.04,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-01T16:46:07.634652,3_LTE,0.0,0.0,21654.0,0.0,0.0,383.0,2910.0,2310.0,0.0,0.0,354.0
01-05-2026-direct-cold-0087,CRIU,cold,yes,347,27367,5439,332,6118,0.04,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-01T16:46:50.720122,3_LTE,0.0,0.0,22047.0,0.0,0.0,325.0,3100.0,2338.0,0.0,0.0,319.0
01-05-2026-direct-cold-0088,CRIU,cold,yes,380,27260,6300,324,7004,0.03,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-01T16:47:34.071152,3_LTE,0.0,0.0,22829.0,0.0,0.0,335.0,2975.0,3325.0,0.0,0.0,294.0
01-05-2026-direct-cold-0089,CRIU,cold,yes,341,27672,5807,316,6464,0.04,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-01T16:48:17.050062,3_LTE,0.0,0.0,22114.0,0.0,0.0,346.0,3395.0,2411.0,0.0,0.0,291.0
01-05-2026-host-precopy-0080,CRIU,precopy,yes,366,49062,11648,301,12315,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;iterations=3,2026-05-01T16:49:07.591830,3_LTE,4028.0,366.0,29675.0,0.0,0.0,294.0,6559.0,2413.0,2415.0,259.0,359.0
01-05-2026-host-precopy-0081,CRIU,precopy,yes,395,50424,11360,321,12076,0.04,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;iterations=3,2026-05-01T16:49:58.033866,3_LTE,3938.0,395.0,29481.0,0.0,0.0,340.0,6237.0,2434.0,2436.0,252.0,322.0
