run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms,transfer_mode,raw_transfer_ms,transfer_setup_removed_ms,raw_downtime_ms
06-05-2026-host-cold-0000,CRIU,cold,yes,428,28219,2752.0,427,3607.0,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-06T13:16:17.760948,1_WiFi_6,0.0,0.0,21111.0,0.0,0.0,335.0,4642.0,898.0,902.0,280.0,334.0,host,6725,4642.0,7580
06-05-2026-host-cold-0001,CRIU,cold,yes,320,27409,2727.0,316,3363.0,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-06T13:16:59.855545,1_WiFi_6,0.0,0.0,21043.0,0.0,0.0,323.0,4782.0,901.0,778.0,374.0,349.0,host,6837,4782.0,7473
06-05-2026-host-cold-0002,CRIU,cold,yes,325,27319,2742.0,291,3358.0,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-06T13:17:40.726762,1_WiFi_6,0.0,0.0,20612.0,0.0,0.0,320.0,4700.0,929.0,890.0,282.0,319.0,host,6803,4700.0,7419
06-05-2026-host-cold-0003,CRIU,cold,yes,332,27517,2779.0,346,3457.0,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-06T13:18:22.731236,1_WiFi_6,0.0,0.0,20588.0,0.0,0.0,329.0,4769.0,934.0,904.0,288.0,322.0,host,6897,4769.0,7575
06-05-2026-host-cold-0004,CRIU,cold,yes,309,27386,2801.0,311,3421.0,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-06T13:19:04.863169,1_WiFi_6,0.0,0.0,21232.0,0.0,0.0,317.0,4723.0,938.0,950.0,271.0,322.0,host,6885,4723.0,7505
06-05-2026-host-cold-0005,CRIU,cold,yes,352,27284,2641.0,322,3315.0,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-06T13:19:45.883492,1_WiFi_6,0.0,0.0,20426.0,0.0,0.0,328.0,4904.0,878.0,854.0,274.0,306.0,host,6911,4904.0,7585
06-05-2026-host-cold-0006,CRIU,cold,yes,400,27226,2755.0,315,3470.0,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-06T13:20:27.586644,1_WiFi_6,0.0,0.0,20272.0,0.0,0.0,316.0,4628.0,924.0,898.0,282.0,332.0,host,6735,4628.0,7450
06-05-2026-host-cold-0007,CRIU,cold,yes,327,27489,2855.0,317,3499.0,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-06T13:21:09.226732,1_WiFi_6,0.0,0.0,21136.0,0.0,0.0,377.0,5232.0,887.0,896.0,361.0,331.0,host,7379,5232.0,8023
06-05-2026-host-cold-0008,CRIU,cold,yes,348,27160,2842.0,287,3477.0,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-06T13:21:50.311736,1_WiFi_6,0.0,0.0,20636.0,0.0,0.0,312.0,4752.0,957.0,926.0,327.0,320.0,host,6962,4752.0,7597
06-05-2026-host-cold-0009,CRIU,cold,yes,346,27219,2863.0,302,3511.0,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-06T13:22:33.104817,1_WiFi_6,0.0,0.0,20805.0,0.0,0.0,398.0,4769.0,918.0,899.0,281.0,366.0,host,6868,4769.0,7516
