run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms,transfer_mode,raw_transfer_ms,transfer_setup_removed_ms,raw_downtime_ms
11-05-2026-host-cold-0000,CRIU,cold,yes,458,28492,5584.0,451,6493.0,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-11T14:39:14.496587,3_LTE,0.0,0.0,25638.0,0.0,0.0,326.0,6345.0,2308.0,2348.0,264.0,337.0,host,11266,6345.0,12175
11-05-2026-host-cold-0001,CRIU,cold,yes,334,27210,5621.0,321,6276.0,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-11T14:40:00.599250,3_LTE,0.0,0.0,25162.0,0.0,0.0,340.0,6259.0,2285.0,2334.0,286.0,376.0,host,11164,6259.0,11819
11-05-2026-host-cold-0002,CRIU,cold,yes,321,27304,5701.0,325,6347.0,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-11T14:40:47.005260,3_LTE,0.0,0.0,25952.0,0.0,0.0,351.0,6666.0,2368.0,2394.0,259.0,327.0,host,11689,6666.0,12335
11-05-2026-host-cold-0003,CRIU,cold,yes,350,27253,5513.0,396,6259.0,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-11T14:41:33.132986,3_LTE,0.0,0.0,25089.0,0.0,0.0,314.0,6380.0,2314.0,2324.0,249.0,310.0,host,11269,6380.0,12015
11-05-2026-host-cold-0004,CRIU,cold,yes,338,27345,5669.0,309,6316.0,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-11T14:42:19.607060,3_LTE,0.0,0.0,25235.0,0.0,0.0,343.0,6441.0,2365.0,2290.0,354.0,315.0,host,11452,6441.0,12099
11-05-2026-host-cold-0005,CRIU,cold,yes,341,27559,5643.0,278,6262.0,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-11T14:43:06.306547,3_LTE,0.0,0.0,25551.0,0.0,0.0,332.0,6483.0,2386.0,2345.0,274.0,304.0,host,11490,6483.0,12109
11-05-2026-host-cold-0006,CRIU,cold,yes,350,27559,6114.0,303,6767.0,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-11T14:43:53.207919,3_LTE,0.0,0.0,26118.0,0.0,0.0,654.0,6659.0,2348.0,2353.0,435.0,323.0,host,11796,6659.0,12449
11-05-2026-host-cold-0007,CRIU,cold,yes,330,27363,5640.0,315,6285.0,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-11T14:44:38.291183,3_LTE,0.0,0.0,24724.0,0.0,0.0,346.0,6244.0,2315.0,2268.0,359.0,350.0,host,11188,6244.0,11833
11-05-2026-host-cold-0008,CRIU,cold,yes,373,27483,5543.0,413,6329.0,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-11T14:45:34.086761,3_LTE,0.0,0.0,24733.0,0.0,0.0,284.0,6185.0,2368.0,2316.0,269.0,304.0,host,11140,6185.0,11926
11-05-2026-host-cold-0009,CRIU,cold,yes,334,27447,5769.0,330,6433.0,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-11T14:46:20.938326,3_LTE,0.0,0.0,25323.0,0.0,0.0,419.0,6377.0,2395.0,2341.0,317.0,296.0,host,11431,6377.0,12095
11-05-2026-direct-cold-0000,CRIU,cold,yes,320,27361,2965.0,321,3606.0,0.04,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-11T14:47:04.510761,3_LTE,0.0,0.0,22604.0,0.0,0.0,307.0,3445.0,2346.0,0.0,0.0,312.0,direct,5791,3445.0,6432
11-05-2026-direct-cold-0001,CRIU,cold,yes,328,27510,2954.0,312,3594.0,0.04,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-11T14:47:46.042588,3_LTE,0.0,0.0,21345.0,0.0,0.0,381.0,2957.0,2286.0,0.0,0.0,286.0,direct,5244,2957.0,5884
11-05-2026-direct-cold-0002,CRIU,cold,yes,344,27325,2912.0,340,3596.0,0.04,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-11T14:48:29.149397,3_LTE,0.0,0.0,21625.0,0.0,0.0,327.0,3056.0,2282.0,0.0,0.0,302.0,direct,5339,3056.0,6023
11-05-2026-direct-cold-0003,CRIU,cold,yes,318,27349,3119.0,385,3822.0,0.04,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-11T14:49:12.507003,3_LTE,0.0,0.0,22327.0,0.0,0.0,337.0,2882.0,2471.0,0.0,0.0,311.0,direct,5353,2882.0,6056
11-05-2026-direct-cold-0004,CRIU,cold,yes,334,27515,3013.0,306,3653.0,0.04,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-11T14:49:55.128080,3_LTE,0.0,0.0,22322.0,0.0,0.0,326.0,3207.0,2381.0,0.0,0.0,305.0,direct,5589,3207.0,6229
11-05-2026-direct-cold-0005,CRIU,cold,yes,341,27390,2963.0,300,3604.0,0.04,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-11T14:50:37.724638,3_LTE,0.0,0.0,21889.0,0.0,0.0,363.0,3022.0,2321.0,0.0,0.0,279.0,direct,5343,3022.0,5984
11-05-2026-direct-cold-0006,CRIU,cold,yes,343,27346,3025.0,311,3679.0,0.04,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-11T14:51:21.084250,3_LTE,0.0,0.0,22143.0,0.0,0.0,343.0,2978.0,2358.0,0.0,0.0,323.0,direct,5337,2978.0,5991
11-05-2026-direct-cold-0007,CRIU,cold,yes,391,27352,2994.0,295,3680.0,0.04,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-11T14:52:03.859223,3_LTE,0.0,0.0,22277.0,0.0,0.0,364.0,3003.0,2292.0,0.0,0.0,338.0,direct,5295,3003.0,5981
11-05-2026-direct-cold-0008,CRIU,cold,yes,331,27288,3058.0,302,3691.0,0.04,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-11T14:52:47.003228,3_LTE,0.0,0.0,21834.0,0.0,0.0,335.0,3050.0,2406.0,0.0,0.0,317.0,direct,5456,3050.0,6089
11-05-2026-direct-cold-0009,CRIU,cold,yes,324,27344,2971.0,422,3717.0,0.04,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-11T14:53:30.113257,3_LTE,0.0,0.0,21995.0,0.0,0.0,333.0,2955.0,2315.0,0.0,0.0,323.0,direct,5270,2955.0,6016
11-05-2026-host-precopy-0000,CRIU,precopy,yes,304,27585,5649.0,303,6256.0,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;iterations=3;precopy_streamed_iters=3;precopy_stream_archive_ms=958;precopy_stream_transfer_ms=34048;precopy_stream_unpack_ms=921;precopy_stream_bytes=23125,2026-05-11T14:54:56.445439,3_LTE,41008.0,304.0,66154.0,0.0,0.0,322.0,6350.0,2379.0,2326.0,282.0,339.0,host,11338,6350.0,11945
11-05-2026-host-precopy-0001,CRIU,precopy,yes,335,27670,5968.0,307,6610.0,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;iterations=3;precopy_streamed_iters=3;precopy_stream_archive_ms=863;precopy_stream_transfer_ms=33614;precopy_stream_unpack_ms=924;precopy_stream_bytes=21789,2026-05-11T14:56:23.768909,3_LTE,40126.0,335.0,66129.0,0.0,0.0,294.0,6793.0,2690.0,2406.0,266.0,309.0,host,12158,6793.0,12800
