run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms,transfer_mode,raw_transfer_ms,transfer_setup_removed_ms,raw_downtime_ms
12-05-2026-host-cold-0000,CRIU,cold,yes,448,28187,6055.0,434,12749,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-12T02:23:01.445118,4_Starlink,0.0,0.0,26389.0,0.0,0.0,336.0,6502.0,2553.0,2516.0,295.0,354.0,host,11867,6502.0,12749
12-05-2026-host-cold-0001,CRIU,cold,yes,351,27446,6040.0,322,12680,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-12T02:23:48.905813,4_Starlink,0.0,0.0,26146.0,0.0,0.0,388.0,6681.0,2519.0,2528.0,277.0,326.0,host,12007,6681.0,12680
12-05-2026-host-cold-0002,CRIU,cold,yes,332,27140,6666.0,299,13218,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-12T02:24:35.954705,4_Starlink,0.0,0.0,26430.0,0.0,0.0,640.0,6879.0,2882.0,2544.0,280.0,318.0,host,12587,6879.0,13218
12-05-2026-host-cold-0003,CRIU,cold,yes,302,27182,6555.0,315,14170,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-12T02:25:24.381551,4_Starlink,0.0,0.0,27314.0,0.0,0.0,284.0,7593.0,2809.0,2887.0,262.0,311.0,host,13553,7593.0,14170
12-05-2026-host-cold-0004,CRIU,cold,yes,333,27442,6358.0,313,13023,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-12T02:26:11.886407,4_Starlink,0.0,0.0,26336.0,0.0,0.0,351.0,6689.0,2510.0,2920.0,257.0,319.0,host,12377,6689.0,13023
12-05-2026-host-cold-0005,CRIU,cold,yes,397,27438,6376.0,297,13041,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-12T02:26:59.776191,4_Starlink,0.0,0.0,26373.0,0.0,0.0,418.0,6725.0,2502.0,2855.0,263.0,336.0,host,12347,6725.0,13041
12-05-2026-host-cold-0006,CRIU,cold,yes,338,27466,7188.0,328,13782,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-12T02:27:47.703050,4_Starlink,0.0,0.0,27052.0,0.0,0.0,648.0,6852.0,3149.0,2531.0,582.0,276.0,host,13116,6852.0,13782
12-05-2026-host-cold-0007,CRIU,cold,yes,385,27432,6222.0,636,13135,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-12T02:28:34.863265,4_Starlink,0.0,0.0,26386.0,0.0,0.0,344.0,6548.0,2764.0,2472.0,329.0,312.0,host,12114,6548.0,13135
12-05-2026-host-cold-0008,CRIU,cold,yes,341,27383,7065.0,297,13664,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-12T02:29:22.463685,4_Starlink,0.0,0.0,26720.0,0.0,0.0,357.0,6611.0,2522.0,3634.0,258.0,293.0,host,13026,6611.0,13664
12-05-2026-host-cold-0009,CRIU,cold,yes,315,27403,6270.0,327,13105,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-12T02:30:10.156436,4_Starlink,0.0,0.0,26473.0,0.0,0.0,362.0,6874.0,2513.0,2828.0,245.0,319.0,host,12463,6874.0,13105
12-05-2026-direct-cold-0000,CRIU,cold,yes,307,27369,3855.0,311,6514,0.04,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-12T02:30:54.138812,4_Starlink,0.0,0.0,23754.0,0.0,0.0,670.0,3096.0,2799.0,0.0,0.0,385.0,direct,5896,3096.0,6514
12-05-2026-direct-cold-0001,CRIU,cold,yes,326,27239,3664.0,339,7135,0.03,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-12T02:31:38.178539,4_Starlink,0.0,0.0,23382.0,0.0,0.0,319.0,3460.0,3009.0,0.0,0.0,335.0,direct,6470,3460.0,7135
12-05-2026-direct-cold-0002,CRIU,cold,yes,332,27327,3223.0,313,6252,0.04,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-12T02:32:21.721147,4_Starlink,0.0,0.0,22535.0,0.0,0.0,373.0,3087.0,2520.0,0.0,0.0,330.0,direct,5607,3087.0,6252
12-05-2026-direct-cold-0003,CRIU,cold,yes,453,27628,3195.0,337,9064,0.03,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-12T02:33:08.257496,4_Starlink,0.0,0.0,25347.0,0.0,0.0,347.0,5745.0,2528.0,0.0,0.0,319.0,direct,8274,5745.0,9064
12-05-2026-direct-cold-0004,CRIU,cold,yes,368,27443,3522.0,317,7064,0.03,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-12T02:33:52.222668,4_Starlink,0.0,0.0,23378.0,0.0,0.0,355.0,3516.0,2862.0,0.0,0.0,304.0,direct,6379,3516.0,7064
12-05-2026-direct-cold-0005,CRIU,cold,yes,326,27177,3391.0,317,6465,0.04,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-12T02:34:36.409566,4_Starlink,0.0,0.0,23522.0,0.0,0.0,344.0,3086.0,2735.0,0.0,0.0,311.0,direct,5822,3086.0,6465
12-05-2026-direct-cold-0006,CRIU,cold,yes,340,27368,3112.0,313,6292,0.04,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-12T02:35:20.134322,4_Starlink,0.0,0.0,22507.0,0.0,0.0,296.0,3141.0,2498.0,0.0,0.0,318.0,direct,5639,3141.0,6292
12-05-2026-direct-cold-0007,CRIU,cold,yes,338,27582,3429.0,360,6466,0.04,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-12T02:36:04.420250,4_Starlink,0.0,0.0,23572.0,0.0,0.0,396.0,3190.0,2577.0,0.0,0.0,455.0,direct,5768,3190.0,6466
12-05-2026-direct-cold-0008,CRIU,cold,yes,333,27415,5160.0,293,7835,0.03,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-12T02:36:49.443890,4_Starlink,0.0,0.0,24241.0,0.0,0.0,348.0,3200.0,4008.0,0.0,0.0,803.0,direct,7209,3200.0,7835
12-05-2026-direct-cold-0009,CRIU,cold,yes,352,27403,3190.0,274,6279,0.04,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-12T02:37:32.931156,4_Starlink,0.0,0.0,22489.0,0.0,0.0,355.0,3122.0,2530.0,0.0,0.0,304.0,direct,5653,3122.0,6279
12-05-2026-host-precopy-0000,CRIU,precopy,yes,305,27622,6440.0,303,13601,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;iterations=3;precopy_streamed_iters=3;precopy_stream_archive_ms=904;precopy_stream_transfer_ms=36883;precopy_stream_unpack_ms=914;precopy_stream_bytes=21819,2026-05-12T02:39:04.591275,4_Starlink,43582.0,305.0,70662.0,0.0,0.0,355.0,7272.0,2859.0,2507.0,354.0,364.0,host,12993,7272.0,13601
12-05-2026-host-precopy-0001,CRIU,precopy,yes,319,27651,6364.0,460,13148,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;iterations=3;precopy_streamed_iters=3;precopy_stream_archive_ms=895;precopy_stream_transfer_ms=37129;precopy_stream_unpack_ms=969;precopy_stream_bytes=22427,2026-05-12T02:40:36.244651,4_Starlink,44049.0,319.0,70640.0,0.0,0.0,351.0,6657.0,2565.0,2891.0,255.0,301.0,host,12369,6657.0,13148
12-05-2026-host-precopy-0002,CRIU,precopy,yes,364,27562,6308.0,321,13158,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;iterations=3;precopy_streamed_iters=3;precopy_stream_archive_ms=939;precopy_stream_transfer_ms=35475;precopy_stream_unpack_ms=957;precopy_stream_bytes=22107,2026-05-12T02:42:06.693599,4_Starlink,42270.0,364.0,69323.0,0.0,0.0,321.0,6775.0,2522.0,2896.0,279.0,289.0,host,12473,6775.0,13158
12-05-2026-host-precopy-0003,CRIU,precopy,yes,344,27364,6602.0,312,13427,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;iterations=3;precopy_streamed_iters=3;precopy_stream_archive_ms=900;precopy_stream_transfer_ms=38519;precopy_stream_unpack_ms=1009;precopy_stream_bytes=21777,2026-05-12T02:43:39.618295,4_Starlink,45336.0,344.0,72171.0,0.0,0.0,311.0,6805.0,2639.0,3059.0,266.0,325.0,host,12771,6805.0,13427
12-05-2026-host-precopy-0004,CRIU,precopy,yes,321,27416,6820.0,303,13497,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;iterations=3;precopy_streamed_iters=3;precopy_stream_archive_ms=877;precopy_stream_transfer_ms=36678;precopy_stream_unpack_ms=1020;precopy_stream_bytes=23269,2026-05-12T02:45:11.370753,4_Starlink,43347.0,321.0,70637.0,0.0,0.0,336.0,6688.0,2617.0,3212.0,355.0,299.0,host,12873,6688.0,13497
12-05-2026-host-precopy-0005,CRIU,precopy,yes,311,27365,6194.0,304,12782,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;iterations=3;precopy_streamed_iters=3;precopy_stream_archive_ms=884;precopy_stream_transfer_ms=38666;precopy_stream_unpack_ms=938;precopy_stream_bytes=22440,2026-05-12T02:46:43.479551,4_Starlink,45225.0,311.0,71387.0,0.0,0.0,343.0,6608.0,2715.0,2579.0,264.0,292.0,host,12167,6608.0,12782
12-05-2026-host-precopy-0006,CRIU,precopy,yes,320,27483,6701.0,428,13291,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;iterations=3;precopy_streamed_iters=3;precopy_stream_archive_ms=915;precopy_stream_transfer_ms=36630;precopy_stream_unpack_ms=924;precopy_stream_bytes=21702,2026-05-12T02:48:14.786621,4_Starlink,43261.0,320.0,70617.0,0.0,0.0,348.0,6819.0,2555.0,2777.0,392.0,629.0,host,12543,6819.0,13291
12-05-2026-host-precopy-0007,CRIU,precopy,yes,632,27375,6891.0,342,13980,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;iterations=3;precopy_streamed_iters=3;precopy_stream_archive_ms=891;precopy_stream_transfer_ms=36227;precopy_stream_unpack_ms=887;precopy_stream_bytes=21971,2026-05-12T02:49:45.691998,4_Starlink,42683.0,632.0,70015.0,0.0,0.0,387.0,6803.0,3122.0,2816.0,264.0,301.0,host,13006,6803.0,13980
12-05-2026-host-precopy-0008,CRIU,precopy,yes,323,27727,6719.0,348,13302,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;iterations=3;precopy_streamed_iters=3;precopy_stream_archive_ms=903;precopy_stream_transfer_ms=37182;precopy_stream_unpack_ms=1036;precopy_stream_bytes=22533,2026-05-12T02:51:18.066508,4_Starlink,44209.0,323.0,71303.0,0.0,0.0,274.0,6480.0,2950.0,2933.0,266.0,294.0,host,12631,6480.0,13302
12-05-2026-host-precopy-0009,CRIU,precopy,yes,304,27596,6359.0,321,12912,0.02,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1;iterations=3;precopy_streamed_iters=3;precopy_stream_archive_ms=1023;precopy_stream_transfer_ms=36406;precopy_stream_unpack_ms=919;precopy_stream_bytes=21685,2026-05-12T02:52:49.045443,4_Starlink,43253.0,304.0,69876.0,0.0,0.0,333.0,6572.0,2572.0,2842.0,300.0,311.0,host,12287,6572.0,12912
12-05-2026-direct-precopy-0000,CRIU,precopy,yes,280,27401,3048.0,304,6227,0.04,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client;iterations=3;precopy_streamed_iters=3;precopy_stream_archive_ms=870;precopy_stream_transfer_ms=17364;precopy_stream_unpack_ms=1242;precopy_stream_bytes=21343,2026-05-12T02:53:56.974090,4_Starlink,24348.0,280.0,46975.0,0.0,0.0,311.0,3184.0,2458.0,0.0,0.0,278.0,direct,5643,3184.0,6227
12-05-2026-direct-precopy-0001,CRIU,precopy,yes,288,27411,3187.0,331,6333,0.04,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client;iterations=3;precopy_streamed_iters=3;precopy_stream_archive_ms=877;precopy_stream_transfer_ms=17212;precopy_stream_unpack_ms=932;precopy_stream_bytes=21755,2026-05-12T02:55:05.115705,4_Starlink,24110.0,288.0,47326.0,0.0,0.0,342.0,3161.0,2552.0,0.0,0.0,292.0,direct,5714,3161.0,6333
12-05-2026-direct-precopy-0002,CRIU,precopy,yes,329,27635,3342.0,309,6490,0.04,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client;iterations=3;precopy_streamed_iters=3;precopy_stream_archive_ms=895;precopy_stream_transfer_ms=18184;precopy_stream_unpack_ms=874;precopy_stream_bytes=22004,2026-05-12T02:56:13.971442,4_Starlink,24958.0,329.0,47775.0,0.0,0.0,316.0,3107.0,2745.0,0.0,0.0,281.0,direct,5852,3107.0,6490
