run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms
12-05-2026-host-cold-0040,CRIU,cold,yes,453,28333,38180,420,39053,0.01,x86_64,x86_64,True,False,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1; tcp_not_established,2026-05-12T20:56:44.142469,5_TEE_Best,0.0,0.0,53650.0,0.0,0.0,316.0,16925.0,11746.0,9192.0,316.0,644.0
12-05-2026-host-cold-0041,CRIU,cold,yes,339,27358,39767,301,40407,0.01,x86_64,x86_64,True,False,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1; tcp_not_established,2026-05-12T20:57:57.592644,5_TEE_Best,0.0,0.0,53354.0,0.0,0.0,291.0,14908.0,13926.0,10342.0,589.0,315.0
12-05-2026-host-cold-0042,CRIU,cold,yes,304,27503,42968,305,43577,0.01,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-12T20:59:14.618249,5_TEE_Best,0.0,0.0,56707.0,0.0,0.0,355.0,15700.0,12835.0,14168.0,264.0,347.0
12-05-2026-host-cold-0043,CRIU,cold,yes,344,27271,41477,327,42148,0.01,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-12T21:00:30.656326,5_TEE_Best,0.0,0.0,55183.0,0.0,0.0,329.0,15072.0,15958.0,10138.0,308.0,313.0
12-05-2026-host-cold-0044,CRIU,cold,yes,327,27243,35386,339,36052,0.01,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-12T21:01:41.330881,5_TEE_Best,0.0,0.0,50086.0,0.0,0.0,319.0,13917.0,11055.0,10105.0,307.0,324.0
12-05-2026-host-cold-0045,CRIU,cold,yes,356,27115,40338,312,41006,0.01,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-12T21:02:56.605490,5_TEE_Best,0.0,0.0,54541.0,0.0,0.0,346.0,18252.0,11195.0,10487.0,402.0,311.0
12-05-2026-host-cold-0046,CRIU,cold,yes,336,27310,38841,381,39558,0.01,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-12T21:04:10.870163,5_TEE_Best,0.0,0.0,53011.0,0.0,0.0,338.0,16136.0,10781.0,11656.0,266.0,371.0
12-05-2026-host-cold-0047,CRIU,cold,yes,360,27274,37188,325,37873,0.01,x86_64,x86_64,True,False,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1; tcp_not_established,2026-05-12T21:05:22.846699,5_TEE_Best,0.0,0.0,51102.0,0.0,0.0,325.0,14685.0,11542.0,10368.0,591.0,299.0
12-05-2026-host-cold-0048,CRIU,cold,yes,326,27426,42722,316,43364,0.01,x86_64,x86_64,True,False,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1; tcp_not_established,2026-05-12T21:06:40.678846,5_TEE_Best,0.0,0.0,57454.0,0.0,0.0,301.0,16860.0,14341.0,11274.0,246.0,277.0
12-05-2026-host-cold-0049,CRIU,cold,yes,358,27461,40103,311,40772,0.01,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-12T21:07:54.781432,5_TEE_Best,0.0,0.0,53835.0,0.0,0.0,308.0,18564.0,10569.0,10701.0,268.0,327.0
12-05-2026-direct-cold-0040,CRIU,cold,yes,336,27242,19490,373,20199,0.01,x86_64,x86_64,True,False,transfer_mode=direct;workload=tcp-client; tcp_not_established,2026-05-12T21:08:56.272595,5_TEE_Best,0.0,0.0,40664.0,0.0,0.0,304.0,7866.0,11623.0,0.0,0.0,652.0
12-05-2026-direct-cold-0041,CRIU,cold,yes,308,27428,22181,312,22801,0.01,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-12T21:10:01.236414,5_TEE_Best,0.0,0.0,44548.0,0.0,0.0,312.0,8122.0,14059.0,0.0,0.0,629.0
12-05-2026-direct-cold-0042,CRIU,cold,yes,446,27165,19088,321,19855,0.01,x86_64,x86_64,True,False,transfer_mode=direct;workload=tcp-client; tcp_not_established,2026-05-12T21:11:05.075296,5_TEE_Best,0.0,0.0,42973.0,0.0,0.0,340.0,7771.0,11317.0,0.0,0.0,615.0
12-05-2026-direct-cold-0043,CRIU,cold,yes,364,27360,15930,352,16646,0.01,x86_64,x86_64,True,False,transfer_mode=direct;workload=tcp-client; tcp_not_established,2026-05-12T21:12:03.042960,5_TEE_Best,0.0,0.0,37801.0,0.0,0.0,331.0,6879.0,9050.0,0.0,0.0,307.0
12-05-2026-direct-cold-0044,CRIU,cold,yes,328,27263,17679,334,18341,0.01,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-12T21:13:01.513404,5_TEE_Best,0.0,0.0,37902.0,0.0,0.0,359.0,7498.0,10180.0,0.0,0.0,317.0
12-05-2026-direct-cold-0045,CRIU,cold,yes,365,27478,18262,370,18997,0.01,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-12T21:14:02.113994,5_TEE_Best,0.0,0.0,39493.0,0.0,0.0,332.0,6804.0,11458.0,0.0,0.0,360.0
