run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms,transfer_mode,raw_transfer_ms,transfer_setup_removed_ms,raw_downtime_ms
24-05-2026-host-cold-0000,CRIU,cold,yes,433,27367,494528.0,371,497703,0.0,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-24T20:14:23.515982,7_TEE_Worst,0.0,0.0,512793.0,0.0,0.0,294.0,3304.0,287992.0,205016.0,585.0,639.0,host,496899,3304.0,497703
24-05-2026-host-cold-0001,CRIU,cold,yes,365,27561,708391.0,310,711387,0.0,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-24T20:26:52.606531,7_TEE_Worst,0.0,0.0,725498.0,0.0,0.0,303.0,3266.0,489293.0,217569.0,583.0,642.0,host,710712,3266.0,711387
24-05-2026-host-cold-0002,CRIU,cold,yes,329,27638,576665.0,339,579543,0.0,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-24T20:37:11.826151,7_TEE_Worst,0.0,0.0,593746.0,0.0,0.0,315.0,3144.0,278323.0,296820.0,587.0,619.0,host,578875,3144.0,579543
24-05-2026-host-cold-0003,CRIU,cold,yes,367,27460,609950.0,323,612812,0.0,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-24T20:48:03.137753,7_TEE_Worst,0.0,0.0,627109.0,0.0,0.0,327.0,3136.0,170391.0,437969.0,624.0,637.0,host,612122,3136.0,612812
24-05-2026-host-cold-0004,CRIU,cold,yes,334,27387,686809.0,290,689478,0.0,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-24T21:00:11.206386,7_TEE_Worst,0.0,0.0,703870.0,0.0,0.0,345.0,3042.0,492885.0,192336.0,590.0,652.0,host,688854,3042.0,689478
24-05-2026-host-cold-0005,CRIU,cold,yes,355,27545,541015.0,319,543819,0.0,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-24T21:09:53.162099,7_TEE_Worst,0.0,0.0,558043.0,0.0,0.0,325.0,3171.0,356614.0,182713.0,645.0,716.0,host,543145,3171.0,543819
24-05-2026-host-cold-0006,CRIU,cold,yes,331,27474,408869.0,309,411709,0.0,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-24T21:17:23.375131,7_TEE_Worst,0.0,0.0,426256.0,0.0,0.0,333.0,3167.0,180922.0,226380.0,599.0,634.0,host,411069,3167.0,411709
24-05-2026-host-cold-0007,CRIU,cold,yes,336,27329,342627.0,328,345436,0.0,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-24T21:23:46.663679,7_TEE_Worst,0.0,0.0,359659.0,0.0,0.0,315.0,3109.0,176588.0,164490.0,584.0,649.0,host,344772,3109.0,345436
24-05-2026-host-cold-0008,CRIU,cold,yes,363,27362,686527.0,336,689449,0.0,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-24T21:35:54.126723,7_TEE_Worst,0.0,0.0,703551.0,0.0,0.0,306.0,3165.0,420960.0,264039.0,585.0,636.0,host,688750,3165.0,689449
24-05-2026-host-cold-0009,CRIU,cold,yes,348,27604,1030581.0,338,1033388,0.0,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-24T21:53:45.630937,7_TEE_Worst,0.0,0.0,1047619.0,0.0,0.0,328.0,3074.0,312599.0,716411.0,615.0,625.0,host,1032702,3074.0,1033388
24-05-2026-host-cold-0010,CRIU,cold,yes,411,27399,644012.0,321,646784,0.0,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-24T22:05:10.703729,7_TEE_Worst,0.0,0.0,660993.0,0.0,0.0,299.0,2969.0,262379.0,380070.0,633.0,630.0,host,646052,2969.0,646784
24-05-2026-host-cold-0011,CRIU,cold,yes,345,27450,330956.0,336,333736,0.0,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-24T22:11:23.302187,7_TEE_Worst,0.0,0.0,347888.0,0.0,0.0,303.0,3042.0,158281.0,171126.0,605.0,640.0,host,333055,3042.0,333736
24-05-2026-host-cold-0012,CRIU,cold,yes,344,27516,456424.0,330,459441,0.0,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-24T22:19:40.672533,7_TEE_Worst,0.0,0.0,473420.0,0.0,0.0,304.0,3281.0,218649.0,236243.0,593.0,634.0,host,458767,3281.0,459441
24-05-2026-host-cold-0013,CRIU,cold,yes,347,27584,628119.0,310,630936,0.0,x86_64,x86_64,True,False,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1; tcp_not_established,2026-05-24T22:30:49.517084,7_TEE_Worst,0.0,0.0,645089.0,0.0,0.0,326.0,3121.0,453053.0,173439.0,664.0,635.0,host,630279,3121.0,630936
24-05-2026-host-cold-0014,CRIU,cold,yes,358,27549,631904.0,322,634800,0.0,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-24T22:42:02.780679,7_TEE_Worst,0.0,0.0,649021.0,0.0,0.0,302.0,3150.0,366283.0,264079.0,606.0,632.0,host,634120,3150.0,634800
24-05-2026-host-cold-0015,CRIU,cold,yes,321,27331,624706.0,299,627617,0.0,x86_64,x86_64,True,False,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1; tcp_not_established,2026-05-24T22:53:08.085593,7_TEE_Worst,0.0,0.0,641751.0,0.0,0.0,317.0,3237.0,275920.0,347251.0,588.0,629.0,host,626997,3237.0,627617
24-05-2026-host-cold-0016,CRIU,cold,yes,342,27522,463882.0,317,466896,0.0,x86_64,x86_64,True,False,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1; tcp_not_established,2026-05-24T23:01:32.644099,7_TEE_Worst,0.0,0.0,481079.0,0.0,0.0,314.0,3320.0,296752.0,165519.0,645.0,651.0,host,466237,3320.0,466896
24-05-2026-host-cold-0017,CRIU,cold,yes,329,27736,570848.0,327,573610,0.0,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-24T23:11:44.197687,7_TEE_Worst,0.0,0.0,587860.0,0.0,0.0,323.0,3073.0,316894.0,252392.0,593.0,644.0,host,572954,3073.0,573610
24-05-2026-host-cold-0018,CRIU,cold,yes,320,27359,602213.0,313,604874,0.0,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-24T23:22:27.880272,7_TEE_Worst,0.0,0.0,619333.0,0.0,0.0,394.0,3084.0,301171.0,299362.0,623.0,662.0,host,604241,3084.0,604874
24-05-2026-host-cold-0019,CRIU,cold,yes,346,27322,564707.0,340,567645,0.0,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-24T23:32:33.983699,7_TEE_Worst,0.0,0.0,581916.0,0.0,0.0,490.0,3372.0,397949.0,165011.0,625.0,630.0,host,566959,3372.0,567645
24-05-2026-host-cold-0020,CRIU,cold,yes,352,27475,442040.0,338,444893,0.0,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-24T23:40:37.167652,7_TEE_Worst,0.0,0.0,459169.0,0.0,0.0,337.0,3162.0,205970.0,234471.0,598.0,662.0,host,444203,3162.0,444893
24-05-2026-host-cold-0021,CRIU,cold,yes,340,27431,838882.0,313,841687,0.0,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-24T23:55:16.888882,7_TEE_Worst,0.0,0.0,855847.0,0.0,0.0,301.0,3085.0,667760.0,169598.0,589.0,632.0,host,841034,3085.0,841687
24-05-2026-host-cold-0022,CRIU,cold,yes,329,27608,443633.0,323,446607,0.0,x86_64,x86_64,True,False,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1; tcp_not_established,2026-05-25T00:03:21.953554,7_TEE_Worst,0.0,0.0,461077.0,0.0,0.0,306.0,3247.0,243153.0,198958.0,596.0,619.0,host,445955,3247.0,446607
24-05-2026-host-cold-0023,CRIU,cold,yes,334,27515,430106.0,346,433059,0.0,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-25T00:11:13.211477,7_TEE_Worst,0.0,0.0,447667.0,0.0,0.0,327.0,3222.0,147143.0,281341.0,672.0,622.0,host,432379,3222.0,433059
24-05-2026-host-cold-0024,CRIU,cold,yes,353,27599,867609.0,372,870429,0.0,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-25T00:26:21.993413,7_TEE_Worst,0.0,0.0,884900.0,0.0,0.0,331.0,3067.0,226697.0,639340.0,599.0,641.0,host,869704,3067.0,870429
24-05-2026-host-cold-0025,CRIU,cold,yes,337,27376,604438.0,325,607373,0.0,x86_64,x86_64,True,False,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1; tcp_not_established,2026-05-25T00:37:07.803219,7_TEE_Worst,0.0,0.0,621631.0,0.0,0.0,297.0,3191.0,236667.0,366260.0,592.0,621.0,host,606711,3191.0,607373
24-05-2026-host-cold-0026,CRIU,cold,yes,331,27656,812601.0,316,815344,0.0,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-25T00:51:21.658239,7_TEE_Worst,0.0,0.0,829565.0,0.0,0.0,301.0,3031.0,262808.0,548238.0,619.0,634.0,host,814697,3031.0,815344
24-05-2026-host-cold-0027,CRIU,cold,yes,370,27634,437858.0,319,440684,0.0,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-25T00:59:20.691585,7_TEE_Worst,0.0,0.0,454943.0,0.0,0.0,310.0,3085.0,211548.0,224777.0,583.0,638.0,host,439995,3085.0,440684
24-05-2026-host-cold-0028,CRIU,cold,yes,388,27420,449467.0,314,452244,0.0,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-25T01:07:31.488402,7_TEE_Worst,0.0,0.0,466615.0,0.0,0.0,351.0,3050.0,237255.0,210654.0,581.0,624.0,host,451542,3050.0,452244
24-05-2026-host-cold-0029,CRIU,cold,yes,342,27511,632261.0,609,635201,0.0,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-05-25T01:18:45.906273,7_TEE_Worst,0.0,0.0,649770.0,0.0,0.0,324.0,3044.0,301347.0,329235.0,621.0,731.0,host,634250,3044.0,635201
24-05-2026-direct-cold-0000,CRIU,cold,yes,381,27468,268783.0,346,269948,0.0,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-25T01:23:56.712471,7_TEE_Worst,0.0,0.0,286232.0,0.0,0.0,293.0,1455.0,267765.0,0.0,0.0,724.0,direct,269221,1455.0,269948
24-05-2026-direct-cold-0001,CRIU,cold,yes,387,27351,216776.0,301,217919,0.0,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-25T01:28:15.257986,7_TEE_Worst,0.0,0.0,233703.0,0.0,0.0,326.0,1393.0,215837.0,0.0,0.0,612.0,direct,217231,1393.0,217919
24-05-2026-direct-cold-0002,CRIU,cold,yes,340,27458,166317.0,327,167486,0.0,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-25T01:31:41.963020,7_TEE_Worst,0.0,0.0,183286.0,0.0,0.0,324.0,1455.0,165363.0,0.0,0.0,629.0,direct,166819,1455.0,167486
24-05-2026-direct-cold-0003,CRIU,cold,yes,334,27463,238473.0,306,239557,0.0,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-25T01:36:21.085553,7_TEE_Worst,0.0,0.0,255166.0,0.0,0.0,296.0,1401.0,237515.0,0.0,0.0,661.0,direct,238917,1401.0,239557
24-05-2026-direct-cold-0004,CRIU,cold,yes,349,27496,182725.0,322,183810,0.0,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-25T01:40:04.460493,7_TEE_Worst,0.0,0.0,199363.0,0.0,0.0,320.0,1377.0,181761.0,0.0,0.0,643.0,direct,183139,1377.0,183810
24-05-2026-direct-cold-0005,CRIU,cold,yes,334,27594,530204.0,315,531260,0.0,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-25T01:49:35.115718,7_TEE_Worst,0.0,0.0,547083.0,0.0,0.0,334.0,1363.0,529248.0,0.0,0.0,622.0,direct,530611,1363.0,531260
24-05-2026-direct-cold-0006,CRIU,cold,yes,334,27442,253540.0,299,254701,0.0,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-25T01:54:29.310835,7_TEE_Worst,0.0,0.0,270459.0,0.0,0.0,297.0,1481.0,252586.0,0.0,0.0,656.0,direct,254068,1481.0,254701
24-05-2026-direct-cold-0007,CRIU,cold,yes,491,27493,327633.0,309,328890,0.0,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-25T02:00:37.684962,7_TEE_Worst,0.0,0.0,344522.0,0.0,0.0,328.0,1443.0,326646.0,0.0,0.0,658.0,direct,328090,1443.0,328890
24-05-2026-direct-cold-0008,CRIU,cold,yes,353,27705,606056.0,337,607207,0.0,x86_64,x86_64,True,False,transfer_mode=direct;workload=tcp-client; tcp_not_established,2026-05-25T02:11:24.476962,7_TEE_Worst,0.0,0.0,622998.0,0.0,0.0,314.0,1403.0,605114.0,0.0,0.0,628.0,direct,606517,1403.0,607207
24-05-2026-direct-cold-0009,CRIU,cold,yes,322,27505,245382.0,312,246467,0.0,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-25T02:16:10.533104,7_TEE_Worst,0.0,0.0,262464.0,0.0,0.0,358.0,1438.0,244395.0,0.0,0.0,629.0,direct,245833,1438.0,246467
24-05-2026-direct-cold-0010,CRIU,cold,yes,383,27585,197271.0,311,198463,0.0,x86_64,x86_64,True,False,transfer_mode=direct;workload=tcp-client; tcp_not_established,2026-05-25T02:20:08.660912,7_TEE_Worst,0.0,0.0,214063.0,0.0,0.0,317.0,1441.0,196328.0,0.0,0.0,626.0,direct,197769,1441.0,198463
24-05-2026-direct-cold-0011,CRIU,cold,yes,360,27694,289711.0,367,290919,0.0,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-25T02:25:38.455610,7_TEE_Worst,0.0,0.0,306553.0,0.0,0.0,311.0,1445.0,288746.0,0.0,0.0,653.0,direct,290192,1445.0,290919
24-05-2026-direct-cold-0012,CRIU,cold,yes,352,27576,195988.0,361,197150,0.0,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-25T02:29:35.460431,7_TEE_Worst,0.0,0.0,212818.0,0.0,0.0,319.0,1411.0,195025.0,0.0,0.0,643.0,direct,196437,1411.0,197150
24-05-2026-direct-cold-0013,CRIU,cold,yes,387,27607,209683.0,328,210837,0.0,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-25T02:33:45.795077,7_TEE_Worst,0.0,0.0,226428.0,0.0,0.0,304.0,1376.0,208745.0,0.0,0.0,633.0,direct,210122,1376.0,210837
24-05-2026-direct-cold-0014,CRIU,cold,yes,349,27482,241876.0,325,243003,0.0,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-25T02:38:28.904662,7_TEE_Worst,0.0,0.0,258823.0,0.0,0.0,317.0,1396.0,240932.0,0.0,0.0,626.0,direct,242329,1396.0,243003
24-05-2026-direct-cold-0015,CRIU,cold,yes,327,27263,308326.0,309,309398,0.0,x86_64,x86_64,True,True,transfer_mode=direct;workload=tcp-client,2026-05-25T02:44:17.640862,7_TEE_Worst,0.0,0.0,325134.0,0.0,0.0,307.0,1390.0,307372.0,0.0,0.0,647.0,direct,308762,1390.0,309398
