run_id,technology,migration_method,network_migration,checkpoint_ms,checkpoint_us,checkpoint_ns,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes
30-04-2026-host-cold-0002,WASM,cold,no,1,125.0,124970.0,2016,7190,2078,9269,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:13:07.618208,1_WiFi_6,0,1,15399,0,0
30-04-2026-host-cold-0003,WASM,cold,no,1,124.0,123541.0,2019,6781,1947,8729,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:13:27.670233,1_WiFi_6,0,1,14493,0,0
30-04-2026-host-cold-0004,WASM,cold,no,1,198.0,197439.0,2016,6672,1933,8606,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:13:48.086829,1_WiFi_6,0,1,14771,0,0
30-04-2026-host-cold-0005,WASM,cold,no,1,196.0,195409.0,2014,7073,1918,8992,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:14:08.669641,1_WiFi_6,0,1,14733,0,0
30-04-2026-host-cold-0006,WASM,cold,no,1,184.0,183776.0,2015,6862,2048,8911,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:14:28.959588,1_WiFi_6,0,1,14781,0,0
30-04-2026-host-cold-0007,WASM,cold,no,1,123.0,122747.0,2018,6690,1927,8618,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:14:49.321610,1_WiFi_6,0,1,14792,0,0
30-04-2026-host-cold-0008,WASM,cold,no,1,164.0,163875.0,2018,6993,1966,8960,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:15:10.275844,1_WiFi_6,0,1,15108,0,0
30-04-2026-host-cold-0009,WASM,cold,no,1,167.0,166886.0,2018,6856,1957,8814,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:15:30.710442,1_WiFi_6,0,1,14606,0,0
30-04-2026-host-cold-0010,WASM,cold,no,1,161.0,160991.0,2017,6804,2033,8838,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:15:51.849866,1_WiFi_6,0,1,15298,0,0
30-04-2026-host-cold-0011,WASM,cold,no,1,125.0,124402.0,2016,7130,2036,9167,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:16:12.393098,1_WiFi_6,0,1,14970,0,0
30-04-2026-direct-cold-0002,WASM,cold,no,1,153.0,152917.0,2017,3171,1955,5127,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:16:28.846637,1_WiFi_6,0,1,11006,0,0
30-04-2026-direct-cold-0003,WASM,cold,no,1,203.0,202649.0,2020,3027,2201,5229,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:16:45.649686,1_WiFi_6,0,1,11319,0,0
30-04-2026-direct-cold-0004,WASM,cold,no,1,133.0,132767.0,2021,3061,2014,5076,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:17:02.928007,1_WiFi_6,0,1,11143,0,0
30-04-2026-direct-cold-0005,WASM,cold,no,1,136.0,135595.0,2018,3084,1874,4959,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:17:28.957161,1_WiFi_6,0,1,10768,0,0
30-04-2026-direct-cold-0006,WASM,cold,no,1,184.0,183497.0,2018,3111,1973,5085,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:17:45.481868,1_WiFi_6,0,1,11028,0,0
30-04-2026-direct-cold-0007,WASM,cold,no,1,160.0,159477.0,2021,3140,1945,5086,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:18:02.868354,1_WiFi_6,0,1,11323,0,0
30-04-2026-direct-cold-0008,WASM,cold,no,1,131.0,130306.0,2020,3166,1946,5113,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:18:19.491226,1_WiFi_6,0,1,10910,0,0
30-04-2026-direct-cold-0009,WASM,cold,no,1,187.0,186063.0,2020,3169,2027,5197,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:18:36.238206,1_WiFi_6,0,1,11191,0,0
30-04-2026-direct-cold-0010,WASM,cold,no,1,124.0,123965.0,2019,3036,1991,5028,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:18:53.424935,1_WiFi_6,0,1,11498,0,0
30-04-2026-direct-cold-0011,WASM,cold,no,1,124.0,123676.0,2022,3083,1896,4980,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:19:09.967468,1_WiFi_6,0,1,10919,0,0
30-04-2026-host-cold-0012,WASM,cold,no,1,210.0,209666.0,2018,7192,1912,9105,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:20:59.585840,1_WiFi_6,0,1,14881,0,0
30-04-2026-host-cold-0013,WASM,cold,no,1,141.0,140733.0,2017,6927,2025,8953,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:21:20.120662,1_WiFi_6,0,1,14920,0,0
