run_id,technology,migration_method,network_migration,checkpoint_ms,checkpoint_us,checkpoint_ns,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms
01-05-2026-host-cold-0000,WASM,cold,no,1,153.0,152718.0,2015,7277,1966,9244,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-01T05:37:22.048383,1_WiFi_6,0,1,15176,0,0,640.0,5148.0,882.0,971.0,273.0,291.0
01-05-2026-host-cold-0001,WASM,cold,no,1,131.0,130899.0,2014,6492,1920,8413,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-01T05:37:41.935834,1_WiFi_6,0,1,14370,0,0,600.0,4478.0,857.0,898.0,256.0,280.0
01-05-2026-host-cold-0002,WASM,cold,no,1,125.0,124388.0,2011,6534,1947,8482,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-01T05:38:01.856668,1_WiFi_6,0,1,14309,0,0,562.0,4668.0,873.0,729.0,262.0,283.0
01-05-2026-host-cold-0003,WASM,cold,no,1,168.0,167143.0,2010,7242,1966,9209,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-01T05:38:23.112299,1_WiFi_6,0,1,15037,0,0,554.0,5117.0,915.0,938.0,268.0,259.0
01-05-2026-host-cold-0004,WASM,cold,no,1,154.0,153451.0,2011,6697,1952,8650,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-01T05:38:43.272085,1_WiFi_6,0,1,14588,0,0,573.0,4637.0,881.0,899.0,278.0,279.0
01-05-2026-host-cold-0005,WASM,cold,no,1,204.0,203725.0,2010,6654,1993,8648,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-01T05:39:04.105932,1_WiFi_6,0,1,15280,0,0,617.0,4594.0,896.0,885.0,275.0,277.0
01-05-2026-host-cold-0006,WASM,cold,no,1,123.0,122430.0,2007,7079,2042,9122,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-01T05:39:24.631647,1_WiFi_6,0,1,14997,0,0,584.0,5059.0,887.0,859.0,272.0,291.0
01-05-2026-host-cold-0007,WASM,cold,no,1,160.0,159044.0,2014,7033,1942,8976,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-01T05:39:45.002197,1_WiFi_6,0,1,14830,0,0,559.0,4911.0,949.0,871.0,300.0,293.0
01-05-2026-host-cold-0008,WASM,cold,no,1,163.0,162274.0,2012,6865,1986,8852,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-01T05:40:06.124346,1_WiFi_6,0,1,15410,0,0,606.0,4757.0,842.0,1000.0,263.0,300.0
01-05-2026-host-cold-0009,WASM,cold,no,1,196.0,195583.0,2012,7010,1997,9008,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-01T05:40:26.523324,1_WiFi_6,0,1,14896,0,0,549.0,4902.0,887.0,890.0,328.0,316.0
01-05-2026-direct-cold-0000,WASM,cold,no,1,140.0,139143.0,2013,3244,1878,5123,0.0,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-01T05:40:43.252172,1_WiFi_6,0,1,10938,0,0,586.0,2285.0,958.0,0.0,0.0,272.0
01-05-2026-direct-cold-0001,WASM,cold,no,1,127.0,126316.0,2011,3043,1896,4940,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-01T05:40:59.671318,1_WiFi_6,0,1,10863,0,0,575.0,2185.0,857.0,0.0,0.0,289.0
01-05-2026-direct-cold-0002,WASM,cold,no,1,165.0,164598.0,2014,3102,1902,5005,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-01T05:41:16.536533,1_WiFi_6,0,1,10660,0,0,538.0,2245.0,856.0,0.0,0.0,295.0
01-05-2026-direct-cold-0003,WASM,cold,no,1,176.0,175657.0,2012,3075,2019,5095,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-01T05:41:33.180711,1_WiFi_6,0,1,11164,0,0,615.0,2190.0,883.0,0.0,0.0,275.0
01-05-2026-direct-cold-0004,WASM,cold,no,1,144.0,143344.0,2014,3162,2040,5203,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-01T05:41:49.725349,1_WiFi_6,0,1,11064,0,0,514.0,2281.0,879.0,0.0,0.0,295.0
01-05-2026-direct-cold-0005,WASM,cold,no,1,166.0,165832.0,2014,3117,1890,5008,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-01T05:42:06.533359,1_WiFi_6,0,1,11143,0,0,560.0,2183.0,932.0,0.0,0.0,284.0
01-05-2026-direct-cold-0006,WASM,cold,no,1,143.0,142307.0,2014,3099,1961,5061,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-01T05:42:23.393439,1_WiFi_6,0,1,11093,0,0,597.0,2185.0,912.0,0.0,0.0,300.0
01-05-2026-direct-cold-0007,WASM,cold,no,1,131.0,130986.0,2014,3323,1913,5237,0.0,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-01T05:42:40.039712,1_WiFi_6,0,1,11184,0,0,593.0,2451.0,870.0,0.0,0.0,293.0
01-05-2026-direct-cold-0008,WASM,cold,no,1,191.0,190484.0,2010,3041,2052,5094,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-01T05:42:56.909706,1_WiFi_6,0,1,11246,0,0,598.0,2112.0,927.0,0.0,0.0,315.0
01-05-2026-direct-cold-0009,WASM,cold,no,1,122.0,121108.0,2015,3835,2041,5877,0.0,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-01T05:43:14.207158,1_WiFi_6,0,1,11779,0,0,585.0,2895.0,938.0,0.0,0.0,294.0
01-05-2026-host-cold-0010,WASM,cold,no,1,195.0,194325.0,2006,7125,2057,9183,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-01T05:45:04.949948,1_WiFi_6,0,1,15228,0,0,578.0,4961.0,891.0,987.0,283.0,310.0
01-05-2026-host-cold-0011,WASM,cold,no,1,182.0,181403.0,2012,6675,2080,8756,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-01T05:45:35.024919,1_WiFi_6,0,1,14805,0,0,589.0,4653.0,883.0,857.0,279.0,286.0
01-05-2026-host-cold-0012,WASM,cold,no,1,163.0,162052.0,2014,7267,1909,9177,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-01T05:45:55.773167,1_WiFi_6,0,1,15055,0,0,594.0,5285.0,738.0,934.0,308.0,298.0
01-05-2026-host-cold-0013,WASM,cold,no,1,177.0,176700.0,2012,7093,1908,9002,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-01T05:46:16.477958,1_WiFi_6,0,1,15127,0,0,612.0,4999.0,893.0,892.0,307.0,334.0
01-05-2026-host-cold-0014,WASM,cold,no,1,127.0,126098.0,2010,6842,1952,8795,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-01T05:46:36.721913,1_WiFi_6,0,1,14670,0,0,624.0,4728.0,926.0,900.0,285.0,274.0
01-05-2026-host-cold-0015,WASM,cold,no,1,154.0,153972.0,2015,7165,2160,9326,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-01T05:46:57.896174,1_WiFi_6,0,1,15565,0,0,869.0,5070.0,925.0,889.0,279.0,392.0
01-05-2026-host-cold-0016,WASM,cold,no,1,127.0,126521.0,2012,7201,1966,9168,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-01T05:47:19.052734,1_WiFi_6,0,1,15273,0,0,564.0,5123.0,900.0,898.0,279.0,295.0
01-05-2026-host-cold-0017,WASM,cold,no,1,182.0,181994.0,2015,6797,2039,8837,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-01T05:47:39.410283,1_WiFi_6,0,1,14752,0,0,608.0,4666.0,991.0,861.0,276.0,290.0
01-05-2026-host-cold-0018,WASM,cold,no,1,192.0,191369.0,2013,7040,1969,9010,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-01T05:48:00.348049,1_WiFi_6,0,1,15205,0,0,594.0,5039.0,900.0,829.0,270.0,275.0
01-05-2026-host-cold-0019,WASM,cold,no,1,175.0,174391.0,2009,6840,2014,8855,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-01T05:48:20.878131,1_WiFi_6,0,1,14820,0,0,616.0,4831.0,849.0,876.0,282.0,305.0
01-05-2026-direct-cold-0010,WASM,cold,no,1,202.0,201779.0,2015,3220,1989,5210,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-01T05:48:37.828908,1_WiFi_6,0,1,11108,0,0,578.0,2266.0,952.0,0.0,0.0,312.0
01-05-2026-direct-cold-0011,WASM,cold,no,1,182.0,181838.0,2015,3522,2084,5607,0.0,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-01T05:48:55.523093,1_WiFi_6,0,1,12030,0,0,660.0,2423.0,1097.0,0.0,0.0,281.0
01-05-2026-direct-cold-0012,WASM,cold,no,1,197.0,196369.0,2012,3109,2076,5186,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-01T05:49:12.339946,1_WiFi_6,0,1,11106,0,0,604.0,2161.0,946.0,0.0,0.0,277.0
