run_id,technology,migration_method,network_migration,checkpoint_ms,checkpoint_us,checkpoint_ns,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms
01-05-2026-host-cold-0040,WASM,cold,no,1,159.0,158763.0,2011,7758,1998,9757,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-01T13:36:35.545787,2_5G,0,1,15748,0,0,613.0,5245.0,1110.0,1114.0,287.0,313.0
01-05-2026-host-cold-0041,WASM,cold,no,1,899.0,898888.0,2013,7624,1900,9525,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-01T13:36:56.513111,2_5G,0,1,15399,0,0,578.0,5049.0,1162.0,1125.0,285.0,289.0
01-05-2026-host-cold-0042,WASM,cold,no,1,125.0,124157.0,2009,7420,2012,9433,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-01T13:37:17.844628,2_5G,0,1,15917,0,0,550.0,4994.0,1084.0,1085.0,254.0,361.0
01-05-2026-host-cold-0043,WASM,cold,no,1,478.0,477825.0,2015,7905,1991,9897,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-01T13:37:39.127206,2_5G,0,1,15698,0,0,569.0,5338.0,1137.0,1141.0,286.0,267.0
01-05-2026-host-cold-0044,WASM,cold,no,1,138.0,137566.0,2014,7478,1928,9407,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-01T13:37:59.929292,2_5G,0,1,15184,0,0,559.0,4962.0,1112.0,1067.0,335.0,302.0
01-05-2026-host-cold-0045,WASM,cold,no,1,191.0,190681.0,2009,7989,2040,10030,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-01T13:38:21.733813,2_5G,0,1,16232,0,0,608.0,5113.0,1131.0,1403.0,340.0,305.0
01-05-2026-host-cold-0046,WASM,cold,no,1,162.0,161194.0,2014,7542,1935,9478,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-01T13:38:42.813147,2_5G,0,1,15387,0,0,636.0,5111.0,1029.0,1074.0,325.0,280.0
01-05-2026-host-cold-0047,WASM,cold,no,1,122.0,121054.0,2013,7519,1950,9470,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-01T13:39:03.764311,2_5G,0,1,15411,0,0,659.0,4957.0,1116.0,1077.0,366.0,293.0
01-05-2026-host-cold-0048,WASM,cold,no,1,201.0,200031.0,2010,7872,1973,9846,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-01T13:39:25.292014,2_5G,0,1,16028,0,0,566.0,5354.0,1074.0,1142.0,298.0,306.0
01-05-2026-host-cold-0049,WASM,cold,no,2,1052.0,1051009.0,2014,7671,1990,9663,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-01T13:39:46.332923,2_5G,0,2,15536,0,0,581.0,5187.0,953.0,1246.0,282.0,290.0
