run_id,technology,migration_method,network_migration,checkpoint_ms,checkpoint_us,checkpoint_ns,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms
05-05-2026-host-cold-0000,WASM,cold,no,1,195.0,194855.0,2017,11740,2020,13761,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-05T02:00:02.044188,3_LTE,0,1,19697,0,0,566.0,6915.0,2300.0,2246.0,277.0,285.0
05-05-2026-host-cold-0001,WASM,cold,no,1,141.0,140545.0,2017,11415,1910,13326,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-05T02:00:26.789241,3_LTE,0,1,19244,0,0,566.0,6533.0,2246.0,2290.0,343.0,320.0
05-05-2026-host-cold-0002,WASM,cold,no,1,133.0,132469.0,2019,12129,2032,14162,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-05T02:00:52.265891,3_LTE,0,1,19987,0,0,589.0,6955.0,2257.0,2283.0,632.0,299.0
05-05-2026-host-cold-0003,WASM,cold,no,1,122.0,121989.0,2016,11206,2011,13218,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-05T02:01:16.929318,3_LTE,0,1,19135,0,0,588.0,6450.0,2198.0,2205.0,349.0,291.0
05-05-2026-host-cold-0004,WASM,cold,no,1,132.0,131768.0,2016,11042,1993,13036,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-05T02:01:42.314789,3_LTE,0,1,19765,0,0,597.0,6275.0,2277.0,2233.0,255.0,283.0
05-05-2026-host-cold-0005,WASM,cold,no,1,178.0,177268.0,2017,11365,1945,13311,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-05T02:02:07.298616,3_LTE,0,1,19295,0,0,647.0,6574.0,2301.0,2229.0,259.0,287.0
05-05-2026-host-cold-0006,WASM,cold,no,1,138.0,137467.0,2016,11135,2095,13231,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-05T02:02:32.170448,3_LTE,0,1,19288,0,0,596.0,6421.0,2215.0,2235.0,262.0,334.0
05-05-2026-host-cold-0007,WASM,cold,no,1,129.0,128044.0,2017,11757,1957,13715,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-05T02:02:57.838213,3_LTE,0,1,20055,0,0,598.0,6739.0,2202.0,2231.0,583.0,284.0
05-05-2026-host-cold-0008,WASM,cold,no,1,126.0,125423.0,2016,11214,1923,13138,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-05T02:03:22.529870,3_LTE,0,1,19198,0,0,584.0,6394.0,2280.0,2281.0,256.0,287.0
05-05-2026-host-cold-0009,WASM,cold,no,1,165.0,164993.0,2016,11145,2260,13406,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-05T02:03:47.902987,3_LTE,0,1,19857,0,0,627.0,6345.0,2293.0,2222.0,281.0,340.0
05-05-2026-direct-cold-0000,WASM,cold,no,1,221.0,220117.0,2015,5262,1952,7215,0.0,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-05T02:04:06.846232,3_LTE,0,1,13184,0,0,560.0,3037.0,2223.0,0.0,0.0,267.0
