run_id,technology,migration_method,network_migration,checkpoint_ms,checkpoint_us,checkpoint_ns,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms,transfer_mode,raw_transfer_ms,transfer_setup_removed_ms,raw_downtime_ms,checkpoint_plot_ms,checkpoint_plot_us,archive_kib
06-05-2026-host-cold-0000,WASM,Wasm,no,1,214.0,213020.0,2017,2707.0,1989,9321,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-06T19:36:26.797074,1_WiFi_6,0,1,15369,0,0,573.0,5197.0,912.0,946.0,274.0,353.0,host,7331,5197.0,9321,0.214,214.0,1.9697265625
06-05-2026-host-cold-0001,WASM,Wasm,no,1,172.0,171572.0,2019,2809.0,1941,8926,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-06T19:36:47.592990,1_WiFi_6,0,1,15010,0,0,650.0,4825.0,944.0,930.0,283.0,280.0,host,6984,4825.0,8926,0.172,172.0,1.9716796875
06-05-2026-host-cold-0002,WASM,Wasm,no,1,156.0,155149.0,2016,2759.0,2129,9121,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-06T19:37:09.212890,1_WiFi_6,0,1,15856,0,0,574.0,4806.0,972.0,871.0,339.0,389.0,host,6991,4806.0,9121,0.156,156.0,1.96875
06-05-2026-host-cold-0003,WASM,Wasm,no,1,124.0,123952.0,2017,2670.0,1956,9276,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-06T19:37:40.032455,1_WiFi_6,0,1,15281,0,0,586.0,5235.0,889.0,812.0,380.0,298.0,host,7319,5235.0,9276,0.124,124.0,1.9697265625
06-05-2026-host-cold-0004,WASM,Wasm,no,1,169.0,168856.0,2017,2625.0,1933,8892,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-06T19:38:00.912385,1_WiFi_6,0,1,15266,0,0,547.0,4880.0,821.0,955.0,300.0,273.0,host,6958,4880.0,8892,0.169,169.0,1.9697265625
06-05-2026-host-cold-0005,WASM,Wasm,no,1,189.0,188884.0,2016,2837.0,1942,9272,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-06T19:38:22.135932,1_WiFi_6,0,1,15601,0,0,677.0,5169.0,930.0,920.0,308.0,291.0,host,7329,5169.0,9272,0.189,189.0,1.96875
06-05-2026-host-cold-0006,WASM,Wasm,no,1,153.0,152439.0,2017,2704.0,1913,9016,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-06T19:38:43.074251,1_WiFi_6,0,1,15043,0,0,612.0,5010.0,893.0,924.0,273.0,277.0,host,7102,5010.0,9016,0.153,153.0,1.9697265625
06-05-2026-host-cold-0007,WASM,Wasm,no,1,142.0,141023.0,2018,2769.0,2051,8985,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-06T19:39:03.854548,1_WiFi_6,0,1,14976,0,0,626.0,4790.0,906.0,880.0,355.0,313.0,host,6933,4790.0,8985,0.142,142.0,1.970703125
06-05-2026-host-cold-0008,WASM,Wasm,no,1,175.0,174927.0,2017,2774.0,2093,9580,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-06T19:39:25.504615,1_WiFi_6,0,1,15538,0,0,579.0,5291.0,940.0,909.0,344.0,291.0,host,7486,5291.0,9580,0.175,175.0,1.9697265625
06-05-2026-host-cold-0009,WASM,Wasm,no,1,139.0,138114.0,2016,2613.0,2142,9337,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-06T19:39:46.502761,1_WiFi_6,0,1,15402,0,0,557.0,5138.0,861.0,886.0,306.0,367.0,host,7194,5138.0,9337,0.139,139.0,1.96875
