run_id,technology,migration_method,network_migration,checkpoint_ms,checkpoint_us,checkpoint_ns,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms,transfer_mode,raw_transfer_ms,transfer_setup_removed_ms,raw_downtime_ms,checkpoint_plot_ms,checkpoint_plot_us,archive_kib
11-05-2026-host-cold-0000,WASM,Wasm,no,1,184.0,183055.0,2015,3120.0,1918,9634,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-11T02:13:42.325804,2_5G,0,1,15613,0,0,572.0,5167.0,1158.0,1103.0,284.0,282.0,host,7715,5167.0,9634,0.184,184.0,1.9677734375
11-05-2026-host-cold-0001,WASM,Wasm,no,1,150.0,149025.0,2017,3123.0,1901,9391,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-11T02:14:03.566563,2_5G,0,1,15489,0,0,609.0,4975.0,1120.0,1122.0,269.0,267.0,host,7489,4975.0,9391,0.15,150.0,1.9697265625
11-05-2026-host-cold-0002,WASM,Wasm,no,1,202.0,201800.0,2012,2945.0,2291,9572,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-11T02:14:25.201154,2_5G,0,1,15697,0,0,534.0,4869.0,1092.0,1033.0,282.0,347.0,host,7280,4869.0,9572,0.202,202.0,1.96484375
11-05-2026-host-cold-0003,WASM,Wasm,no,1,139.0,138740.0,2014,2942.0,1933,9443,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-11T02:14:46.538855,2_5G,0,1,15441,0,0,588.0,5155.0,1037.0,1033.0,281.0,300.0,host,7509,5155.0,9443,0.139,139.0,1.966796875
11-05-2026-host-cold-0004,WASM,Wasm,no,1,123.0,122355.0,2014,3024.0,2082,9768,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-11T02:15:07.861589,2_5G,0,1,15746,0,0,595.0,5256.0,1070.0,1025.0,331.0,304.0,host,7685,5256.0,9768,0.123,123.0,1.966796875
11-05-2026-host-cold-0005,WASM,Wasm,no,1,133.0,132676.0,2014,3473.0,2002,9744,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-11T02:15:29.600737,2_5G,0,1,16016,0,0,627.0,4895.0,1110.0,1427.0,306.0,275.0,host,7741,4895.0,9744,0.133,133.0,1.966796875
11-05-2026-host-cold-0006,WASM,Wasm,no,1,135.0,134828.0,2016,3100.0,2019,9877,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-11T02:15:50.992688,2_5G,0,1,15734,0,0,581.0,5338.0,1072.0,1085.0,360.0,295.0,host,7857,5338.0,9877,0.135,135.0,1.96875
11-05-2026-host-cold-0007,WASM,Wasm,no,1,128.0,127422.0,2015,3071.0,1955,9515,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-11T02:16:11.972514,2_5G,0,1,15406,0,0,586.0,5074.0,1075.0,1089.0,317.0,306.0,host,7559,5074.0,9515,0.128,128.0,1.9677734375
11-05-2026-host-cold-0008,WASM,Wasm,no,1,159.0,158007.0,2015,3110.0,1914,9603,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-11T02:16:33.264305,2_5G,0,1,15692,0,0,569.0,5147.0,1159.0,1125.0,255.0,280.0,host,7688,5147.0,9603,0.159,159.0,1.9677734375
11-05-2026-host-cold-0009,WASM,Wasm,no,1,126.0,125603.0,2016,3096.0,2131,10212,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-11T02:16:55.074447,2_5G,0,1,16063,0,0,555.0,5539.0,1093.0,1065.0,380.0,273.0,host,8080,5539.0,10212,0.126,126.0,1.96875
