run_id,technology,migration_method,network_migration,checkpoint_ms,checkpoint_us,checkpoint_ns,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms,transfer_mode,raw_transfer_ms,transfer_setup_removed_ms,raw_downtime_ms,checkpoint_plot_ms,checkpoint_plot_us,archive_kib
11-05-2026-host-cold-0040,WASM,Wasm,no,1,189.0,188558.0,2014,5468.0,2009,7477.189,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-11T22:36:48.639657,3_LTE,0,1,19477,0,0,621.0,6604.0,2277.0,2255.0,313.0,344.0,host,11451,6604.0,13461,0.189,189.0,1.966796875
11-05-2026-host-cold-0041,WASM,Wasm,no,1,189.0,188509.0,2009,5349.0,1885,7234.189,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-11T22:37:12.958729,3_LTE,0,1,18902,0,0,599.0,6313.0,2260.0,2218.0,269.0,278.0,host,11063,6313.0,12949,0.189,189.0,1.9619140625
11-05-2026-host-cold-0042,WASM,Wasm,no,1,138.0,137601.0,2015,5970.0,1869,7839.138,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-11T22:37:38.507664,3_LTE,0,1,20062,0,0,564.0,6911.0,2534.0,2248.0,621.0,298.0,host,12317,6911.0,14187,0.138,138.0,1.9677734375
11-05-2026-host-cold-0043,WASM,Wasm,no,1,142.0,141016.0,2015,5405.0,1929,7334.142,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-11T22:38:03.654594,3_LTE,0,1,19360,0,0,558.0,6576.0,2204.0,2231.0,409.0,305.0,host,11423,6576.0,13353,0.142,142.0,1.9677734375
11-05-2026-host-cold-0044,WASM,Wasm,no,1,128.0,127897.0,2012,5443.0,1930,7373.128,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-11T22:38:28.849494,3_LTE,0,1,19518,0,0,564.0,6427.0,2186.0,2364.0,326.0,283.0,host,11306,6427.0,13237,0.128,128.0,1.96484375
11-05-2026-host-cold-0045,WASM,Wasm,no,1,150.0,149095.0,2017,5325.0,1968,7293.15,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-11T22:38:53.859435,3_LTE,0,1,19079,0,0,570.0,6486.0,2245.0,2240.0,268.0,284.0,host,11241,6486.0,13210,0.15,150.0,1.9697265625
11-05-2026-host-cold-0046,WASM,Wasm,no,1,171.0,170321.0,2016,5339.0,1987,7326.171,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-11T22:39:18.700396,3_LTE,0,1,19144,0,0,613.0,6416.0,2177.0,2289.0,257.0,294.0,host,11142,6416.0,13130,0.171,171.0,1.96875
11-05-2026-host-cold-0047,WASM,Wasm,no,1,127.0,126692.0,2016,5707.0,2055,7762.127,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-11T22:39:44.338183,3_LTE,0,1,19983,0,0,572.0,6950.0,2259.0,2266.0,608.0,345.0,host,12085,6950.0,14141,0.127,127.0,1.96875
11-05-2026-host-cold-0048,WASM,Wasm,no,1,139.0,138199.0,2015,5370.0,1970,7340.139,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-11T22:40:09.326556,3_LTE,0,1,19296,0,0,572.0,6559.0,2274.0,2255.0,266.0,303.0,host,11357,6559.0,13328,0.139,139.0,1.9677734375
11-05-2026-host-cold-0049,WASM,Wasm,no,1,146.0,145665.0,2016,5479.0,2308,7787.146,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-11T22:40:34.963316,3_LTE,0,1,20012,0,0,570.0,6248.0,2354.0,2288.0,265.0,270.0,host,11157,6248.0,13466,0.146,146.0,1.96875
11-05-2026-direct-cold-0040,WASM,Wasm,no,1,160.0,159047.0,2019,2760.0,1927,4687.16,0.0,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-11T22:40:53.696312,3_LTE,0,1,13089,0,0,543.0,3002.0,2216.0,0.0,0.0,306.0,direct,5219,3002.0,7147,0.16,160.0,1.9716796875
11-05-2026-direct-cold-0041,WASM,Wasm,no,1,201.0,200946.0,2019,2804.0,1977,4781.201,0.0,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-11T22:41:12.252063,3_LTE,0,1,13072,0,0,557.0,2975.0,2246.0,0.0,0.0,295.0,direct,5222,2975.0,7200,0.201,201.0,1.9716796875
11-05-2026-direct-cold-0042,WASM,Wasm,no,1,135.0,134962.0,2016,2791.0,1893,4684.135,0.0,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-11T22:41:31.031277,3_LTE,0,1,13209,0,0,507.0,3016.0,2282.0,0.0,0.0,300.0,direct,5300,3016.0,7194,0.135,135.0,1.96875
11-05-2026-direct-cold-0043,WASM,Wasm,no,1,178.0,177926.0,2018,2819.0,2053,4872.178,0.0,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-11T22:41:50.219014,3_LTE,0,1,13157,0,0,581.0,2960.0,2236.0,0.0,0.0,294.0,direct,5198,2960.0,7252,0.178,178.0,1.970703125
11-05-2026-direct-cold-0044,WASM,Wasm,no,1,131.0,130998.0,2019,2772.0,1962,4734.130999999999,0.0,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-11T22:42:08.697240,3_LTE,0,1,13013,0,0,555.0,3020.0,2216.0,0.0,0.0,291.0,direct,5237,3020.0,7200,0.131,131.0,1.9716796875
11-05-2026-direct-cold-0045,WASM,Wasm,no,1,125.0,124495.0,2018,2767.0,1939,4706.125,0.0,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-11T22:42:27.343325,3_LTE,0,1,13149,0,0,559.0,2946.0,2206.0,0.0,0.0,283.0,direct,5154,2946.0,7094,0.125,125.0,1.970703125
11-05-2026-direct-cold-0046,WASM,Wasm,no,1,184.0,183236.0,2019,2978.0,1906,4884.184,0.0,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-11T22:42:46.714387,3_LTE,0,1,13451,0,0,685.0,3037.0,2292.0,0.0,0.0,272.0,direct,5330,3037.0,7237,0.184,184.0,1.9716796875
