run_id,technology,migration_method,network_migration,checkpoint_ms,checkpoint_us,checkpoint_ns,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms
15-05-2026-host-cold-0000,WASM,cold,no,1,209.0,208534.0,2015,39727,2074,41802,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-15T02:21:03.751824,5_TEE_Best,0,1,48736,0,0,614.0,19465.0,9377.0,10615.0,267.0,354.0
15-05-2026-host-cold-0001,WASM,cold,no,1,170.0,169831.0,2017,36842,2001,38844,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-15T02:21:55.031376,5_TEE_Best,0,1,45218,0,0,557.0,14422.0,11416.0,10742.0,260.0,287.0
15-05-2026-host-cold-0002,WASM,cold,no,1,128.0,127773.0,2017,44834,1919,46754,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-15T02:22:53.336127,5_TEE_Best,0,1,52596,0,0,586.0,15181.0,20761.0,8633.0,255.0,273.0
15-05-2026-host-cold-0003,WASM,cold,no,1,121.0,120047.0,2016,37402,1948,39351,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-15T02:23:44.527450,5_TEE_Best,0,1,45607,0,0,576.0,16101.0,10680.0,9979.0,639.0,291.0
15-05-2026-host-cold-0004,WASM,cold,no,1,179.0,178806.0,2018,36521,1943,38465,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-15T02:24:34.472600,5_TEE_Best,0,1,44360,0,0,550.0,14867.0,9465.0,11925.0,262.0,283.0
15-05-2026-host-cold-0005,WASM,cold,no,1,131.0,130001.0,2016,35974,1925,37900,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-15T02:25:24.666622,5_TEE_Best,0,1,44432,0,0,563.0,17258.0,9043.0,9402.0,269.0,292.0
15-05-2026-host-cold-0006,WASM,cold,no,1,185.0,184218.0,2016,37796,1864,39661,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-15T02:26:15.761887,5_TEE_Best,0,1,45523,0,0,589.0,15722.0,13188.0,8619.0,265.0,257.0
15-05-2026-host-cold-0007,WASM,cold,no,1,131.0,130934.0,2017,39452,1930,41383,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-15T02:27:08.931427,5_TEE_Best,0,1,47569,0,0,626.0,16317.0,12227.0,10238.0,668.0,279.0
15-05-2026-host-cold-0008,WASM,cold,no,1,122.0,121626.0,2018,37978,1972,39951,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-15T02:28:00.390698,5_TEE_Best,0,1,45735,0,0,549.0,17104.0,10563.0,10052.0,256.0,280.0
15-05-2026-host-cold-0009,WASM,cold,no,1,138.0,137049.0,2017,42584,2027,44612,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-15T02:28:56.668729,5_TEE_Best,0,1,50789,0,0,689.0,15168.0,13741.0,13411.0,262.0,280.0
