run_id,technology,migration_method,network_migration,checkpoint_ms,checkpoint_us,checkpoint_ns,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms,transfer_mode,raw_transfer_ms,transfer_setup_removed_ms,raw_downtime_ms,checkpoint_plot_ms,checkpoint_plot_us,archive_kib
21-05-2026-host-cold-0004,WASM,Wasm,no,1,137.0,136986.0,2016,47979.0,1925,87770,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-21T14:14:21.679521,6_TEE_Avg,0,1,97599,0,0,661.0,38526.0,25347.0,21692.0,277.0,282.0,host,85844,38526.0,87770,0.137,137.0,1.96875
21-05-2026-host-cold-0005,WASM,Wasm,no,1,123.0,122206.0,2019,48055.0,2124,84661,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-21T14:15:58.604695,6_TEE_Avg,0,1,91314,0,0,864.0,35345.0,25168.0,21366.0,654.0,329.0,host,82536,35345.0,84661,0.123,123.0,1.9716796875
21-05-2026-host-cold-0006,WASM,Wasm,no,1,121.0,120353.0,2017,53074.0,1935,91631,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-21T14:17:41.925653,6_TEE_Avg,0,1,97863,0,0,557.0,37178.0,31927.0,20299.0,289.0,281.0,host,89695,37178.0,91631,0.121,121.0,1.9697265625
21-05-2026-host-cold-0007,WASM,Wasm,no,1,126.0,125601.0,2017,43833.0,1945,93521,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-21T14:19:27.234532,6_TEE_Avg,0,1,99623,0,0,556.0,48298.0,17656.0,25023.0,596.0,285.0,host,91575,48298.0,93521,0.126,126.0,1.9697265625
21-05-2026-host-cold-0008,WASM,Wasm,no,1,122.0,121596.0,2016,44561.0,1903,80009,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-21T14:20:59.400255,6_TEE_Avg,0,1,86100,0,0,584.0,34128.0,24558.0,19094.0,322.0,277.0,host,78105,34128.0,80009,0.122,122.0,1.96875
21-05-2026-host-cold-0009,WASM,Wasm,no,1,123.0,122551.0,2016,52294.0,2038,94146,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-21T14:22:45.133088,6_TEE_Avg,0,1,100286,0,0,608.0,40421.0,26771.0,24317.0,596.0,318.0,host,92107,40421.0,94146,0.123,123.0,1.96875
21-05-2026-host-cold-0010,WASM,Wasm,no,1,171.0,170289.0,2019,63755.0,1992,92912,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-21T14:24:30.055517,6_TEE_Avg,0,1,99064,0,0,600.0,27764.0,33766.0,29131.0,255.0,301.0,host,90919,27764.0,92912,0.171,171.0,1.9716796875
21-05-2026-host-cold-0011,WASM,Wasm,no,1,127.0,126015.0,2017,67785.0,2050,104186,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-21T14:26:25.914297,6_TEE_Avg,0,1,110235,0,0,538.0,34888.0,30127.0,36521.0,598.0,399.0,host,102135,34888.0,104186,0.127,127.0,1.9697265625
21-05-2026-host-cold-0012,WASM,Wasm,no,1,119.0,118403.0,2018,45479.0,2323,99159,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-21T14:28:16.292751,6_TEE_Avg,0,1,104848,0,0,547.0,51903.0,23214.0,21454.0,262.0,283.0,host,96835,51903.0,99159,0.119,119.0,1.970703125
21-05-2026-host-cold-0013,WASM,Wasm,no,1,150.0,149437.0,2013,50612.0,1905,84085,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-21T14:29:52.195346,6_TEE_Avg,0,1,90273,0,0,538.0,32105.0,26613.0,22877.0,580.0,296.0,host,82179,32105.0,84085,0.15,150.0,1.9658203125
