run_id,technology,migration_method,network_migration,checkpoint_ms,checkpoint_us,checkpoint_ns,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms
22-05-2026-host-cold-0000,WASM,cold,no,1,122.0,121962.0,2018,915919,2296,918216,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T13:12:59.743566,7_TEE_Worst,0,1,924761,0,0,690.0,377284.0,208824.0,329230.0,578.0,296.0
22-05-2026-host-cold-0001,WASM,cold,no,1,128.0,127847.0,2014,617331,2317,619649,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T13:23:31.443170,7_TEE_Worst,0,1,625947,0,0,596.0,299827.0,170405.0,146461.0,636.0,326.0
22-05-2026-host-cold-0002,WASM,cold,no,1,124.0,123740.0,2016,735560,2301,737862,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T13:36:01.170574,7_TEE_Worst,0,1,744130,0,0,559.0,184225.0,351222.0,199379.0,731.0,282.0
22-05-2026-host-cold-0003,WASM,cold,no,1,172.0,171382.0,2017,676033,2386,678420,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T13:47:31.481996,7_TEE_Worst,0,1,684484,0,0,557.0,177255.0,179267.0,318911.0,596.0,287.0
22-05-2026-host-cold-0004,WASM,cold,no,1,135.0,134835.0,2015,639704,2242,641947,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T13:58:25.395644,7_TEE_Worst,0,1,648271,0,0,580.0,311991.0,165716.0,161396.0,598.0,281.0
22-05-2026-host-cold-0005,WASM,cold,no,1,134.0,133768.0,2016,679638,2258,681897,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T14:09:59.169036,7_TEE_Worst,0,1,688222,0,0,599.0,204843.0,297168.0,177029.0,596.0,290.0
22-05-2026-host-cold-0006,WASM,cold,no,1,138.0,137354.0,2015,651600,2467,654068,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T14:21:05.223423,7_TEE_Worst,0,1,660436,0,0,583.0,327099.0,165020.0,158843.0,636.0,313.0
22-05-2026-host-cold-0007,WASM,cold,no,1,130.0,129417.0,2018,846556,2363,848920,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T14:35:26.310505,7_TEE_Worst,0,1,855364,0,0,568.0,250066.0,363520.0,232378.0,589.0,333.0
22-05-2026-host-cold-0008,WASM,cold,no,1,127.0,126615.0,2014,709672,2311,711984,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T14:47:30.268770,7_TEE_Worst,0,1,718365,0,0,599.0,277711.0,250156.0,181223.0,579.0,315.0
22-05-2026-host-cold-0009,WASM,cold,no,1,144.0,143134.0,2013,543525,2231,545757,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T14:56:47.852781,7_TEE_Worst,0,1,551948,0,0,537.0,200274.0,209335.0,133327.0,587.0,314.0
