run_id,technology,migration_method,network_migration,checkpoint_ms,checkpoint_us,checkpoint_ns,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms,transfer_mode,raw_transfer_ms,transfer_setup_removed_ms,raw_downtime_ms,checkpoint_plot_ms,checkpoint_plot_us,archive_kib
22-05-2026-host-cold-0000,WASM,Wasm,no,1,122.0,121962.0,2018,539325.0,2296,541622.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T13:12:59.743566,7_TEE_Worst,0,1,924761,0,0,690.0,377284.0,208824.0,329230.0,578.0,296.0,host,915919,377284.0,918216,0.122,122.0,1.970703125
22-05-2026-host-cold-0001,WASM,Wasm,no,1,128.0,127847.0,2014,318100.0,2317,320418.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T13:23:31.443170,7_TEE_Worst,0,1,625947,0,0,596.0,299827.0,170405.0,146461.0,636.0,326.0,host,617331,299827.0,619649,0.128,128.0,1.966796875
22-05-2026-host-cold-0002,WASM,Wasm,no,1,124.0,123740.0,2016,551894.0,2301,554196.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T13:36:01.170574,7_TEE_Worst,0,1,744130,0,0,559.0,184225.0,351222.0,199379.0,731.0,282.0,host,735560,184225.0,737862,0.124,124.0,1.96875
22-05-2026-host-cold-0003,WASM,Wasm,no,1,172.0,171382.0,2017,499335.0,2386,501722.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T13:47:31.481996,7_TEE_Worst,0,1,684484,0,0,557.0,177255.0,179267.0,318911.0,596.0,287.0,host,676033,177255.0,678420,0.172,172.0,1.9697265625
22-05-2026-host-cold-0004,WASM,Wasm,no,1,135.0,134835.0,2015,328293.0,2242,330536.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T13:58:25.395644,7_TEE_Worst,0,1,648271,0,0,580.0,311991.0,165716.0,161396.0,598.0,281.0,host,639704,311991.0,641947,0.135,135.0,1.9677734375
22-05-2026-host-cold-0005,WASM,Wasm,no,1,134.0,133768.0,2016,475394.0,2258,477653.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T14:09:59.169036,7_TEE_Worst,0,1,688222,0,0,599.0,204843.0,297168.0,177029.0,596.0,290.0,host,679638,204843.0,681897,0.134,134.0,1.96875
22-05-2026-host-cold-0006,WASM,Wasm,no,1,138.0,137354.0,2015,325084.0,2467,327552.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T14:21:05.223423,7_TEE_Worst,0,1,660436,0,0,583.0,327099.0,165020.0,158843.0,636.0,313.0,host,651600,327099.0,654068,0.138,138.0,1.9677734375
22-05-2026-host-cold-0007,WASM,Wasm,no,1,130.0,129417.0,2018,597058.0,2363,599422.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T14:35:26.310505,7_TEE_Worst,0,1,855364,0,0,568.0,250066.0,363520.0,232378.0,589.0,333.0,host,846556,250066.0,848920,0.13,130.0,1.970703125
22-05-2026-host-cold-0008,WASM,Wasm,no,1,127.0,126615.0,2014,432560.0,2311,434872.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T14:47:30.268770,7_TEE_Worst,0,1,718365,0,0,599.0,277711.0,250156.0,181223.0,579.0,315.0,host,709672,277711.0,711984,0.127,127.0,1.966796875
22-05-2026-host-cold-0009,WASM,Wasm,no,1,144.0,143134.0,2013,343788.0,2231,346020.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T14:56:47.852781,7_TEE_Worst,0,1,551948,0,0,537.0,200274.0,209335.0,133327.0,587.0,314.0,host,543525,200274.0,545757,0.144,144.0,1.9658203125
22-05-2026-host-cold-0010,WASM,Wasm,no,1,135.0,134215.0,2016,361337.0,2353,363691.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T15:06:50.933901,7_TEE_Worst,0,1,597417,0,0,542.0,227998.0,126544.0,233648.0,600.0,283.0,host,588793,227998.0,591147,0.135,135.0,1.96875
22-05-2026-host-cold-0011,WASM,Wasm,no,1,119.0,118622.0,2017,369576.0,2292,371869.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T15:21:06.076043,7_TEE_Worst,0,1,849318,0,0,610.0,471843.0,161675.0,206686.0,602.0,289.0,host,840809,471843.0,843102,0.119,119.0,1.9697265625
22-05-2026-host-cold-0012,WASM,Wasm,no,1,167.0,166074.0,2017,389428.0,2241,391670.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T15:32:11.997656,7_TEE_Worst,0,1,660301,0,0,574.0,263034.0,193976.0,194256.0,621.0,288.0,host,651888,263034.0,654130,0.167,167.0,1.9697265625
22-05-2026-host-cold-0013,WASM,Wasm,no,1,127.0,126963.0,2017,448337.0,2268,450606.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T15:43:38.967615,7_TEE_Worst,0,1,681219,0,0,558.0,224959.0,239953.0,207194.0,629.0,289.0,host,672738,224959.0,675007,0.127,127.0,1.9697265625
22-05-2026-host-cold-0014,WASM,Wasm,no,1,180.0,179048.0,2016,483790.0,2276,486067.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T15:56:11.722472,7_TEE_Worst,0,1,747268,0,0,639.0,255460.0,153331.0,329196.0,622.0,293.0,host,738611,255460.0,740888,0.18,180.0,1.96875
22-05-2026-host-cold-0015,WASM,Wasm,no,1,138.0,137747.0,2013,934620.0,2284,936905.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T16:17:32.863587,7_TEE_Worst,0,1,1275489,0,0,584.0,332981.0,236667.0,696774.0,592.0,291.0,host,1267017,332981.0,1269302,0.138,138.0,1.9658203125
22-05-2026-host-cold-0016,WASM,Wasm,no,1,123.0,122239.0,2017,523213.0,2304,525518.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T16:33:58.122379,7_TEE_Worst,0,1,979728,0,0,566.0,448641.0,182563.0,339391.0,691.0,350.0,host,971288,448641.0,973593,0.123,123.0,1.9697265625
22-05-2026-host-cold-0017,WASM,Wasm,no,1,135.0,134627.0,2017,507399.0,2300,509700.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T16:47:40.965856,7_TEE_Worst,0,1,817270,0,0,624.0,301823.0,310797.0,195379.0,596.0,286.0,host,808598,301823.0,810899,0.135,135.0,1.9697265625
22-05-2026-host-cold-0018,WASM,Wasm,no,1,152.0,151325.0,2015,333137.0,2297,335435.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T16:58:47.021313,7_TEE_Worst,0,1,660422,0,0,628.0,319498.0,168603.0,163315.0,589.0,284.0,host,652007,319498.0,654305,0.152,152.0,1.9677734375
22-05-2026-host-cold-0019,WASM,Wasm,no,1,121.0,120386.0,2019,513391.0,2254,515646.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T17:11:17.476003,7_TEE_Worst,0,1,744913,0,0,596.0,223508.0,297068.0,214929.0,796.0,283.0,host,736303,223508.0,738558,0.121,121.0,1.9716796875
22-05-2026-host-cold-0020,WASM,Wasm,no,1,143.0,142715.0,2015,457059.0,2333,459393.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T17:25:08.422948,7_TEE_Worst,0,1,825441,0,0,667.0,360376.0,246854.0,208943.0,593.0,287.0,host,816768,360376.0,819102,0.143,143.0,1.9677734375
22-05-2026-host-cold-0021,WASM,Wasm,no,1,120.0,119477.0,2016,499481.0,2404,501886.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T17:37:55.550391,7_TEE_Worst,0,1,761453,0,0,551.0,253858.0,260155.0,238143.0,629.0,281.0,host,752788,253858.0,755193,0.12,120.0,1.96875
22-05-2026-host-cold-0022,WASM,Wasm,no,1,120.0,119604.0,2017,353887.0,2264,356152.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T17:48:52.417993,7_TEE_Worst,0,1,651201,0,0,536.0,289484.0,151897.0,200869.0,583.0,301.0,host,642835,289484.0,645100,0.12,120.0,1.9697265625
22-05-2026-host-cold-0023,WASM,Wasm,no,1,120.0,119344.0,2014,621736.0,2335,624072.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T18:02:49.378389,7_TEE_Worst,0,1,831372,0,0,567.0,201612.0,385856.0,234687.0,623.0,285.0,host,822781,201612.0,825117,0.12,120.0,1.966796875
22-05-2026-host-cold-0024,WASM,Wasm,no,1,122.0,121998.0,2015,369908.0,2341,372250.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T18:13:49.358354,7_TEE_Worst,0,1,654241,0,0,544.0,276245.0,141510.0,227264.0,588.0,295.0,host,645609,276245.0,647951,0.122,122.0,1.9677734375
22-05-2026-host-cold-0025,WASM,Wasm,no,1,215.0,214734.0,2013,685858.0,2409,688268.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T18:29:42.740374,7_TEE_Worst,0,1,947909,0,0,618.0,253904.0,328259.0,356370.0,608.0,290.0,host,939144,253904.0,941554,0.215,215.0,1.9658203125
22-05-2026-host-cold-0026,WASM,Wasm,no,1,121.0,120044.0,2018,477241.0,2235,479477.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T18:45:22.566823,7_TEE_Worst,0,1,934061,0,0,572.0,448931.0,228532.0,247554.0,580.0,284.0,host,925600,448931.0,927836,0.121,121.0,1.970703125
22-05-2026-host-cold-0027,WASM,Wasm,no,1,155.0,154567.0,2016,384615.0,2370,386986.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T18:55:41.601570,7_TEE_Worst,0,1,613554,0,0,567.0,220984.0,146785.0,236677.0,583.0,386.0,host,605032,220984.0,607403,0.155,155.0,1.96875
22-05-2026-host-cold-0028,WASM,Wasm,no,1,138.0,137968.0,2017,333544.0,2267,335812.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T19:07:03.043780,7_TEE_Worst,0,1,675491,0,0,658.0,333863.0,175164.0,157124.0,597.0,283.0,host,666749,333863.0,669017,0.138,138.0,1.9697265625
22-05-2026-host-cold-0029,WASM,Wasm,no,1,144.0,144000.0,2018,548573.0,2239,550813.0,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-05-22T19:22:00.608092,7_TEE_Worst,0,1,891937,0,0,561.0,335497.0,189548.0,357864.0,597.0,282.0,host,883509,335497.0,885749,0.144,144.0,1.970703125
22-05-2026-direct-cold-0000,WASM,Wasm,no,1,148.0,147794.0,2018,189307.0,2423,191731.0,0.0,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-22T19:28:36.312028,7_TEE_Worst,0,1,390120,0,0,554.0,192698.0,188752.0,0.0,0.0,314.0,direct,381451,192698.0,383875,0.148,148.0,1.970703125
22-05-2026-direct-cold-0001,WASM,Wasm,no,1,120.0,119765.0,2012,234894.0,2495,237390.0,0.0,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-22T19:34:41.666275,7_TEE_Worst,0,1,359879,0,0,596.0,116922.0,234297.0,0.0,0.0,400.0,direct,351220,116922.0,353716,0.12,120.0,1.96484375
22-05-2026-direct-cold-0002,WASM,Wasm,no,1,192.0,191414.0,2019,296883.0,2326,299210.0,0.0,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-22T19:42:37.051692,7_TEE_Worst,0,1,469682,0,0,647.0,164693.0,296234.0,0.0,0.0,321.0,direct,460929,164693.0,463256,0.192,192.0,1.9716796875
22-05-2026-direct-cold-0003,WASM,Wasm,no,1,126.0,125738.0,2018,243294.0,2290,245585.0,0.0,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-22T19:49:34.327695,7_TEE_Worst,0,1,411638,0,0,604.0,160317.0,242689.0,0.0,0.0,292.0,direct,403007,160317.0,405298,0.126,126.0,1.970703125
22-05-2026-direct-cold-0004,WASM,Wasm,no,1,119.0,118583.0,2019,180195.0,2216,182412.0,0.0,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-22T19:54:13.736446,7_TEE_Worst,0,1,273873,0,0,579.0,85949.0,179615.0,0.0,0.0,284.0,direct,265565,85949.0,267782,0.119,119.0,1.9716796875
22-05-2026-direct-cold-0005,WASM,Wasm,no,1,131.0,130268.0,2015,239048.0,2340,241389.0,0.0,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-22T20:01:32.650057,7_TEE_Worst,0,1,433173,0,0,614.0,186250.0,238433.0,0.0,0.0,274.0,direct,424684,186250.0,427025,0.131,131.0,1.9677734375
22-05-2026-direct-cold-0006,WASM,Wasm,no,1,149.0,148719.0,2017,377266.0,2345,379612.0,0.0,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-22T20:13:19.186286,7_TEE_Worst,0,1,700720,0,0,559.0,315626.0,376706.0,0.0,0.0,329.0,direct,692333,315626.0,694679,0.149,149.0,1.9697265625
22-05-2026-direct-cold-0007,WASM,Wasm,no,1,119.0,118604.0,2015,312751.0,2305,315057.0,0.0,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-22T20:24:04.332778,7_TEE_Worst,0,1,639214,0,0,575.0,318380.0,312174.0,0.0,0.0,292.0,direct,630556,318380.0,632862,0.119,119.0,1.9677734375
22-05-2026-direct-cold-0008,WASM,Wasm,no,1,119.0,118534.0,2014,225047.0,2276,227324.0,0.0,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-22T20:29:41.073810,7_TEE_Worst,0,1,330858,0,0,539.0,98017.0,224506.0,0.0,0.0,308.0,direct,322525,98017.0,324802,0.119,119.0,1.966796875
22-05-2026-direct-cold-0009,WASM,Wasm,no,1,167.0,166078.0,2018,168088.0,2312,170401.0,0.0,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-22T20:34:40.688020,7_TEE_Worst,0,1,294071,0,0,546.0,118102.0,167540.0,0.0,0.0,304.0,direct,285644,118102.0,287957,0.167,167.0,1.970703125
22-05-2026-direct-cold-0010,WASM,Wasm,no,1,120.0,119345.0,2017,260342.0,2275,262618.0,0.0,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-22T20:41:11.157240,7_TEE_Worst,0,1,384826,0,0,562.0,116506.0,259779.0,0.0,0.0,335.0,direct,376286,116506.0,378562,0.12,120.0,1.9697265625
22-05-2026-direct-cold-0011,WASM,Wasm,no,1,126.0,125206.0,2020,219485.0,2323,221809.0,0.0,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-05-22T20:47:03.869484,7_TEE_Worst,0,1,347164,0,0,603.0,119597.0,218881.0,0.0,0.0,296.0,direct,338479,119597.0,340803,0.126,126.0,1.97265625
