run_id,technology,migration_method,network_migration,checkpoint_ms,checkpoint_us,checkpoint_ns,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes
28-04-2026-host-cold-0035,WASM,cold,no,3,2329.0,2328797.0,2015,5882,1982,7867,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:22:34.676233,,0,3,13707,0,0
28-04-2026-host-cold-0036,WASM,cold,no,1,129.0,128801.0,2017,5530,1986,7517,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:22:54.493082,,0,1,13345,0,0
28-04-2026-host-cold-0037,WASM,cold,no,1,143.0,142980.0,2015,5525,2215,7741,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:23:14.509170,,0,1,13596,0,0
28-04-2026-host-cold-0038,WASM,cold,no,1,126.0,125054.0,2015,5794,1946,7741,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:23:35.098309,,0,1,13566,0,0
28-04-2026-host-cold-0039,WASM,cold,no,1,127.0,126587.0,2016,5562,1972,7535,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:23:54.889413,,0,1,13448,0,0
28-04-2026-host-cold-0040,WASM,cold,no,1,148.0,147797.0,2014,5546,2046,7593,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:24:14.955847,,0,1,13471,0,0
28-04-2026-host-cold-0041,WASM,cold,no,1,126.0,125435.0,2017,5808,1970,7779,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:24:35.510649,,0,1,13698,0,0
28-04-2026-host-cold-0042,WASM,cold,no,1,162.0,161836.0,2015,5677,2048,7726,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:24:56.872122,,0,1,14556,0,0
28-04-2026-host-cold-0043,WASM,cold,no,1,153.0,152641.0,2015,5548,2004,7553,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:25:17.602272,,0,1,13955,0,0
28-04-2026-host-cold-0044,WASM,cold,no,1,177.0,176743.0,2016,6042,2196,8239,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:25:38.590972,,0,1,14555,0,0
28-04-2026-host-cold-0045,WASM,cold,no,1,131.0,130494.0,2019,6087,2003,8091,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:25:58.864909,,0,1,13935,0,0
28-04-2026-host-cold-0046,WASM,cold,no,1,132.0,131845.0,2017,5581,1976,7558,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:26:19.173140,,0,1,13903,0,0
28-04-2026-host-cold-0047,WASM,cold,no,1,154.0,153340.0,2016,5841,1990,7832,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:26:39.199820,,0,1,13652,0,0
28-04-2026-host-cold-0048,WASM,cold,no,1,128.0,127431.0,2015,5541,1994,7536,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:26:59.226918,,0,1,13513,0,0
