metric,transfer_mode,profile_label,benchmark,method_label,successful_rows
downtime,direct,WiFi 6,Counter (CRIU),Cold,40
downtime,direct,WiFi 6,Counter (CRIU),Pre-copy,39
downtime,direct,WiFi 6,Counter (CRIU),Post-copy,40
downtime,direct,WiFi 6,TCP Client (CRIU),Cold,40
downtime,direct,WiFi 6,TCP Client (CRIU),Pre-copy,39
downtime,direct,WiFi 6,TCP Client (CRIU),Post-copy,38
downtime,direct,WiFi 6,Game of Life (CRIU),Cold,40
downtime,direct,WiFi 6,Game of Life (CRIU),Pre-copy,40
downtime,direct,WiFi 6,Game of Life (CRIU),Post-copy,40
downtime,direct,WiFi 6,WebAssembly,Wasm,40
downtime,direct,5G,Counter (CRIU),Cold,40
downtime,direct,5G,Counter (CRIU),Pre-copy,40
downtime,direct,5G,Counter (CRIU),Post-copy,40
downtime,direct,5G,TCP Client (CRIU),Cold,40
downtime,direct,5G,TCP Client (CRIU),Pre-copy,39
downtime,direct,5G,TCP Client (CRIU),Post-copy,40
downtime,direct,5G,Game of Life (CRIU),Cold,40
downtime,direct,5G,Game of Life (CRIU),Pre-copy,40
downtime,direct,5G,Game of Life (CRIU),Post-copy,40
downtime,direct,5G,WebAssembly,Wasm,40
downtime,direct,LTE,Counter (CRIU),Cold,39
downtime,direct,LTE,Counter (CRIU),Pre-copy,40
downtime,direct,LTE,Counter (CRIU),Post-copy,40
downtime,direct,LTE,TCP Client (CRIU),Cold,40
downtime,direct,LTE,TCP Client (CRIU),Pre-copy,40
downtime,direct,LTE,TCP Client (CRIU),Post-copy,40
downtime,direct,LTE,Game of Life (CRIU),Cold,40
downtime,direct,LTE,Game of Life (CRIU),Pre-copy,39
downtime,direct,LTE,WebAssembly,Wasm,40
downtime,direct,Starlink,Counter (CRIU),Cold,40
downtime,direct,Starlink,Counter (CRIU),Pre-copy,40
downtime,direct,Starlink,Counter (CRIU),Post-copy,40
downtime,direct,Starlink,TCP Client (CRIU),Cold,40
downtime,direct,Starlink,TCP Client (CRIU),Pre-copy,39
downtime,direct,Starlink,TCP Client (CRIU),Post-copy,40
downtime,direct,Starlink,Game of Life (CRIU),Cold,40
