run_id,profile_label,benchmark,method_label,transfer_mode,success,notes,source_plot_dir
06-05-2026-direct-precopy-0010,WiFi 6,Counter (CRIU),Pre-copy,direct,False,transfer_mode=direct;iterations=3;precopy_streamed_iters=3;precopy_stream_archive_ms=874;precopy_stream_transfer_ms=9247;precopy_stream_unpack_ms=1010;precopy_stream_bytes=17980; restore_failed,Container/metrics/plots/2026-05-06_104305__1_wifi_6__01__counter-migration
10-05-2026-direct-precopy-0015,5G,TCP Client (CRIU),Pre-copy,direct,False,transfer_mode=direct;workload=tcp-client;iterations=3;precopy_streamed_iters=3;precopy_stream_archive_ms=902;precopy_stream_transfer_ms=10083;precopy_stream_unpack_ms=1058;precopy_stream_bytes=22994; ssh_trust_failed,Network-live-migration/metrics/plots/2026-05-10_170423__2_5g__02__tcp-client-migration
11-05-2026-host-precopy-0000,5G,Game of Life (CRIU),Pre-copy,host,False,transfer_mode=host;iterations=3;relay_node=edge-host-1; predump_transfer_failed_3,Game-of-life-migration/metrics/plots/2026-05-10_170423__2_5g__03__game-of-life-migration
11-05-2026-direct-cold-0033,LTE,Counter (CRIU),Cold,direct,False,transfer_mode=direct; restore_failed,Container/metrics/plots/2026-05-11_113631__3_lte__01__counter-migration
11-05-2026-direct-precopy-0048,LTE,Game of Life (CRIU),Pre-copy,direct,False,transfer_mode=direct;iterations=3;precopy_streamed_iters=3;precopy_stream_archive_ms=3685;precopy_stream_transfer_ms=32949;precopy_stream_unpack_ms=1463;precopy_stream_bytes=27853813; transfer_failed,Game-of-life-migration/metrics/plots/2026-05-11_113631__3_lte__03__game-of-life-migration
11-05-2026-direct-postcopy-0020,LTE,Game of Life (CRIU),Post-copy,direct,False,transfer_mode=direct;lazy_pages_port=9999; gol_out_not_updating,Game-of-life-migration/metrics/plots/2026-05-11_113631__3_lte__03__game-of-life-migration
11-05-2026-direct-postcopy-0021,LTE,Game of Life (CRIU),Post-copy,direct,False,transfer_mode=direct;lazy_pages_port=9999; gol_out_not_updating,Game-of-life-migration/metrics/plots/2026-05-11_113631__3_lte__03__game-of-life-migration
11-05-2026-direct-postcopy-0022,LTE,Game of Life (CRIU),Post-copy,direct,False,transfer_mode=direct;lazy_pages_port=9999; gol_out_not_updating,Game-of-life-migration/metrics/plots/2026-05-11_113631__3_lte__03__game-of-life-migration
11-05-2026-direct-postcopy-0023,LTE,Game of Life (CRIU),Post-copy,direct,False,transfer_mode=direct;lazy_pages_port=9999; gol_out_not_updating,Game-of-life-migration/metrics/plots/2026-05-11_113631__3_lte__03__game-of-life-migration
11-05-2026-direct-postcopy-0024,LTE,Game of Life (CRIU),Post-copy,direct,False,transfer_mode=direct;lazy_pages_port=9999; gol_out_not_updating,Game-of-life-migration/metrics/plots/2026-05-11_113631__3_lte__03__game-of-life-migration
11-05-2026-direct-postcopy-0025,LTE,Game of Life (CRIU),Post-copy,direct,False,transfer_mode=direct;lazy_pages_port=9999; gol_out_not_updating,Game-of-life-migration/metrics/plots/2026-05-11_113631__3_lte__03__game-of-life-migration
