metric,value_column,metric_description,profile_label,benchmark,method_label,attempted_runs,successful_runs,fastest_value_ms,fastest_transfer_mode,fastest_run_id,fastest_checkpoint_ms,fastest_transfer_ms,fastest_restore_ms,fastest_predump_ms,slowest_value_ms,slowest_transfer_mode,slowest_run_id,slowest_checkpoint_ms,slowest_transfer_ms,slowest_restore_ms,slowest_predump_ms
downtime,raw_downtime_ms,raw measured downtime,WiFi 6,Counter (CRIU),Cold,80,80,3807.0,direct,06-05-2026-direct-cold-0036,598.0,1549.0,303.0,0.0,8526.0,host,06-05-2026-host-cold-0020,643.0,2805.0,463.0,0.0
downtime,raw_downtime_ms,raw measured downtime,WiFi 6,Counter (CRIU),Pre-copy,80,79,3890.0,direct,06-05-2026-direct-precopy-0023,591.0,1480.0,311.0,16492.0,8335.0,host,06-05-2026-host-precopy-0018,694.0,2674.0,301.0,27737.0
downtime,raw_downtime_ms,raw measured downtime,WiFi 6,Counter (CRIU),Post-copy,80,80,4337.0,direct,06-05-2026-direct-postcopy-0012,976.0,1535.0,334.0,0.0,9001.0,host,06-05-2026-host-postcopy-0028,1131.0,2744.0,337.0,0.0
downtime,raw_downtime_ms,raw measured downtime,5G,Counter (CRIU),Cold,80,80,4209.0,direct,10-05-2026-direct-cold-0033,599.0,1650.0,303.0,0.0,9162.0,host,10-05-2026-host-cold-0021,541.0,3462.0,305.0,0.0
downtime,raw_downtime_ms,raw measured downtime,5G,Counter (CRIU),Pre-copy,80,80,4143.0,direct,10-05-2026-direct-precopy-0002,542.0,1738.0,302.0,17031.0,9156.0,host,10-05-2026-host-precopy-0010,958.0,3088.0,301.0,30169.0
downtime,raw_downtime_ms,raw measured downtime,5G,Counter (CRIU),Post-copy,80,80,4662.0,direct,10-05-2026-direct-postcopy-0033,1018.0,1689.0,361.0,0.0,9719.0,host,10-05-2026-host-postcopy-0020,1439.0,3135.0,321.0,0.0
downtime,raw_downtime_ms,raw measured downtime,LTE,Counter (CRIU),Cold,80,79,6128.0,direct,11-05-2026-direct-cold-0057,538.0,2989.0,285.0,0.0,13319.0,host,11-05-2026-host-cold-0037,646.0,6372.0,299.0,0.0
downtime,raw_downtime_ms,raw measured downtime,LTE,Counter (CRIU),Pre-copy,80,80,6062.0,direct,11-05-2026-direct-precopy-0059,584.0,2941.0,289.0,22785.0,12795.0,host,11-05-2026-host-precopy-0043,628.0,6052.0,305.0,40611.0
downtime,raw_downtime_ms,raw measured downtime,LTE,Counter (CRIU),Post-copy,80,80,6666.0,direct,11-05-2026-direct-postcopy-0030,987.0,2949.0,494.0,0.0,14124.0,host,11-05-2026-host-postcopy-0041,1040.0,6687.0,521.0,0.0
downtime,raw_downtime_ms,raw measured downtime,Starlink,Counter (CRIU),Cold,80,80,6431.0,direct,12-05-2026-direct-cold-0004,603.0,3501.0,317.0,0.0,15036.0,host,11-05-2026-host-cold-0070,720.0,7936.0,412.0,0.0
downtime,raw_downtime_ms,raw measured downtime,Starlink,Counter (CRIU),Pre-copy,80,80,6495.0,direct,12-05-2026-direct-precopy-0009,567.0,3467.0,320.0,26140.0,15177.0,host,11-05-2026-host-precopy-0071,569.0,8223.0,349.0,43445.0
downtime,raw_downtime_ms,raw measured downtime,Starlink,Counter (CRIU),Post-copy,80,80,7021.0,direct,12-05-2026-direct-postcopy-0025,1016.0,3122.0,534.0,0.0,15574.0,host,12-05-2026-host-postcopy-0002,1194.0,6340.0,516.0,0.0
downtime,raw_downtime_ms,raw measured downtime,TEE Best,Counter (CRIU),Cold,80,80,16875.0,direct,12-05-2026-direct-cold-0054,636.0,9603.0,312.0,0.0,49111.0,host,12-05-2026-host-cold-0066,692.0,32633.0,376.0,0.0
downtime,raw_downtime_ms,raw measured downtime,TEE Best,Counter (CRIU),Pre-copy,80,79,16636.0,direct,12-05-2026-direct-precopy-0034,536.0,9694.0,310.0,60538.0,48767.0,host,12-05-2026-host-precopy-0041,550.0,30389.0,300.0,116463.0
downtime,raw_downtime_ms,raw measured downtime,TEE Best,Counter (CRIU),Post-copy,80,80,19244.0,direct,12-05-2026-direct-postcopy-0044,936.0,10135.0,1180.0,0.0,50561.0,host,12-05-2026-host-postcopy-0057,1006.0,29458.0,2026.0,0.0
downtime,raw_downtime_ms,raw measured downtime,TEE Avg,Counter (CRIU),Cold,80,80,30642.0,direct,15-05-2026-direct-cold-0018,592.0,19185.0,298.0,0.0,119442.0,host,15-05-2026-host-cold-0026,586.0,84342.0,300.0,0.0
downtime,raw_downtime_ms,raw measured downtime,TEE Avg,Counter (CRIU),Pre-copy,80,78,34137.0,direct,15-05-2026-direct-precopy-0022,576.0,21654.0,312.0,145547.0,133252.0,host,15-05-2026-host-precopy-0031,915.0,86876.0,300.0,271405.0
downtime,raw_downtime_ms,raw measured downtime,TEE Avg,Counter (CRIU),Post-copy,80,80,34564.0,direct,15-05-2026-direct-postcopy-0011,907.0,21108.0,1938.0,0.0,120279.0,host,15-05-2026-host-postcopy-0036,993.0,52906.0,1897.0,0.0
downtime,raw_downtime_ms,raw measured downtime,TEE Worst,Counter (CRIU),Cold,59,59,155599.0,direct,22-05-2026-direct-cold-0020,628.0,154216.0,304.0,0.0,1744181.0,host,22-05-2026-host-cold-0025,644.0,1203139.0,317.0,0.0
downtime,raw_downtime_ms,raw measured downtime,TEE Worst,Counter (CRIU),Pre-copy,60,59,153119.0,direct,22-05-2026-direct-precopy-0019,915.0,151420.0,312.0,662394.0,1099874.0,host,22-05-2026-host-precopy-0006,912.0,1096566.0,317.0,1674253.0
