metric,benchmark,profile,method,fastest,slowest,successes
downtime_ms,Counter (CRIU),WiFi 6,Cold,"\shortstack[l]{direct / 2\,352\\C/T/R: 528/1\,495/329}","\shortstack[l]{host / 4\,216\\C/T/R: 593/3\,317/306}",80/80
downtime_ms,Counter (CRIU),WiFi 6,Pre-copy,"\shortstack[l]{direct / 2\,296\\C/T/R: 529/1\,461/306\\P: 16\,055}","\shortstack[l]{host / 4\,361\\C/T/R: 896/3\,126/339\\P: 27\,597}",79/80
downtime_ms,Counter (CRIU),WiFi 6,Post-copy,"\shortstack[l]{direct / 2\,788\\C/T/R: 1\,031/1\,398/359}","\shortstack[l]{host / 4\,550\\C/T/R: 1\,386/2\,836/328}",80/80
downtime_ms,Counter (CRIU),5G,Cold,"\shortstack[l]{direct / 2\,552\\C/T/R: 599/1\,650/303}","\shortstack[l]{host / 4\,531\\C/T/R: 606/3\,561/364}",80/80
downtime_ms,Counter (CRIU),5G,Pre-copy,"\shortstack[l]{direct / 2\,535\\C/T/R: 555/1\,664/316\\P: 17\,626}","\shortstack[l]{host / 4\,836\\C/T/R: 876/3\,659/301\\P: 29\,488}",80/80
downtime_ms,Counter (CRIU),5G,Post-copy,"\shortstack[l]{direct / 3\,024\\C/T/R: 1\,043/1\,603/378}","\shortstack[l]{host / 5\,110\\C/T/R: 1\,217/3\,541/352}",80/80
downtime_ms,Counter (CRIU),LTE,Cold,"\shortstack[l]{direct / 3\,784\\C/T/R: 580/2\,934/270}","\shortstack[l]{host / 7\,317\\C/T/R: 646/6\,372/299}",79/80
downtime_ms,Counter (CRIU),LTE,Pre-copy,"\shortstack[l]{direct / 3\,749\\C/T/R: 559/2\,885/305\\P: 22\,524}","\shortstack[l]{host / 7\,252\\C/T/R: 725/6\,204/323\\P: 40\,302}",80/80
downtime_ms,Counter (CRIU),LTE,Post-copy,"\shortstack[l]{direct / 4\,348\\C/T/R: 985/2\,870/493}","\shortstack[l]{host / 8\,248\\C/T/R: 1\,040/6\,687/521}",80/80
downtime_ms,Counter (CRIU),Starlink,Cold,"\shortstack[l]{direct / 4\,032\\C/T/R: 592/3\,164/276}","\shortstack[l]{host / 9\,068\\C/T/R: 720/7\,936/412}",80/80
downtime_ms,Counter (CRIU),Starlink,Pre-copy,"\shortstack[l]{direct / 3\,932\\C/T/R: 541/3\,084/307\\P: 25\,555}","\shortstack[l]{host / 9\,141\\C/T/R: 569/8\,223/349\\P: 43\,445}",80/80
downtime_ms,Counter (CRIU),Starlink,Post-copy,"\shortstack[l]{direct / 4\,552\\C/T/R: 983/3\,115/454}","\shortstack[l]{host / 8\,969\\C/T/R: 1\,122/7\,344/503}",80/80
downtime_ms,Counter (CRIU),TEE Best,Cold,"\shortstack[l]{direct / 10\,551\\C/T/R: 636/9\,603/312}","\shortstack[l]{host / 33\,701\\C/T/R: 692/32\,633/376}",80/80
downtime_ms,Counter (CRIU),TEE Best,Pre-copy,"\shortstack[l]{direct / 10\,488\\C/T/R: 556/9\,595/337\\P: 66\,607}","\shortstack[l]{host / 32\,585\\C/T/R: 957/31\,314/314\\P: 123\,391}",79/80
downtime_ms,Counter (CRIU),TEE Best,Post-copy,"\shortstack[l]{direct / 12\,251\\C/T/R: 936/10\,135/1\,180}","\shortstack[l]{host / 32\,490\\C/T/R: 1\,006/29\,458/2\,026}",80/80
downtime_ms,Counter (CRIU),TEE Avg,Cold,"\shortstack[l]{direct / 20\,075\\C/T/R: 592/19\,185/298}","\shortstack[l]{host / 85\,361\\C/T/R: 584/84\,478/299}",80/80
downtime_ms,Counter (CRIU),TEE Avg,Pre-copy,"\shortstack[l]{direct / 22\,111\\C/T/R: 576/21\,243/292\\P: 152\,591}","\shortstack[l]{host / 93\,704\\C/T/R: 572/92\,805/327\\P: 290\,330}",78/80
downtime_ms,Counter (CRIU),TEE Avg,Post-copy,"\shortstack[l]{direct / 22\,885\\C/T/R: 1\,066/19\,899/1\,920}","\shortstack[l]{host / 84\,689\\C/T/R: 1\,059/77\,135/6\,495}",80/80
downtime_ms,Counter (CRIU),TEE Worst,Cold,"\shortstack[l]{direct / 155\,148\\C/T/R: 628/154\,216/304}","\shortstack[l]{host / 1\,204\,100\\C/T/R: 644/1\,203\,139/317}",59/59
downtime_ms,Counter (CRIU),TEE Worst,Pre-copy,"\shortstack[l]{direct / 152\,647\\C/T/R: 915/151\,420/312\\P: 662\,394}","\shortstack[l]{host / 1\,097\,795\\C/T/R: 912/1\,096\,566/317\\P: 1\,674\,253}",59/60
downtime_ms,Counter (CRIU),TEE Worst,Post-copy,"\shortstack[l]{direct / 155\,762\\C/T/R: 1\,016/141\,376/13\,370}","\shortstack[l]{host / 952\,595\\C/T/R: 970/925\,796/25\,829}",60/60
downtime_ms,TCP Client (CRIU),WiFi 6,Cold,"\shortstack[l]{direct / 2\,110\\C/T/R: 341/1\,452/317}","\shortstack[l]{host / 3\,809\\C/T/R: 545/2\,782/482}",80/80
downtime_ms,TCP Client (CRIU),WiFi 6,Pre-copy,"\shortstack[l]{direct / 2\,119\\C/T/R: 301/1\,518/300\\P: 16\,107}","\shortstack[l]{host / 4\,094\\C/T/R: 358/3\,277/459\\P: 27\,889}",79/79
downtime_ms,TCP Client (CRIU),WiFi 6,Post-copy,"\shortstack[l]{direct / 2\,504\\C/T/R: 729/1\,415/360}","\shortstack[l]{host / 4\,632\\C/T/R: 863/3\,425/344}",78/78
downtime_ms,TCP Client (CRIU),5G,Cold,"\shortstack[l]{direct / 2\,323\\C/T/R: 333/1\,678/312}","\shortstack[l]{host / 4\,555\\C/T/R: 386/3\,869/300}",80/80
downtime_ms,TCP Client (CRIU),5G,Pre-copy,"\shortstack[l]{direct / 2\,211\\C/T/R: 296/1\,587/328\\P: 17\,545}","\shortstack[l]{host / 4\,336\\C/T/R: 711/3\,309/316\\P: 29\,887}",79/80
